#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 4.208820e+11 (median) + 2.117650e+11  / - 1.407350e+11
#SM   Stats: 9.403090e+09 (median) + 4.966710e+09  / - 2.856640e+09
#VMP  Stats: 1.540100e+02 (median) + 1.845001e+01  / - 1.220999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 7.917929e-10 (median) + 6.237069e-10  / - 7.835608e-10
sfh 0.055623 0 0 0 #avg: 0.00174208; avg_err: 0.00171767; sd: 0.33321; counts: 37633
sfh 0.060123 0 0 0 #avg: 0.00986605; avg_err: 0.00943207; sd: 1.82972; counts: 37633
sfh 0.062373 0 0 0 #avg: 0.00834967; avg_err: 0.00727608; sd: 1.41148; counts: 37633
sfh 0.064623 0 0 0 #avg: 0.00564983; avg_err: 0.00190882; sd: 0.37029; counts: 37633
sfh 0.066873 0 0 0 #avg: 0.00527027; avg_err: 0.000955977; sd: 0.18545; counts: 37633
sfh 0.069123 0 0 0 #avg: 0.007529; avg_err: 0.000987294; sd: 0.191525; counts: 37633
sfh 0.071373 0 0 0 #avg: 0.0115843; avg_err: 0.00124626; sd: 0.241762; counts: 37633
sfh 0.073623 0 0 0 #avg: 0.0175509; avg_err: 0.00143956; sd: 0.279259; counts: 37633
sfh 0.075873 0 0 0 #avg: 0.0235945; avg_err: 0.00159076; sd: 0.308591; counts: 37633
sfh 0.078123 0 0 0 #avg: 0.0344296; avg_err: 0.00262427; sd: 0.509082; counts: 37633
sfh 0.080373 0 0 0 #avg: 0.0438398; avg_err: 0.00241386; sd: 0.468263; counts: 37633
sfh 0.082623 0 0 0 #avg: 0.0489648; avg_err: 0.00282162; sd: 0.547365; counts: 37633
sfh 0.085998 0 0.0215638 0 #avg: 0.0686669; avg_err: 0.0024937; sd: 0.483751; counts: 37633
sfh 0.089373 0 0.0601459 0 #avg: 0.0900356; avg_err: 0.00521996; sd: 1.01262; counts: 37633
sfh 0.092748 0 0.103542 0 #avg: 0.10923; avg_err: 0.00448249; sd: 0.869558; counts: 37633
sfh 0.096123 0 0.149887 0 #avg: 0.133716; avg_err: 0.00370165; sd: 0.718082; counts: 37633
sfh 0.099498 0.00363574 0.189014 0.00363574 #avg: 0.160249; avg_err: 0.00438284; sd: 0.850225; counts: 37633
sfh 0.102873 0.0130953 0.211739 0.0130953 #avg: 0.189176; avg_err: 0.00542294; sd: 1.05199; counts: 37633
sfh 0.106248 0.023412 0.233079 0.023412 #avg: 0.216076; avg_err: 0.00605687; sd: 1.17497; counts: 37633
sfh 0.109623 0.034198 0.26631 0.034198 #avg: 0.24249; avg_err: 0.00624123; sd: 1.21073; counts: 37633
sfh 0.112998 0.0442652 0.296559 0.0442652 #avg: 0.26581; avg_err: 0.00564791; sd: 1.09564; counts: 37633
sfh 0.116373 0.053644 0.325161 0.053644 #avg: 0.298169; avg_err: 0.00583945; sd: 1.13279; counts: 37633
