#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.75 - 11.25
#HM   Stats: 3.788240e+12 (median) + 5.358820e+12  / - 1.729420e+12
#SM   Stats: 9.351990e+10 (median) + 4.566610e+10  / - 2.754100e+10
#VMP  Stats: 2.815500e+02 (median) + 9.189001e+01  / - 4.893999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.875076e-12 (median) + 3.147430e-12  / - 1.669598e-12
sfh 0.055623 0 0 0 #avg: 0.0013437; avg_err: 0.000446282; sd: 0.0589565; counts: 17453
sfh 0.060123 0 0 0 #avg: 0.0208552; avg_err: 0.00423285; sd: 0.559185; counts: 17453
sfh 0.062373 0 0 0 #avg: 0.0370156; avg_err: 0.00619374; sd: 0.818231; counts: 17453
sfh 0.064623 0 0 0 #avg: 0.0770179; avg_err: 0.00935641; sd: 1.23604; counts: 17453
sfh 0.066873 0 0 0 #avg: 0.127327; avg_err: 0.0154451; sd: 2.04039; counts: 17453
sfh 0.069123 0 0 0 #avg: 0.166653; avg_err: 0.0117128; sd: 1.54734; counts: 17453
sfh 0.071373 0 0.0103319 0 #avg: 0.240763; avg_err: 0.016379; sd: 2.16377; counts: 17453
sfh 0.073623 0 0.0731938 0 #avg: 0.341268; avg_err: 0.0282679; sd: 3.73436; counts: 17453
sfh 0.075873 0 0.191045 0 #avg: 0.425368; avg_err: 0.0251234; sd: 3.31896; counts: 17453
sfh 0.078123 0 0.353081 0 #avg: 0.528783; avg_err: 0.0253689; sd: 3.35138; counts: 17453
sfh 0.080373 0 0.527847 0 #avg: 0.620013; avg_err: 0.0321988; sd: 4.25366; counts: 17453
sfh 0.082623 0.011065 0.641111 0.011065 #avg: 0.624899; avg_err: 0.0242143; sd: 3.19886; counts: 17453
sfh 0.085998 0.0537386 0.912912 0.0537386 #avg: 0.971258; avg_err: 0.0531456; sd: 7.02085; counts: 17453
sfh 0.089373 0.119227 1.14393 0.119227 #avg: 1.19137; avg_err: 0.0531753; sd: 7.02477; counts: 17453
sfh 0.092748 0.1931 1.36147 0.1931 #avg: 1.50131; avg_err: 0.0711575; sd: 9.40033; counts: 17453
sfh 0.096123 0.277365 1.67522 0.270949 #avg: 1.78128; avg_err: 0.0744005; sd: 9.82876; counts: 17453
