#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.75 - 11.25
#HM   Stats: 3.244120e+12 (median) + 4.639700e+12  / - 1.523530e+12
#SM   Stats: 9.271160e+10 (median) + 4.555940e+10  / - 2.708540e+10
#VMP  Stats: 2.735000e+02 (median) + 8.779001e+01  / - 4.564000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.744918e-12 (median) + 3.945251e-12  / - 1.700524e-12
sfh 0.055623 0 0 0 #avg: 0.00129383; avg_err: 0.000382977; sd: 0.0624123; counts: 26559
sfh 0.060123 0 0 0 #avg: 0.0181871; avg_err: 0.00323004; sd: 0.526388; counts: 26559
sfh 0.062373 0 0 0 #avg: 0.0323638; avg_err: 0.00454608; sd: 0.740857; counts: 26559
sfh 0.064623 0 0 0 #avg: 0.0719895; avg_err: 0.00902453; sd: 1.47069; counts: 26559
sfh 0.066873 0 0 0 #avg: 0.115175; avg_err: 0.0113287; sd: 1.84619; counts: 26559
sfh 0.069123 0 0 0 #avg: 0.156615; avg_err: 0.010115; sd: 1.64841; counts: 26559
sfh 0.071373 0 0.00218367 0 #avg: 0.220342; avg_err: 0.0125859; sd: 2.05108; counts: 26559
sfh 0.073623 0 0.0605095 0 #avg: 0.296057; avg_err: 0.0191269; sd: 3.11704; counts: 26559
sfh 0.075873 0 0.164745 0 #avg: 0.377525; avg_err: 0.0180314; sd: 2.93852; counts: 26559
sfh 0.078123 0 0.317001 0 #avg: 0.479643; avg_err: 0.0182516; sd: 2.97439; counts: 26559
sfh 0.080373 0 0.487423 0 #avg: 0.573664; avg_err: 0.0235553; sd: 3.83871; counts: 26559
sfh 0.082623 0.00637107 0.607043 0.00637107 #avg: 0.581723; avg_err: 0.0185976; sd: 3.03078; counts: 26559
sfh 0.085998 0.0414202 0.859925 0.0414202 #avg: 0.881121; avg_err: 0.0373041; sd: 6.07931; counts: 26559
sfh 0.089373 0.0990591 1.07643 0.0990591 #avg: 1.0723; avg_err: 0.0369688; sd: 6.02467; counts: 26559
sfh 0.092748 0.167841 1.26625 0.167841 #avg: 1.34713; avg_err: 0.0496559; sd: 8.09223; counts: 26559
