#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM   Stats: 1.895590e+12 (median) + 1.129410e+12  / - 5.311800e+11
#SM   Stats: 2.171710e+11 (median) + 6.326901e+10  / - 2.812900e+10
#VMP  Stats: 2.368600e+02 (median) + 3.934001e+01  / - 2.069000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.552930e-10 (median) + 2.139104e-10  / - 1.034345e-10
sfh 0.055623 0 0 0 #avg: 0.00438693; avg_err: 0.00438693; sd: 0.0935764; counts: 456
sfh 0.060123 0 0 0 #avg: 0.0140607; avg_err: 0.0138621; sd: 0.29569; counts: 456
sfh 0.062373 0 0 0 #avg: 0.0161175; avg_err: 0.0139242; sd: 0.297014; counts: 456
sfh 0.064623 0 0 0 #avg: 0.0152871; avg_err: 0.00778466; sd: 0.166052; counts: 456
sfh 0.066873 0 0 0 #avg: 0.0556455; avg_err: 0.0253418; sd: 0.540559; counts: 456
sfh 0.069123 0 0 0 #avg: 0.0563097; avg_err: 0.0196094; sd: 0.418282; counts: 456
sfh 0.071373 0 0 0 #avg: 0.0849188; avg_err: 0.0225858; sd: 0.481772; counts: 456
sfh 0.073623 0 0 0 #avg: 0.0911901; avg_err: 0.0216987; sd: 0.462848; counts: 456
sfh 0.075873 0 0.0210255 0 #avg: 0.108073; avg_err: 0.0237689; sd: 0.507008; counts: 456
sfh 0.078123 0 0.0744672 0 #avg: 0.154943; avg_err: 0.0340375; sd: 0.726046; counts: 456
sfh 0.080373 0 0.163207 0 #avg: 0.199957; avg_err: 0.0391123; sd: 0.834293; counts: 456
sfh 0.082623 0 0.22729 0 #avg: 0.232837; avg_err: 0.0375439; sd: 0.800839; counts: 456
sfh 0.085998 0 0.376944 0 #avg: 0.418297; avg_err: 0.0734241; sd: 1.56619; counts: 456
sfh 0.089373 0.0246654 0.542355 0.0246654 #avg: 0.511633; avg_err: 0.0754247; sd: 1.60886; counts: 456
sfh 0.092748 0.0624923 0.793619 0.0624923 #avg: 0.623839; avg_err: 0.10728; sd: 2.28836; counts: 456
sfh 0.096123 0.0968244 0.789057 0.0968244 #avg: 0.9393; avg_err: 0.246618; sd: 5.26055; counts: 456
sfh 0.099498 0.158797 0.886853 0.158797 #avg: 0.976961; avg_err: 0.231111; sd: 4.92976; counts: 456
sfh 0.102873 0.202011 0.933659 0.200251 #avg: 1.04361; avg_err: 0.234017; sd: 4.99174; counts: 456
sfh 0.106248 0.273136 1.24775 0.267246 #avg: 1.10211; avg_err: 0.201888; sd: 4.30641; counts: 456
sfh 0.109623 0.319808 1.38999 0.305072 #avg: 1.18907; avg_err: 0.148151; sd: 3.16017; counts: 456
sfh 0.112998 0.332702 1.50643 0.306557 #avg: 1.45196; avg_err: 0.196733; sd: 4.19647; counts: 456
sfh 0.116373 0.37753 1.84607 0.341643 #avg: 1.6607; avg_err: 0.228889; sd: 4.88237; counts: 456
sfh 0.119748 0.472635 2.04434 0.424633 #avg: 1.81035; avg_err: 0.25334; sd: 5.40393; counts: 456
sfh 0.123123 0.578712 2.54891 0.52064 #avg: 1.96459; avg_err: 0.214355; sd: 4.57234; counts: 456
sfh 0.126498 0.625616 2.53079 0.559267 #avg: 2.26674; avg_err: 0.329825; sd: 7.03541; counts: 456
sfh 0.129873 0.699879 3.14607 0.621753 #avg: 2.46708; avg_err: 0.247771; sd: 5.28513; counts: 456
sfh 0.133248 0.758058 3.57229 0.674522 #avg: 2.84895; avg_err: 0.285369; sd: 6.08713; counts: 456
sfh 0.136623 0.846515 3.86836 0.72439 #avg: 3.2069; avg_err: 0.32784; sd: 6.99307; counts: 456
sfh 0.141685 1.01366 4.39616 0.8656 #avg: 3.69725; avg_err: 0.392081; sd: 8.36338; counts: 456
sfh 0.146748 1.33832 5.45009 1.18156 #avg: 4.51853; avg_err: 0.500956; sd: 10.6857; counts: 456
sfh 0.15181 1.49887 6.86598 1.31305 #avg: 5.73026; avg_err: 0.763824; sd: 16.2929; counts: 456
