#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM   Stats: 2.301470e+12 (median) + 1.570590e+12  / - 7.220599e+11
#SM   Stats: 2.214740e+11 (median) + 6.723001e+10  / - 3.349199e+10
#VMP  Stats: 2.406300e+02 (median) + 4.212000e+01  / - 2.456000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.248954e-10 (median) + 3.026707e-10  / - 1.603186e-10
sfh 0.055623 0 0 0 #avg: 0.000613444; avg_err: 0.000613444; sd: 0.0350254; counts: 3261
sfh 0.060123 0 0 0 #avg: 0.00387801; avg_err: 0.00207712; sd: 0.118596; counts: 3261
sfh 0.062373 0 0 0 #avg: 0.0112779; avg_err: 0.0040361; sd: 0.230447; counts: 3261
sfh 0.064623 0 0 0 #avg: 0.0211643; avg_err: 0.00630326; sd: 0.359894; counts: 3261
sfh 0.066873 0 0 0 #avg: 0.0492936; avg_err: 0.0142945; sd: 0.816164; counts: 3261
sfh 0.069123 0 0 0 #avg: 0.0535711; avg_err: 0.00920003; sd: 0.525289; counts: 3261
sfh 0.071373 0 0 0 #avg: 0.0800498; avg_err: 0.0107375; sd: 0.613072; counts: 3261
sfh 0.073623 0 0 0 #avg: 0.102459; avg_err: 0.00985977; sd: 0.562957; counts: 3261
sfh 0.075873 0 0.0287061 0 #avg: 0.132124; avg_err: 0.0120577; sd: 0.688453; counts: 3261
sfh 0.078123 0 0.0926252 0 #avg: 0.198864; avg_err: 0.0219743; sd: 1.25466; counts: 3261
sfh 0.080373 0 0.184493 0 #avg: 0.272425; avg_err: 0.0325801; sd: 1.86021; counts: 3261
sfh 0.082623 0 0.266006 0 #avg: 0.329549; avg_err: 0.0322023; sd: 1.83863; counts: 3261
sfh 0.085998 0.00545084 0.478952 0.00545084 #avg: 0.566145; avg_err: 0.0601804; sd: 3.43609; counts: 3261
sfh 0.089373 0.030446 0.621253 0.030446 #avg: 0.609441; avg_err: 0.0462983; sd: 2.64347; counts: 3261
sfh 0.092748 0.0725912 0.735885 0.0725912 #avg: 0.701977; avg_err: 0.0559916; sd: 3.19692; counts: 3261
sfh 0.096123 0.120213 0.810774 0.120213 #avg: 0.838015; avg_err: 0.0627766; sd: 3.58432; counts: 3261
sfh 0.099498 0.174667 0.958263 0.172225 #avg: 0.931522; avg_err: 0.064694; sd: 3.69379; counts: 3261
sfh 0.102873 0.218239 1.1425 0.20758 #avg: 1.06381; avg_err: 0.0664817; sd: 3.79587; counts: 3261
sfh 0.106248 0.264759 1.28101 0.242007 #avg: 1.22765; avg_err: 0.0702576; sd: 4.01145; counts: 3261
sfh 0.109623 0.335201 1.49412 0.298276 #avg: 1.36367; avg_err: 0.0689913; sd: 3.93915; counts: 3261
sfh 0.112998 0.370112 1.70307 0.319351 #avg: 1.61487; avg_err: 0.0898473; sd: 5.12996; counts: 3261
sfh 0.116373 0.426966 1.90543 0.362092 #avg: 1.88849; avg_err: 0.11552; sd: 6.59577; counts: 3261
sfh 0.119748 0.525366 2.09851 0.448167 #avg: 2.09588; avg_err: 0.128249; sd: 7.32253; counts: 3261
sfh 0.123123 0.61379 2.49335 0.517265 #avg: 2.39496; avg_err: 0.142802; sd: 8.1535; counts: 3261
sfh 0.126498 0.693042 2.79743 0.576773 #avg: 2.64219; avg_err: 0.145219; sd: 8.29148; counts: 3261
sfh 0.129873 0.807318 3.01841 0.676458 #avg: 2.95968; avg_err: 0.152251; sd: 8.693; counts: 3261
sfh 0.133248 0.882139 3.74127 0.72972 #avg: 3.45162; avg_err: 0.178341; sd: 10.1826; counts: 3261
sfh 0.136623 0.989811 4.09785 0.81926 #avg: 3.88306; avg_err: 0.202112; sd: 11.5399; counts: 3261
sfh 0.141685 1.18237 4.745 0.966811 #avg: 4.39017; avg_err: 0.226069; sd: 12.9077; counts: 3261
sfh 0.146748 1.39206 5.37522 1.13806 #avg: 4.89196; avg_err: 0.259445; sd: 14.8134; counts: 3261
sfh 0.15181 1.55223 6.00917 1.26719 #avg: 5.64676; avg_err: 0.36109; sd: 20.6169; counts: 3261
sfh 0.156873 1.78463 6.87203 1.44752 #avg: 6.37404; avg_err: 0.405849; sd: 23.1725; counts: 3261
sfh 0.161935 2.04789 7.736 1.67135 #avg: 7.24898; avg_err: 0.431985; sd: 24.6648; counts: 3261
sfh 0.166998 2.36795 8.80495 1.93217 #avg: 8.16862; avg_err: 0.505496; sd: 28.862; counts: 3261
