#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM   Stats: 5.629410e+10 (median) + 2.642649e+10  / - 1.892650e+10
#SM   Stats: 9.352520e+07 (median) + 4.857781e+07  / - 2.817350e+07
#VMP  Stats: 7.805000e+01 (median) + 7.599998e+00  / - 7.470001e+00
#ICL  Stats: 6.781940e+05 (median) + 6.526446e+06  / - 6.781940e+05
#SSFR Stats: 5.638022e-10 (median) + 5.205481e-10  / - 2.637282e-10
sfh 0.055623 0 0 0 #avg: 1.98502e-09; avg_err: 1.98502e-09; sd: 2.0078e-06; counts: 1023084
sfh 0.060123 0 0 0 #avg: 1.62559e-08; avg_err: 1.62559e-08; sd: 1.64425e-05; counts: 1023084
sfh 0.062373 0 0 0 #avg: 1.83661e-08; avg_err: 1.83661e-08; sd: 1.85769e-05; counts: 1023084
sfh 0.064623 0 0 0 #avg: 1.5546e-07; avg_err: 1.39696e-07; sd: 0.000141299; counts: 1023084
sfh 0.066873 0 0 0 #avg: 1.91271e-08; avg_err: 1.91215e-08; sd: 1.93409e-05; counts: 1023084
sfh 0.069123 0 0 0 #avg: 7.43507e-07; avg_err: 2.6463e-07; sd: 0.000267667; counts: 1023084
sfh 0.071373 0 0 0 #avg: 2.37947e-06; avg_err: 5.88275e-07; sd: 0.000595026; counts: 1023084
sfh 0.073623 0 0 0 #avg: 4.93553e-06; avg_err: 9.13923e-07; sd: 0.00092441; counts: 1023084
sfh 0.075873 0 0 0 #avg: 1.31644e-05; avg_err: 1.95731e-06; sd: 0.00197977; counts: 1023084
sfh 0.078123 0 0 0 #avg: 2.83843e-05; avg_err: 3.59802e-06; sd: 0.00363931; counts: 1023084
sfh 0.080373 0 0 0 #avg: 5.1499e-05; avg_err: 4.22965e-06; sd: 0.00427819; counts: 1023084
sfh 0.082623 0 0 0 #avg: 8.15009e-05; avg_err: 4.38308e-06; sd: 0.00443338; counts: 1023084
sfh 0.085998 0 0 0 #avg: 0.000186781; avg_err: 7.14728e-06; sd: 0.0072293; counts: 1023084
sfh 0.089373 0 0 0 #avg: 0.000344582; avg_err: 8.8244e-06; sd: 0.00892566; counts: 1023084
sfh 0.092748 0 0 0 #avg: 0.000604635; avg_err: 1.08007e-05; sd: 0.0109246; counts: 1023084
sfh 0.096123 0 0 0 #avg: 0.000973569; avg_err: 1.37309e-05; sd: 0.0138885; counts: 1023084
