#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM   Stats: 3.208820e+11 (median) + 1.114710e+11  / - 8.161701e+10
#SM   Stats: 2.934580e+09 (median) + 1.546820e+09  / - 8.755400e+08
#VMP  Stats: 1.278800e+02 (median) + 1.071000e+01  / - 9.659996e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 9.978902e-10 (median) + 9.482319e-10  / - 4.564437e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 112928
sfh 0.060123 0 0 0 #avg: 6.21282e-06; avg_err: 3.80304e-06; sd: 0.001278; counts: 112928
sfh 0.062373 0 0 0 #avg: 4.30241e-05; avg_err: 1.92462e-05; sd: 0.00646762; counts: 112928
sfh 0.064623 0 0 0 #avg: 0.00013912; avg_err: 4.17255e-05; sd: 0.0140217; counts: 112928
sfh 0.066873 0 0 0 #avg: 0.000365166; avg_err: 9.4963e-05; sd: 0.0319119; counts: 112928
sfh 0.069123 0 0 0 #avg: 0.000742752; avg_err: 0.000143466; sd: 0.0482113; counts: 112928
sfh 0.071373 0 0 0 #avg: 0.00144013; avg_err: 0.000215874; sd: 0.0725437; counts: 112928
sfh 0.073623 0 0 0 #avg: 0.00237653; avg_err: 0.000259437; sd: 0.087183; counts: 112928
sfh 0.075873 0 0 0 #avg: 0.0036759; avg_err: 0.000313199; sd: 0.105249; counts: 112928
sfh 0.078123 0 0 0 #avg: 0.00527606; avg_err: 0.000343176; sd: 0.115323; counts: 112928
sfh 0.080373 0 0 0 #avg: 0.00740499; avg_err: 0.000330799; sd: 0.111164; counts: 112928
