#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 1.321760e+10 (median) + 7.973601e+09  / - 4.329359e+09
#SM   Stats: 4.450490e+06 (median) + 7.876010e+06  / - 2.994030e+06
#VMP  Stats: 5.012000e+01 (median) + 6.500000e+00  / - 6.020000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 5.954109e-10 (median) + 7.837888e-10  / - 3.141437e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6343739
sfh 0.071373 0 0 0 #avg: 3.78901e-09; avg_err: 3.78901e-09; sd: 9.5433e-06; counts: 6343739
sfh 0.073623 0 0 0 #avg: 3.66834e-09; avg_err: 3.66834e-09; sd: 9.23937e-06; counts: 6343739
sfh 0.075873 0 0 0 #avg: 1.73738e-09; avg_err: 1.73738e-09; sd: 4.37591e-06; counts: 6343739
sfh 0.078123 0 0 0 #avg: 4.6891e-08; avg_err: 3.57271e-08; sd: 8.9985e-05; counts: 6343739
sfh 0.080373 0 0 0 #avg: 1.15348e-07; avg_err: 7.27979e-08; sd: 0.000183355; counts: 6343739
sfh 0.082623 0 0 0 #avg: 2.33442e-07; avg_err: 8.0952e-08; sd: 0.000203892; counts: 6343739
sfh 0.085998 0 0 0 #avg: 5.58445e-07; avg_err: 1.96402e-07; sd: 0.000494675; counts: 6343739
sfh 0.089373 0 0 0 #avg: 1.11295e-06; avg_err: 2.56974e-07; sd: 0.000647234; counts: 6343739
sfh 0.092748 0 0 0 #avg: 1.92886e-06; avg_err: 1.77921e-07; sd: 0.000448125; counts: 6343739
sfh 0.096123 0 0 0 #avg: 3.28484e-06; avg_err: 2.23763e-07; sd: 0.000563588; counts: 6343739
sfh 0.099498 0 0 0 #avg: 6.00678e-06; avg_err: 2.53293e-07; sd: 0.000637963; counts: 6343739
sfh 0.102873 0 0 0 #avg: 1.10551e-05; avg_err: 3.46351e-07; sd: 0.000872346; counts: 6343739
sfh 0.106248 0 0 0 #avg: 1.86515e-05; avg_err: 4.36227e-07; sd: 0.00109871; counts: 6343739
sfh 0.109623 0 0 0 #avg: 2.88809e-05; avg_err: 5.06578e-07; sd: 0.00127591; counts: 6343739
sfh 0.112998 0 0 0 #avg: 4.19705e-05; avg_err: 6.41401e-07; sd: 0.00161548; counts: 6343739
sfh 0.116373 0 0 0 #avg: 5.59928e-05; avg_err: 7.32917e-07; sd: 0.00184598; counts: 6343739
sfh 0.119748 0 0 0 #avg: 7.15919e-05; avg_err: 7.93831e-07; sd: 0.0019994; counts: 6343739
sfh 0.123123 0 0 0 #avg: 9.09758e-05; avg_err: 9.32436e-07; sd: 0.00234851; counts: 6343739
sfh 0.126498 0 0 0 #avg: 0.000113992; avg_err: 9.86196e-07; sd: 0.00248391; counts: 6343739
sfh 0.129873 0 0 0 #avg: 0.000143259; avg_err: 9.54829e-07; sd: 0.00240491; counts: 6343739
sfh 0.133248 0 0 0 #avg: 0.000179893; avg_err: 1.02563e-06; sd: 0.00258324; counts: 6343739
sfh 0.136623 0 0 0 #avg: 0.000221791; avg_err: 1.15731e-06; sd: 0.0029149; counts: 6343739
sfh 0.141685 0 0 0 #avg: 0.00029962; avg_err: 1.40604e-06; sd: 0.00354137; counts: 6343739
sfh 0.146748 0 0 0 #avg: 0.00039482; avg_err: 1.59695e-06; sd: 0.00402221; counts: 6343739
sfh 0.15181 0 0 0 #avg: 0.000506662; avg_err: 1.90496e-06; sd: 0.00479797; counts: 6343739
sfh 0.156873 0 0 0 #avg: 0.000639229; avg_err: 2.05838e-06; sd: 0.0051844; counts: 6343739
sfh 0.161935 0 0.000187937 0 #avg: 0.000782591; avg_err: 2.25031e-06; sd: 0.00566781; counts: 6343739
sfh 0.166998 0 0.000440847 0 #avg: 0.000933595; avg_err: 2.396e-06; sd: 0.00603476; counts: 6343739
sfh 0.17206 0 0.000745643 0 #avg: 0.00104404; avg_err: 2.4485e-06; sd: 0.00616699; counts: 6343739
sfh 0.177123 0 0.00105461 0 #avg: 0.00109735; avg_err: 2.29389e-06; sd: 0.00577758; counts: 6343739
sfh 0.182185 0 0.0013112 0 #avg: 0.00113961; avg_err: 2.22727e-06; sd: 0.00560977; counts: 6343739
sfh 0.187248 0 0.00151204 0 #avg: 0.00120835; avg_err: 2.19225e-06; sd: 0.00552158; counts: 6343739
sfh 0.19231 0 0.0016984 0 #avg: 0.00127639; avg_err: 2.20327e-06; sd: 0.00554933; counts: 6343739
sfh 0.197373 0 0.00187147 0 #avg: 0.00134435; avg_err: 2.24316e-06; sd: 0.00564979; counts: 6343739
sfh 0.202435 0 0.00204081 0 #avg: 0.00141602; avg_err: 2.18075e-06; sd: 0.0054926; counts: 6343739
sfh 0.207498 3.14019e-05 0.00217363 3.14019e-05 #avg: 0.0014859; avg_err: 2.21675e-06; sd: 0.00558329; counts: 6343739
sfh 0.21256 8.29643e-05 0.00228247 8.29643e-05 #avg: 0.00155081; avg_err: 2.18786e-06; sd: 0.00551052; counts: 6343739
sfh 0.217623 0.000146033 0.00237988 0.000146033 #avg: 0.00161859; avg_err: 2.21965e-06; sd: 0.00559057; counts: 6343739
sfh 0.222685 0.000202192 0.00224617 0.000202192 #avg: 0.00153225; avg_err: 2.03085e-06; sd: 0.00511506; counts: 6343739
sfh 0.227748 0.000259233 0.00216134 0.000259233 #avg: 0.00150563; avg_err: 1.95899e-06; sd: 0.00493406; counts: 6343739
sfh 0.23281 0.00030813 0.00210677 0.00030813 #avg: 0.00151931; avg_err: 1.99206e-06; sd: 0.00501736; counts: 6343739
sfh 0.237873 0.000350256 0.0020948 0.000350256 #avg: 0.00153675; avg_err: 2.03791e-06; sd: 0.00513285; counts: 6343739
sfh 0.242935 0.000388296 0.00210192 0.000388296 #avg: 0.00157156; avg_err: 2.04228e-06; sd: 0.00514383; counts: 6343739
sfh 0.247998 0.000408726 0.00208996 0.000408726 #avg: 0.00159622; avg_err: 2.00483e-06; sd: 0.00504953; counts: 6343739
sfh 0.25306 0.000439807 0.00215321 0.000439807 #avg: 0.00165049; avg_err: 2.07867e-06; sd: 0.0052355; counts: 6343739
sfh 0.258123 0.000466877 0.00218487 0.000466877 #avg: 0.00168215; avg_err: 2.01076e-06; sd: 0.00506445; counts: 6343739
sfh 0.263185 0.000493828 0.0022378 0.000493828 #avg: 0.00172951; avg_err: 2.05207e-06; sd: 0.00516849; counts: 6343739
sfh 0.268248 0.00053543 0.00230277 0.00053543 #avg: 0.00178057; avg_err: 2.00823e-06; sd: 0.00505809; counts: 6343739
sfh 0.27331 0.000563137 0.00234719 0.000563137 #avg: 0.00182377; avg_err: 2.00115e-06; sd: 0.00504026; counts: 6343739
sfh 0.278373 0.00059095 0.00240686 0.000583756 #avg: 0.0018797; avg_err: 2.0042e-06; sd: 0.00504793; counts: 6343739
sfh 0.283435 0.000609786 0.00242302 0.00059299 #avg: 0.00190013; avg_err: 1.95752e-06; sd: 0.00493036; counts: 6343739
sfh 0.288498 0.00064212 0.00247983 0.000612911 #avg: 0.00194354; avg_err: 1.93076e-06; sd: 0.00486295; counts: 6343739
sfh 0.29356 0.00066772 0.00252839 0.000623572 #avg: 0.00198306; avg_err: 1.97684e-06; sd: 0.00497902; counts: 6343739
sfh 0.298623 0.000698857 0.00257152 0.000639682 #avg: 0.00201953; avg_err: 1.95442e-06; sd: 0.00492254; counts: 6343739
sfh 0.303685 0.000729243 0.00261068 0.00065512 #avg: 0.00206056; avg_err: 1.95098e-06; sd: 0.00491389; counts: 6343739
sfh 0.308748 0.000761548 0.00265556 0.000672909 #avg: 0.00209838; avg_err: 1.94465e-06; sd: 0.00489794; counts: 6343739
sfh 0.31381 0.000793835 0.00270399 0.000691257 #avg: 0.0021378; avg_err: 1.93893e-06; sd: 0.00488355; counts: 6343739
