#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 1.276180e+10 (median) + 7.517601e+09  / - 4.329449e+09
#SM   Stats: 4.762380e+06 (median) + 7.563820e+06  / - 3.194890e+06
#VMP  Stats: 5.132000e+01 (median) + 6.220001e+00  / - 6.590000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 4.970926e-10 (median) + 5.823244e-10  / - 2.575755e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1153620
sfh 0.078123 0 0 0 #avg: 2.09968e-07; avg_err: 1.94537e-07; sd: 0.000208946; counts: 1153620
sfh 0.080373 0 0 0 #avg: 4.58235e-07; avg_err: 3.96049e-07; sd: 0.000425383; counts: 1153620
sfh 0.082623 0 0 0 #avg: 8.29912e-07; avg_err: 4.07389e-07; sd: 0.000437562; counts: 1153620
sfh 0.085998 0 0 0 #avg: 9.8605e-07; avg_err: 2.51135e-07; sd: 0.000269736; counts: 1153620
sfh 0.089373 0 0 0 #avg: 2.00375e-06; avg_err: 3.56346e-07; sd: 0.000382739; counts: 1153620
sfh 0.092748 0 0 0 #avg: 4.52225e-06; avg_err: 5.20385e-07; sd: 0.000558928; counts: 1153620
sfh 0.096123 0 0 0 #avg: 7.58766e-06; avg_err: 6.86286e-07; sd: 0.000737116; counts: 1153620
sfh 0.099498 0 0 0 #avg: 1.37174e-05; avg_err: 8.95493e-07; sd: 0.000961819; counts: 1153620
sfh 0.102873 0 0 0 #avg: 2.32692e-05; avg_err: 1.15218e-06; sd: 0.00123751; counts: 1153620
sfh 0.106248 0 0 0 #avg: 3.72949e-05; avg_err: 1.35063e-06; sd: 0.00145067; counts: 1153620
sfh 0.109623 0 0 0 #avg: 5.72156e-05; avg_err: 1.74692e-06; sd: 0.00187631; counts: 1153620
sfh 0.112998 0 0 0 #avg: 8.06414e-05; avg_err: 1.97326e-06; sd: 0.00211942; counts: 1153620
sfh 0.116373 0 0 0 #avg: 0.000105738; avg_err: 2.35607e-06; sd: 0.00253058; counts: 1153620
sfh 0.119748 0 0 0 #avg: 0.000133407; avg_err: 2.58273e-06; sd: 0.00277402; counts: 1153620
sfh 0.123123 0 0 0 #avg: 0.000168212; avg_err: 3.15839e-06; sd: 0.00339232; counts: 1153620
sfh 0.126498 0 0 0 #avg: 0.000208216; avg_err: 3.63284e-06; sd: 0.00390191; counts: 1153620
