#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.61667 - 2.78333
#HM   Stats: 1.761760e+13 (median) + 1.091180e+13  / - 5.064700e+12
#SM   Stats: 1.686510e+11 (median) + 1.458470e+11  / - 8.896430e+10
#VMP  Stats: 4.673500e+02 (median) + 8.025998e+01  / - 4.052002e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.425889e-11 (median) + 8.894737e-12  / - 3.333241e-12
sfh 0.055623 0 0 0 #avg: 0.00851675; avg_err: 0.00539392; sd: 0.101055; counts: 352
sfh 0.060123 0 0 0 #avg: 0.0458035; avg_err: 0.0216992; sd: 0.406535; counts: 352
sfh 0.062373 0 0 0 #avg: 0.181158; avg_err: 0.0745153; sd: 1.39604; counts: 352
sfh 0.064623 0 0 0 #avg: 0.227705; avg_err: 0.0673409; sd: 1.26163; counts: 352
sfh 0.066873 0 0.0680214 0 #avg: 0.302171; avg_err: 0.0925487; sd: 1.7339; counts: 352
sfh 0.069123 0 0.244623 0 #avg: 0.412767; avg_err: 0.110508; sd: 2.07036; counts: 352
sfh 0.071373 0 0.557731 0 #avg: 0.548576; avg_err: 0.105221; sd: 1.97131; counts: 352
sfh 0.073623 0 1.07424 0 #avg: 0.763808; avg_err: 0.127475; sd: 2.38824; counts: 352
sfh 0.075873 0.0439896 1.53487 0.0439896 #avg: 0.991249; avg_err: 0.149258; sd: 2.79635; counts: 352
sfh 0.078123 0.136122 2.29661 0.136122 #avg: 1.38417; avg_err: 0.172439; sd: 3.23065; counts: 352
sfh 0.080373 0.266804 2.30554 0.266804 #avg: 1.61836; avg_err: 0.215013; sd: 4.02826; counts: 352
sfh 0.082623 0.434069 2.12861 0.434069 #avg: 1.6492; avg_err: 0.198832; sd: 3.72512; counts: 352
sfh 0.085998 0.568747 3.66362 0.568747 #avg: 2.50942; avg_err: 0.294945; sd: 5.52579; counts: 352
sfh 0.089373 0.791841 4.47989 0.773883 #avg: 3.69361; avg_err: 0.505111; sd: 9.46325; counts: 352
sfh 0.092748 1.02822 5.4209 0.967712 #avg: 4.95936; avg_err: 0.694695; sd: 13.0151; counts: 352
sfh 0.096123 1.16623 6.11782 1.051 #avg: 5.42922; avg_err: 0.748291; sd: 14.0192; counts: 352
sfh 0.099498 1.56729 7.22532 1.43081 #avg: 6.73019; avg_err: 0.969242; sd: 18.1588; counts: 352
sfh 0.102873 1.83644 9.02046 1.62693 #avg: 6.86639; avg_err: 0.790929; sd: 14.818; counts: 352
sfh 0.106248 2.40532 10.8399 2.15116 #avg: 8.9251; avg_err: 1.41802; sd: 26.5666; counts: 352
sfh 0.109623 2.71078 12.8511 2.37252 #avg: 10.9353; avg_err: 1.88745; sd: 35.3614; counts: 352
sfh 0.112998 3.44017 13.1992 3.0038 #avg: 12.1425; avg_err: 1.86256; sd: 34.895; counts: 352
sfh 0.116373 4.11591 15.6405 3.68824 #avg: 14.0414; avg_err: 1.97278; sd: 36.96; counts: 352
sfh 0.119748 4.82479 17.2433 4.29057 #avg: 15.7584; avg_err: 2.05978; sd: 38.5899; counts: 352
sfh 0.123123 5.54048 24.5028 4.94896 #avg: 18.8266; avg_err: 2.48495; sd: 46.5554; counts: 352
sfh 0.126498 5.98199 24.6634 5.31607 #avg: 22.7725; avg_err: 3.23105; sd: 60.5336; counts: 352
sfh 0.129873 6.73413 28.9585 5.93574 #avg: 30.4678; avg_err: 4.99907; sd: 93.6576; counts: 352
sfh 0.133248 7.47836 36.4201 6.50352 #avg: 35.4713; avg_err: 5.96206; sd: 111.699; counts: 352
sfh 0.136623 8.06928 35.9779 6.96436 #avg: 38.7715; avg_err: 6.53151; sd: 122.368; counts: 352
sfh 0.141685 9.43834 44.3222 7.99597 #avg: 47.3111; avg_err: 8.98642; sd: 168.36; counts: 352
sfh 0.146748 10.6629 46.859 8.96412 #avg: 42.5288; avg_err: 6.32144; sd: 118.432; counts: 352
sfh 0.15181 12.7812 51.2247 10.4961 #avg: 43.5703; avg_err: 5.92954; sd: 111.09; counts: 352
sfh 0.156873 14.4232 60.4483 11.8738 #avg: 50.4829; avg_err: 7.25127; sd: 135.853; counts: 352
sfh 0.161935 16.5942 57.4326 13.7438 #avg: 50.8041; avg_err: 6.06018; sd: 113.537; counts: 352
sfh 0.166998 19.6284 62.6696 16.4801 #avg: 57.0979; avg_err: 6.67523; sd: 125.06; counts: 352
sfh 0.17206 21.8501 75.4547 18.3054 #avg: 59.6634; avg_err: 6.38845; sd: 119.688; counts: 352
sfh 0.177123 25.5135 84.6675 21.1762 #avg: 65.3002; avg_err: 5.95803; sd: 111.624; counts: 352
sfh 0.182185 30.1065 98.7755 25.9094 #avg: 75.2019; avg_err: 6.6691; sd: 124.946; counts: 352
sfh 0.187248 35.149 117.661 30.4609 #avg: 82.1724; avg_err: 7.05255; sd: 132.129; counts: 352
sfh 0.19231 36.0287 135.743 31.0034 #avg: 90.0452; avg_err: 8.03969; sd: 150.624; counts: 352
sfh 0.197373 38.3649 148.994 33.0594 #avg: 97.0376; avg_err: 8.15537; sd: 152.791; counts: 352
sfh 0.202435 41.9359 179.192 35.2754 #avg: 101.178; avg_err: 8.21627; sd: 153.932; counts: 352
sfh 0.207498 49.9121 151.439 42.9502 #avg: 103.49; avg_err: 7.98879; sd: 149.67; counts: 352
sfh 0.21256 51.4677 146.531 44.0464 #avg: 102.332; avg_err: 7.15099; sd: 133.974; counts: 352
sfh 0.217623 53.5335 150.472 45.7588 #avg: 106.14; avg_err: 7.77463; sd: 145.658; counts: 352
sfh 0.222685 58.2901 139.381 50.747 #avg: 111.168; avg_err: 8.44818; sd: 158.277; counts: 352
sfh 0.227748 53.797 161.236 47.4064 #avg: 121.719; avg_err: 9.58569; sd: 179.588; counts: 352
sfh 0.23281 58.9018 183.088 50.0491 #avg: 130.939; avg_err: 10.4113; sd: 195.055; counts: 352
sfh 0.237873 60.1216 178.889 51.3204 #avg: 132.447; avg_err: 10.3787; sd: 194.445; counts: 352
sfh 0.242935 70.6136 190.943 61.0335 #avg: 131.943; avg_err: 9.37108; sd: 175.567; counts: 352
sfh 0.247998 75.9412 195.274 66.6561 #avg: 136.37; avg_err: 8.88833; sd: 166.523; counts: 352
sfh 0.25306 82.9934 193.93 71.3752 #avg: 143.228; avg_err: 9.21047; sd: 172.558; counts: 352
sfh 0.258123 88.3535 182.697 76.8737 #avg: 146.546; avg_err: 9.73212; sd: 182.331; counts: 352
sfh 0.263185 93.7321 177.139 82.8459 #avg: 152.553; avg_err: 10.0416; sd: 188.129; counts: 352
sfh 0.268248 91.7007 189.671 81.2947 #avg: 151.852; avg_err: 9.47633; sd: 177.539; counts: 352
sfh 0.27331 94.7827 189.015 85.2471 #avg: 148.129; avg_err: 8.51669; sd: 159.56; counts: 352
sfh 0.278373 104.94 169.341 97.08 #avg: 147.621; avg_err: 8.6254; sd: 161.597; counts: 352
sfh 0.283435 98.2597 174.866 92.9433 #avg: 143.933; avg_err: 8.63264; sd: 161.732; counts: 352
sfh 0.288498 92.4569 177.624 87.9908 #avg: 142.308; avg_err: 8.74345; sd: 163.808; counts: 352
sfh 0.29356 81.8929 174.597 78.5081 #avg: 138.333; avg_err: 8.69901; sd: 162.976; counts: 352
sfh 0.298623 89.4504 176.935 86.1043 #avg: 135.963; avg_err: 8.67065; sd: 162.445; counts: 352
sfh 0.303685 93.4506 169.557 90.6175 #avg: 131.225; avg_err: 8.13891; sd: 152.482; counts: 352
sfh 0.308748 88.526 168.287 85.7139 #avg: 123.882; avg_err: 7.01773; sd: 131.477; counts: 352
sfh 0.31381 86.8061 146.285 84.4916 #avg: 118.284; avg_err: 6.59133; sd: 123.488; counts: 352
sfh 0.318873 79.0703 139.782 77.0796 #avg: 108.17; avg_err: 6.28775; sd: 117.801; counts: 352
