#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 10.25 - 10.75
#HM   Stats: 4.648530e+10 (median) + 0.000000e+00  / - 2.757350e+10
#SM   Stats: 2.837080e+09 (median) + 0.000000e+00  / - 2.800929e+09
#VMP  Stats: 6.552000e+01 (median) + 0.000000e+00  / - 2.023000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 7.813168e-12 (median) + 0.000000e+00  / - 1.005160e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.085998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.089373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.092748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.096123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.099498 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.102873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.106248 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.109623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.112998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.116373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.119748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.123123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.126498 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.129873 5.47225e-12 0 5.47225e-12 #avg: 2.73612e-12; avg_err: 2.73612e-12; sd: 2.73612e-12; counts: 2
sfh 0.133248 5.69748e-12 0 5.69748e-12 #avg: 2.84874e-12; avg_err: 2.84874e-12; sd: 2.84874e-12; counts: 2
