#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 10.25 - 10.75
#HM   Stats: 2.939710e+10 (median) + 1.504410e+10  / - 8.661801e+09
#SM   Stats: 2.861960e+07 (median) + 6.121430e+07  / - 1.889162e+07
#VMP  Stats: 6.611000e+01 (median) + 1.391000e+01  / - 8.940002e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 4.782105e-10 (median) + 4.383852e-10  / - 2.262221e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 933810
sfh 0.060123 0 0 0 #avg: 9.46614e-17; avg_err: 9.46614e-17; sd: 9.14749e-14; counts: 933810
sfh 0.062373 0 0 0 #avg: 1.22024e-15; avg_err: 1.10533e-15; sd: 1.06812e-12; counts: 933810
sfh 0.064623 0 0 0 #avg: 1.10308e-15; avg_err: 7.03866e-16; sd: 6.80173e-13; counts: 933810
sfh 0.066873 0 0 0 #avg: 6.74763e-15; avg_err: 3.69867e-15; sd: 3.57417e-12; counts: 933810
sfh 0.069123 0 0 0 #avg: 1.40346e-14; avg_err: 3.4149e-15; sd: 3.29995e-12; counts: 933810
sfh 0.071373 0 0 0 #avg: 4.31064e-14; avg_err: 7.87306e-15; sd: 7.60803e-12; counts: 933810
sfh 0.073623 0 0 0 #avg: 9.29083e-14; avg_err: 1.43191e-14; sd: 1.38371e-11; counts: 933810
sfh 0.075873 0 0 0 #avg: 1.8085e-13; avg_err: 1.86694e-14; sd: 1.80409e-11; counts: 933810
sfh 0.078123 0 0 0 #avg: 3.50136e-13; avg_err: 3.36783e-14; sd: 3.25446e-11; counts: 933810
sfh 0.080373 0 0 0 #avg: 5.95777e-13; avg_err: 4.28929e-14; sd: 4.1449e-11; counts: 933810
