#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 11.25 - 11.75
#HM   Stats: 4.664710e+11 (median) + 7.294101e+10  / - 1.155890e+11
#SM   Stats: 3.745370e+09 (median) + 3.470000e+09  / - 2.193710e+09
#VMP  Stats: 1.530000e+02 (median) + 1.417000e+01  / - 1.152000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.338076e-12 (median) + 3.021378e-12  / - 1.361239e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 432
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 432
sfh 0.062373 0 0 0 #avg: 3.0285e-14; avg_err: 3.0285e-14; sd: 6.28732e-13; counts: 432
sfh 0.064623 0 0 0 #avg: 6.84505e-14; avg_err: 4.91222e-14; sd: 1.0198e-12; counts: 432
sfh 0.066873 0 0 0 #avg: 1.14964e-13; avg_err: 8.8562e-14; sd: 1.83859e-12; counts: 432
sfh 0.069123 0 0 0 #avg: 1.49029e-13; avg_err: 1.07145e-13; sd: 2.22439e-12; counts: 432
sfh 0.071373 0 0 0 #avg: 4.29593e-13; avg_err: 2.43911e-13; sd: 5.06372e-12; counts: 432
sfh 0.073623 0 0 0 #avg: 1.0076e-12; avg_err: 4.13631e-13; sd: 8.5872e-12; counts: 432
sfh 0.075873 0 0 0 #avg: 2.26136e-12; avg_err: 8.35806e-13; sd: 1.73518e-11; counts: 432
sfh 0.078123 0 0 0 #avg: 6.82113e-12; avg_err: 3.53969e-12; sd: 7.34858e-11; counts: 432
sfh 0.080373 0 0 0 #avg: 9.32183e-12; avg_err: 2.9243e-12; sd: 6.07101e-11; counts: 432
sfh 0.082623 0 0 0 #avg: 1.15775e-11; avg_err: 3.14594e-12; sd: 6.53114e-11; counts: 432
sfh 0.085998 0 3.13681e-12 0 #avg: 2.2451e-11; avg_err: 1.26961e-11; sd: 2.63579e-10; counts: 432
sfh 0.089373 0 1.11147e-11 0 #avg: 1.28226e-11; avg_err: 2.62275e-12; sd: 5.44497e-11; counts: 432
sfh 0.092748 0 1.83606e-11 0 #avg: 1.3877e-11; avg_err: 2.45963e-12; sd: 5.10632e-11; counts: 432
sfh 0.096123 0 2.52452e-11 0 #avg: 1.79085e-11; avg_err: 2.49539e-12; sd: 5.18057e-11; counts: 432
sfh 0.099498 1.65237e-13 3.51007e-11 1.65237e-13 #avg: 2.28448e-11; avg_err: 3.65696e-12; sd: 7.59204e-11; counts: 432
sfh 0.102873 1.69207e-12 3.7206e-11 1.69207e-12 #avg: 3.03498e-11; avg_err: 3.95188e-12; sd: 8.20432e-11; counts: 432
sfh 0.106248 4.03759e-12 4.27181e-11 4.03759e-12 #avg: 3.82107e-11; avg_err: 6.02319e-12; sd: 1.25045e-10; counts: 432
sfh 0.109623 6.89167e-12 5.55262e-11 6.89167e-12 #avg: 4.53451e-11; avg_err: 7.35765e-12; sd: 1.52749e-10; counts: 432
sfh 0.112998 7.36005e-12 6.85751e-11 7.36005e-12 #avg: 4.90891e-11; avg_err: 8.1039e-12; sd: 1.68241e-10; counts: 432
sfh 0.116373 1.04392e-11 5.8208e-11 1.04392e-11 #avg: 4.70605e-11; avg_err: 7.6324e-12; sd: 1.58453e-10; counts: 432
sfh 0.119748 1.53339e-11 6.67399e-11 1.52588e-11 #avg: 5.63628e-11; avg_err: 8.28176e-12; sd: 1.71934e-10; counts: 432
sfh 0.123123 1.85345e-11 7.29503e-11 1.77719e-11 #avg: 6.55322e-11; avg_err: 1.2455e-11; sd: 2.58573e-10; counts: 432
sfh 0.126498 1.93347e-11 7.46435e-11 1.82009e-11 #avg: 7.00687e-11; avg_err: 1.29578e-11; sd: 2.69011e-10; counts: 432
sfh 0.129873 2.17789e-11 7.92779e-11 2.00803e-11 #avg: 6.95581e-11; avg_err: 9.75822e-12; sd: 2.02586e-10; counts: 432
sfh 0.133248 2.20401e-11 9.68693e-11 1.99736e-11 #avg: 7.421e-11; avg_err: 8.04772e-12; sd: 1.67075e-10; counts: 432
sfh 0.136623 2.44017e-11 1.02062e-10 2.17364e-11 #avg: 7.82611e-11; avg_err: 7.72208e-12; sd: 1.60315e-10; counts: 432
sfh 0.141685 2.79894e-11 1.05524e-10 2.35928e-11 #avg: 8.29741e-11; avg_err: 7.3445e-12; sd: 1.52476e-10; counts: 432
sfh 0.146748 3.74479e-11 1.14145e-10 3.20102e-11 #avg: 8.71379e-11; avg_err: 6.86924e-12; sd: 1.42609e-10; counts: 432
sfh 0.15181 4.11811e-11 1.45112e-10 3.40352e-11 #avg: 1.03737e-10; avg_err: 1.21034e-11; sd: 2.51274e-10; counts: 432
sfh 0.156873 4.35703e-11 1.35174e-10 3.54134e-11 #avg: 1.04786e-10; avg_err: 9.70081e-12; sd: 2.01394e-10; counts: 432
sfh 0.161935 4.68584e-11 1.58865e-10 3.71531e-11 #avg: 1.05909e-10; avg_err: 8.25886e-12; sd: 1.71458e-10; counts: 432
sfh 0.166998 4.84889e-11 1.81372e-10 3.75959e-11 #avg: 1.24947e-10; avg_err: 9.51626e-12; sd: 1.97563e-10; counts: 432
sfh 0.17206 5.61165e-11 1.68954e-10 4.3229e-11 #avg: 1.28136e-10; avg_err: 9.55201e-12; sd: 1.98305e-10; counts: 432
sfh 0.177123 6.41318e-11 1.86013e-10 5.154e-11 #avg: 1.40503e-10; avg_err: 1.21672e-11; sd: 2.52598e-10; counts: 432
sfh 0.182185 6.64968e-11 1.96062e-10 5.20408e-11 #avg: 1.46828e-10; avg_err: 1.07756e-11; sd: 2.23707e-10; counts: 432
sfh 0.187248 7.36456e-11 1.81273e-10 5.76738e-11 #avg: 1.5704e-10; avg_err: 1.25152e-11; sd: 2.59823e-10; counts: 432
sfh 0.19231 8.00589e-11 1.92703e-10 6.13322e-11 #avg: 1.62029e-10; avg_err: 1.22713e-11; sd: 2.54758e-10; counts: 432
sfh 0.197373 9.45427e-11 1.9608e-10 7.39555e-11 #avg: 1.6372e-10; avg_err: 1.11712e-11; sd: 2.3192e-10; counts: 432
sfh 0.202435 9.64153e-11 1.87377e-10 7.1129e-11 #avg: 1.7299e-10; avg_err: 1.22121e-11; sd: 2.53529e-10; counts: 432
sfh 0.207498 1.02357e-10 2.04438e-10 7.70683e-11 #avg: 1.78902e-10; avg_err: 1.12168e-11; sd: 2.32868e-10; counts: 432
sfh 0.21256 1.10581e-10 1.98624e-10 8.56979e-11 #avg: 1.86476e-10; avg_err: 1.12533e-11; sd: 2.33624e-10; counts: 432
sfh 0.217623 1.19456e-10 2.28064e-10 9.63565e-11 #avg: 1.94004e-10; avg_err: 1.1586e-11; sd: 2.40531e-10; counts: 432
sfh 0.222685 1.24123e-10 2.36669e-10 9.74282e-11 #avg: 2.10813e-10; avg_err: 1.34959e-11; sd: 2.80183e-10; counts: 432
sfh 0.227748 1.21172e-10 2.73917e-10 9.38782e-11 #avg: 2.22165e-10; avg_err: 1.40649e-11; sd: 2.91994e-10; counts: 432
sfh 0.23281 1.2232e-10 2.7794e-10 9.07142e-11 #avg: 2.32905e-10; avg_err: 1.48016e-11; sd: 3.07289e-10; counts: 432
sfh 0.237873 1.35208e-10 2.94509e-10 1.02682e-10 #avg: 2.36477e-10; avg_err: 1.40663e-11; sd: 2.92025e-10; counts: 432
sfh 0.242935 1.41487e-10 3.1422e-10 1.03393e-10 #avg: 2.39916e-10; avg_err: 1.32784e-11; sd: 2.75666e-10; counts: 432
sfh 0.247998 1.48457e-10 2.56571e-10 1.07887e-10 #avg: 2.44668e-10; avg_err: 1.41276e-11; sd: 2.93297e-10; counts: 432
sfh 0.25306 1.54887e-10 2.58031e-10 1.10021e-10 #avg: 2.4841e-10; avg_err: 1.56473e-11; sd: 3.24846e-10; counts: 432
sfh 0.258123 1.60429e-10 2.60979e-10 1.08329e-10 #avg: 2.55528e-10; avg_err: 1.49113e-11; sd: 3.09566e-10; counts: 432
sfh 0.263185 1.69898e-10 2.64538e-10 1.23606e-10 #avg: 2.60971e-10; avg_err: 1.47631e-11; sd: 3.0649e-10; counts: 432
sfh 0.268248 1.66654e-10 3.18689e-10 1.20561e-10 #avg: 2.75616e-10; avg_err: 1.54466e-11; sd: 3.20681e-10; counts: 432
sfh 0.27331 1.88243e-10 3.11864e-10 1.43023e-10 #avg: 2.8346e-10; avg_err: 1.54668e-11; sd: 3.211e-10; counts: 432
sfh 0.278373 1.83055e-10 3.36721e-10 1.31239e-10 #avg: 2.9323e-10; avg_err: 1.58225e-11; sd: 3.28483e-10; counts: 432
sfh 0.283435 1.95649e-10 2.73737e-10 1.38002e-10 #avg: 2.92753e-10; avg_err: 1.60099e-11; sd: 3.32374e-10; counts: 432
sfh 0.288498 2.11019e-10 2.6966e-10 1.47225e-10 #avg: 2.86552e-10; avg_err: 1.38772e-11; sd: 2.88098e-10; counts: 432
sfh 0.29356 2.22488e-10 2.80169e-10 1.50342e-10 #avg: 2.99807e-10; avg_err: 1.42924e-11; sd: 2.96719e-10; counts: 432
sfh 0.298623 2.16992e-10 3.14227e-10 1.38815e-10 #avg: 3.10553e-10; avg_err: 1.43298e-11; sd: 2.97495e-10; counts: 432
sfh 0.303685 2.30963e-10 2.89312e-10 1.49051e-10 #avg: 3.1706e-10; avg_err: 1.56306e-11; sd: 3.245e-10; counts: 432
sfh 0.308748 2.39671e-10 2.77765e-10 1.63505e-10 #avg: 3.22171e-10; avg_err: 1.55455e-11; sd: 3.22733e-10; counts: 432
sfh 0.31381 2.50419e-10 3.20423e-10 1.67039e-10 #avg: 3.36851e-10; avg_err: 1.58491e-11; sd: 3.29036e-10; counts: 432
sfh 0.318873 2.5357e-10 3.35773e-10 1.65998e-10 #avg: 3.44944e-10; avg_err: 1.60363e-11; sd: 3.32921e-10; counts: 432
