#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 12.75 - 13.25
#HM   Stats: 7.701470e+12 (median) + 4.998530e+12  / - 1.532350e+12
#SM   Stats: 1.357200e+11 (median) + 1.363490e+11  / - 8.835430e+10
#VMP  Stats: 3.596000e+02 (median) + 6.482999e+01  / - 3.604001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.528612e-11 (median) + 1.621595e-11  / - 3.858923e-12
sfh 0.055623 0 0 0 #avg: 4.83181e-14; avg_err: 4.83181e-14; sd: 4.90375e-13; counts: 104
sfh 0.060123 0 0 0 #avg: 1.28021e-13; avg_err: 1.28021e-13; sd: 1.29927e-12; counts: 104
sfh 0.062373 0 0 0 #avg: 4.98155e-13; avg_err: 4.98155e-13; sd: 5.05572e-12; counts: 104
sfh 0.064623 0 0 0 #avg: 4.47e-13; avg_err: 4.15979e-13; sd: 4.22172e-12; counts: 104
sfh 0.066873 0 0 0 #avg: 3.36623e-13; avg_err: 1.70341e-13; sd: 1.72877e-12; counts: 104
sfh 0.069123 0 0 0 #avg: 8.96614e-13; avg_err: 3.61901e-13; sd: 3.6729e-12; counts: 104
sfh 0.071373 0 2.20633e-13 0 #avg: 1.50495e-12; avg_err: 7.80221e-13; sd: 7.91838e-12; counts: 104
sfh 0.073623 0 1.06796e-12 0 #avg: 2.44841e-12; avg_err: 9.82355e-13; sd: 9.96982e-12; counts: 104
sfh 0.075873 0 1.44992e-12 0 #avg: 3.12684e-12; avg_err: 1.05753e-12; sd: 1.07327e-11; counts: 104
sfh 0.078123 0 2.6531e-12 0 #avg: 5.70281e-12; avg_err: 2.34009e-12; sd: 2.37494e-11; counts: 104
sfh 0.080373 5.26186e-14 4.38077e-12 5.26186e-14 #avg: 6.40425e-12; avg_err: 2.86866e-12; sd: 2.91138e-11; counts: 104
sfh 0.082623 2.3837e-13 5.69815e-12 2.3837e-13 #avg: 5.47566e-12; avg_err: 1.78177e-12; sd: 1.8083e-11; counts: 104
sfh 0.085998 4.19727e-13 8.64625e-12 4.19727e-13 #avg: 7.17795e-12; avg_err: 1.90777e-12; sd: 1.93618e-11; counts: 104
sfh 0.089373 9.16388e-13 9.35992e-12 9.16388e-13 #avg: 7.26953e-12; avg_err: 1.81838e-12; sd: 1.84545e-11; counts: 104
sfh 0.092748 1.9582e-12 1.09145e-11 1.9582e-12 #avg: 1.52717e-11; avg_err: 7.69481e-12; sd: 7.80938e-11; counts: 104
