#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 12.75 - 13.25
#HM   Stats: 7.917650e+12 (median) + 4.286750e+12  / - 1.777940e+12
#SM   Stats: 1.048440e+11 (median) + 1.067160e+11  / - 6.568160e+10
#VMP  Stats: 3.806400e+02 (median) + 5.601999e+01  / - 4.022000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.442080e-12 (median) + 2.521387e-12  / - 9.163984e-13
sfh 0.055623 0 0 0 #avg: 3.03701e-14; avg_err: 1.61694e-14; sd: 6.74674e-13; counts: 1742
sfh 0.060123 0 0 0 #avg: 5.69357e-13; avg_err: 1.82306e-13; sd: 7.60677e-12; counts: 1742
sfh 0.062373 0 0 0 #avg: 1.2781e-12; avg_err: 3.36221e-13; sd: 1.40289e-11; counts: 1742
sfh 0.064623 0 0 0 #avg: 3.53478e-12; avg_err: 1.12875e-12; sd: 4.70972e-11; counts: 1742
sfh 0.066873 0 0 0 #avg: 4.47115e-12; avg_err: 1.286e-12; sd: 5.36589e-11; counts: 1742
sfh 0.069123 0 6.44626e-13 0 #avg: 5.3332e-12; avg_err: 1.31062e-12; sd: 5.4686e-11; counts: 1742
sfh 0.071373 0 2.29163e-12 0 #avg: 6.99206e-12; avg_err: 1.31108e-12; sd: 5.47053e-11; counts: 1742
sfh 0.073623 0 4.5418e-12 0 #avg: 8.78447e-12; avg_err: 1.63744e-12; sd: 6.83225e-11; counts: 1742
sfh 0.075873 0 7.85948e-12 0 #avg: 9.7043e-12; avg_err: 1.30083e-12; sd: 5.42776e-11; counts: 1742
sfh 0.078123 1.77409e-13 1.15536e-11 1.77409e-13 #avg: 1.22039e-11; avg_err: 1.30906e-12; sd: 5.46209e-11; counts: 1742
sfh 0.080373 6.39851e-13 1.40733e-11 6.39851e-13 #avg: 1.53024e-11; avg_err: 1.59745e-12; sd: 6.6654e-11; counts: 1742
sfh 0.082623 1.3719e-12 1.51411e-11 1.3719e-12 #avg: 1.65398e-11; avg_err: 1.71142e-12; sd: 7.14095e-11; counts: 1742
sfh 0.085998 2.54395e-12 2.18556e-11 2.54395e-12 #avg: 2.48951e-11; avg_err: 3.16825e-12; sd: 1.32196e-10; counts: 1742
sfh 0.089373 4.04401e-12 2.73445e-11 4.0112e-12 #avg: 3.29458e-11; avg_err: 4.94069e-12; sd: 2.06152e-10; counts: 1742
sfh 0.092748 5.41019e-12 2.98255e-11 5.17288e-12 #avg: 3.3778e-11; avg_err: 3.29952e-12; sd: 1.37673e-10; counts: 1742
sfh 0.096123 7.36817e-12 3.78336e-11 6.79444e-12 #avg: 4.35202e-11; avg_err: 4.29248e-12; sd: 1.79105e-10; counts: 1742
sfh 0.099498 9.32521e-12 4.86535e-11 8.3995e-12 #avg: 5.22876e-11; avg_err: 5.29415e-12; sd: 2.209e-10; counts: 1742
sfh 0.102873 1.15987e-11 5.94296e-11 1.01433e-11 #avg: 6.02007e-11; avg_err: 5.92063e-12; sd: 2.4704e-10; counts: 1742
sfh 0.106248 1.42244e-11 6.88021e-11 1.2287e-11 #avg: 7.19779e-11; avg_err: 6.93938e-12; sd: 2.89548e-10; counts: 1742
sfh 0.109623 1.68499e-11 8.42838e-11 1.44891e-11 #avg: 8.11907e-11; avg_err: 7.57367e-12; sd: 3.16013e-10; counts: 1742
sfh 0.112998 2.07649e-11 9.47822e-11 1.78218e-11 #avg: 9.04124e-11; avg_err: 7.78589e-12; sd: 3.24868e-10; counts: 1742
sfh 0.116373 2.42577e-11 1.14482e-10 2.08663e-11 #avg: 1.01393e-10; avg_err: 7.77358e-12; sd: 3.24355e-10; counts: 1742
sfh 0.119748 2.82556e-11 1.28641e-10 2.36862e-11 #avg: 1.13061e-10; avg_err: 7.85072e-12; sd: 3.27574e-10; counts: 1742
