#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 13.75 - 14.25
#HM   Stats: 7.757350e+13 (median) + 3.685250e+13  / - 1.670590e+13
#SM   Stats: 2.880640e+11 (median) + 2.180230e+11  / - 1.503860e+11
#VMP  Stats: 7.582300e+02 (median) + 1.081800e+02  / - 6.532001e+01
#ICL  Stats: 9.950670e+10 (median) + 1.915323e+11  / - 8.556830e+10
#SSFR Stats: 2.550637e-12 (median) + 3.459600e-12  / - 1.522550e-12
sfh 0.055623 0 0 0 #avg: 5.06313e-14; avg_err: 3.59363e-14; sd: 7.01448e-13; counts: 382
sfh 0.060123 0 0 0 #avg: 8.31789e-13; avg_err: 4.16245e-13; sd: 8.12478e-12; counts: 382
sfh 0.062373 0 4.13143e-13 0 #avg: 2.06246e-12; avg_err: 7.99815e-13; sd: 1.56118e-11; counts: 382
sfh 0.064623 0 2.33894e-12 0 #avg: 2.74499e-12; avg_err: 6.7975e-13; sd: 1.32682e-11; counts: 382
sfh 0.066873 0 5.02516e-12 0 #avg: 4.3439e-12; avg_err: 7.31024e-13; sd: 1.4269e-11; counts: 382
sfh 0.069123 1.9379e-13 1.06556e-11 1.9379e-13 #avg: 7.75824e-12; avg_err: 1.24821e-12; sd: 2.43641e-11; counts: 382
sfh 0.071373 1.13732e-12 1.36796e-11 1.13732e-12 #avg: 1.01071e-11; avg_err: 1.44264e-12; sd: 2.81592e-11; counts: 382
sfh 0.073623 2.80012e-12 2.02669e-11 2.80012e-12 #avg: 1.28822e-11; avg_err: 1.50085e-12; sd: 2.92954e-11; counts: 382
sfh 0.075873 4.33145e-12 2.71338e-11 4.26453e-12 #avg: 1.62778e-11; avg_err: 1.5248e-12; sd: 2.97629e-11; counts: 382
sfh 0.078123 5.68939e-12 3.15244e-11 5.31426e-12 #avg: 2.11281e-11; avg_err: 2.10699e-12; sd: 4.11268e-11; counts: 382
sfh 0.080373 8.08551e-12 2.6193e-11 7.19488e-12 #avg: 2.43773e-11; avg_err: 2.55746e-12; sd: 4.99197e-11; counts: 382
sfh 0.082623 8.9821e-12 2.62136e-11 7.54758e-12 #avg: 2.3248e-11; avg_err: 2.40631e-12; sd: 4.69693e-11; counts: 382
sfh 0.085998 1.24936e-11 3.86393e-11 9.17512e-12 #avg: 3.81648e-11; avg_err: 4.35651e-12; sd: 8.50356e-11; counts: 382
sfh 0.089373 1.6234e-11 4.97774e-11 1.11124e-11 #avg: 4.63704e-11; avg_err: 5.41275e-12; sd: 1.05653e-10; counts: 382
sfh 0.092748 2.1863e-11 6.64467e-11 1.61313e-11 #avg: 5.70509e-11; avg_err: 6.98604e-12; sd: 1.36362e-10; counts: 382
sfh 0.096123 2.67812e-11 8.07377e-11 1.88787e-11 #avg: 7.12502e-11; avg_err: 7.73366e-12; sd: 1.50955e-10; counts: 382
sfh 0.099498 3.49554e-11 8.49437e-11 2.49537e-11 #avg: 9.66517e-11; avg_err: 1.34904e-11; sd: 2.63323e-10; counts: 382
sfh 0.102873 4.2921e-11 1.33553e-10 3.15305e-11 #avg: 1.30713e-10; avg_err: 1.61476e-11; sd: 3.15189e-10; counts: 382
sfh 0.106248 4.96161e-11 1.57277e-10 3.51878e-11 #avg: 1.51188e-10; avg_err: 1.67678e-11; sd: 3.27295e-10; counts: 382
sfh 0.109623 6.71952e-11 1.90324e-10 4.93274e-11 #avg: 1.85363e-10; avg_err: 2.73281e-11; sd: 5.33424e-10; counts: 382
sfh 0.112998 7.47303e-11 2.46209e-10 5.32669e-11 #avg: 2.0267e-10; avg_err: 2.10283e-11; sd: 4.10455e-10; counts: 382
sfh 0.116373 8.60335e-11 2.8173e-10 6.16979e-11 #avg: 2.40986e-10; avg_err: 2.49671e-11; sd: 4.87339e-10; counts: 382
sfh 0.119748 9.64809e-11 3.58277e-10 6.75566e-11 #avg: 2.65446e-10; avg_err: 2.5688e-11; sd: 5.01409e-10; counts: 382
sfh 0.123123 1.14623e-10 4.23681e-10 8.09255e-11 #avg: 3.02743e-10; avg_err: 2.92345e-11; sd: 5.70635e-10; counts: 382
sfh 0.126498 1.34665e-10 4.24844e-10 9.80291e-11 #avg: 3.28007e-10; avg_err: 2.72512e-11; sd: 5.31923e-10; counts: 382
sfh 0.129873 1.69552e-10 4.59902e-10 1.28571e-10 #avg: 3.61947e-10; avg_err: 2.82499e-11; sd: 5.51416e-10; counts: 382
sfh 0.133248 1.79096e-10 5.25364e-10 1.31745e-10 #avg: 3.95355e-10; avg_err: 3.03608e-11; sd: 5.9262e-10; counts: 382
