#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 13.75 - 14.25
#HM   Stats: 7.938240e+13 (median) + 3.792660e+13  / - 1.836770e+13
#SM   Stats: 2.971480e+11 (median) + 2.123330e+11  / - 1.577860e+11
#VMP  Stats: 7.593300e+02 (median) + 1.089400e+02  / - 6.642004e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.589514e-12 (median) + 3.476898e-12  / - 1.490531e-12
sfh 0.055623 0 0 0 #avg: 5.43291e-14; avg_err: 3.85572e-14; sd: 7.26473e-13; counts: 356
sfh 0.060123 0 0 0 #avg: 8.48888e-13; avg_err: 4.45603e-13; sd: 8.39581e-12; counts: 356
sfh 0.062373 0 4.1869e-13 0 #avg: 2.00577e-12; avg_err: 8.41084e-13; sd: 1.58472e-11; counts: 356
sfh 0.064623 0 2.42285e-12 0 #avg: 2.59851e-12; avg_err: 6.63482e-13; sd: 1.2501e-11; counts: 356
sfh 0.066873 0 4.97621e-12 0 #avg: 4.22165e-12; avg_err: 7.30819e-13; sd: 1.37697e-11; counts: 356
sfh 0.069123 2.83217e-13 1.05662e-11 2.83217e-13 #avg: 7.64149e-12; avg_err: 1.27883e-12; sd: 2.4095e-11; counts: 356
sfh 0.071373 1.29111e-12 1.35258e-11 1.29111e-12 #avg: 9.91034e-12; avg_err: 1.45182e-12; sd: 2.73545e-11; counts: 356
sfh 0.073623 2.95892e-12 1.99325e-11 2.95892e-12 #avg: 1.23556e-11; avg_err: 1.47346e-12; sd: 2.77621e-11; counts: 356
sfh 0.075873 4.79084e-12 2.57103e-11 4.69162e-12 #avg: 1.61228e-11; avg_err: 1.53108e-12; sd: 2.88478e-11; counts: 356
sfh 0.078123 5.79269e-12 3.13669e-11 5.385e-12 #avg: 2.1015e-11; avg_err: 2.16299e-12; sd: 4.07538e-11; counts: 356
sfh 0.080373 8.61711e-12 2.40312e-11 7.67503e-12 #avg: 2.37808e-11; avg_err: 2.54856e-12; sd: 4.80186e-11; counts: 356
