#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 13.75 - 14.25
#HM   Stats: 7.720590e+13 (median) + 3.769111e+13  / - 1.633829e+13
#SM   Stats: 2.874330e+11 (median) + 2.178810e+11  / - 1.540660e+11
#VMP  Stats: 7.575900e+02 (median) + 1.099000e+02  / - 6.526001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.510025e-12 (median) + 3.381619e-12  / - 1.493543e-12
sfh 0.055623 0 0 0 #avg: 5.14393e-14; avg_err: 3.6509e-14; sd: 7.06993e-13; counts: 376
sfh 0.060123 0 0 0 #avg: 8.45063e-13; avg_err: 4.22861e-13; sd: 8.18867e-12; counts: 376
sfh 0.062373 0 4.13143e-13 0 #avg: 2.09123e-12; avg_err: 8.125e-13; sd: 1.5734e-11; counts: 376
sfh 0.064623 0 2.33894e-12 0 #avg: 2.74408e-12; avg_err: 6.89402e-13; sd: 1.33502e-11; counts: 376
sfh 0.066873 0 5.02516e-12 0 #avg: 4.0709e-12; avg_err: 6.68319e-13; sd: 1.29419e-11; counts: 376
sfh 0.069123 1.92667e-13 1.06568e-11 1.92667e-13 #avg: 7.68579e-12; avg_err: 1.25716e-12; sd: 2.43448e-11; counts: 376
sfh 0.071373 1.10768e-12 1.37092e-11 1.10768e-12 #avg: 1.01872e-11; avg_err: 1.46479e-12; sd: 2.83656e-11; counts: 376
sfh 0.073623 2.80012e-12 2.03929e-11 2.80012e-12 #avg: 1.30458e-11; avg_err: 1.5234e-12; sd: 2.95005e-11; counts: 376
sfh 0.075873 4.36e-12 2.91102e-11 4.31928e-12 #avg: 1.64756e-11; avg_err: 1.54722e-12; sd: 2.99617e-11; counts: 376
sfh 0.078123 5.72907e-12 3.25453e-11 5.40437e-12 #avg: 2.13721e-11; avg_err: 2.13823e-12; sd: 4.14067e-11; counts: 376
sfh 0.080373 8.08551e-12 2.6373e-11 7.23626e-12 #avg: 2.46069e-11; avg_err: 2.59618e-12; sd: 5.02748e-11; counts: 376
sfh 0.082623 8.9821e-12 2.62519e-11 7.55148e-12 #avg: 2.34442e-11; avg_err: 2.44278e-12; sd: 4.73043e-11; counts: 376
sfh 0.085998 1.26688e-11 3.92819e-11 9.38344e-12 #avg: 3.85934e-11; avg_err: 4.42289e-12; sd: 8.56488e-11; counts: 376
sfh 0.089373 1.67004e-11 5.02371e-11 1.13807e-11 #avg: 4.68953e-11; avg_err: 5.49712e-12; sd: 1.06451e-10; counts: 376
