#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 7.75 - 8.25
#HM   Stats: 1.248820e+11 (median) + 1.093830e+11  / - 1.052791e+11
#SM   Stats: 1.278140e+08 (median) + 3.619400e+07  / - 4.627360e+07
#VMP  Stats: 1.145500e+02 (median) + 2.755000e+01  / - 6.117000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.229227e-12 (median) + 5.135577e-12  / - 9.613084e-13
sfh 0.055623 0 0 0 #avg: 1.88491e-12; avg_err: 1.88491e-12; sd: 6.79614e-12; counts: 14
sfh 0.060123 0 0 0 #avg: 1.54361e-11; avg_err: 1.54361e-11; sd: 5.56558e-11; counts: 14
sfh 0.062373 0 0 0 #avg: 1.74399e-11; avg_err: 1.74399e-11; sd: 6.28804e-11; counts: 14
sfh 0.064623 0 0 0 #avg: 1.5928e-11; avg_err: 1.5928e-11; sd: 5.74294e-11; counts: 14
sfh 0.066873 0 0 0 #avg: 1.81572e-11; avg_err: 1.81572e-11; sd: 6.54666e-11; counts: 14
sfh 0.069123 0 0 0 #avg: 2.17814e-11; avg_err: 2.17814e-11; sd: 7.85339e-11; counts: 14
sfh 0.071373 0 0 0 #avg: 2.84969e-11; avg_err: 2.84969e-11; sd: 1.02747e-10; counts: 14
sfh 0.073623 0 0 0 #avg: 2.08333e-11; avg_err: 2.08333e-11; sd: 7.51155e-11; counts: 14
sfh 0.075873 0 0 0 #avg: 2.52286e-11; avg_err: 2.52286e-11; sd: 9.0963e-11; counts: 14
sfh 0.078123 0 0 0 #avg: 2.7812e-11; avg_err: 2.7812e-11; sd: 1.00278e-10; counts: 14
sfh 0.080373 0 0 0 #avg: 3.30023e-11; avg_err: 3.30023e-11; sd: 1.18992e-10; counts: 14
sfh 0.082623 0 0 0 #avg: 2.80114e-11; avg_err: 2.80114e-11; sd: 1.00997e-10; counts: 14
sfh 0.085998 0 0 0 #avg: 2.37415e-11; avg_err: 2.37415e-11; sd: 8.56013e-11; counts: 14
sfh 0.089373 0 0 0 #avg: 2.25799e-11; avg_err: 2.25799e-11; sd: 8.14128e-11; counts: 14
sfh 0.092748 0 0 0 #avg: 2.15812e-11; avg_err: 2.15812e-11; sd: 7.7812e-11; counts: 14
sfh 0.096123 0 0 0 #avg: 2.10242e-11; avg_err: 2.10242e-11; sd: 7.58038e-11; counts: 14
sfh 0.099498 0 0 0 #avg: 1.60422e-11; avg_err: 1.50841e-11; sd: 5.43865e-11; counts: 14
sfh 0.102873 0 5.85501e-12 0 #avg: 1.4743e-11; avg_err: 1.31021e-11; sd: 4.72402e-11; counts: 14
sfh 0.106248 0 1.6732e-10 0 #avg: 4.88513e-11; avg_err: 2.57311e-11; sd: 9.27748e-11; counts: 14
sfh 0.109623 0 1.4033e-10 0 #avg: 8.41212e-11; avg_err: 4.58243e-11; sd: 1.65222e-10; counts: 14
sfh 0.112998 4.08962e-11 7.53551e-11 4.08962e-11 #avg: 1.15235e-10; avg_err: 7.37199e-11; sd: 2.65801e-10; counts: 14
sfh 0.116373 4.12579e-11 4.81342e-11 4.12579e-11 #avg: 1.05488e-10; avg_err: 7.06925e-11; sd: 2.54885e-10; counts: 14
sfh 0.119748 4.74285e-11 9.35863e-11 4.74285e-11 #avg: 1.05529e-10; avg_err: 5.24861e-11; sd: 1.89241e-10; counts: 14
sfh 0.123123 3.79992e-11 1.87755e-10 3.79992e-11 #avg: 9.40783e-11; avg_err: 3.40132e-11; sd: 1.22636e-10; counts: 14
sfh 0.126498 3.03174e-11 1.48269e-10 3.03174e-11 #avg: 8.58839e-11; avg_err: 3.31795e-11; sd: 1.1963e-10; counts: 14
sfh 0.129873 5.30814e-11 1.98486e-10 5.30814e-11 #avg: 8.50134e-11; avg_err: 3.11188e-11; sd: 1.122e-10; counts: 14
sfh 0.133248 7.74309e-11 5.01672e-10 7.74309e-11 #avg: 3.18331e-10; avg_err: 1.68373e-10; sd: 6.07078e-10; counts: 14
sfh 0.136623 7.0869e-11 1.11472e-09 7.0869e-11 #avg: 4.94325e-10; avg_err: 2.40769e-10; sd: 8.68106e-10; counts: 14
sfh 0.141685 5.74904e-11 1.63424e-09 5.74904e-11 #avg: 6.21191e-10; avg_err: 2.81389e-10; sd: 1.01456e-09; counts: 14
sfh 0.146748 5.60502e-11 6.29951e-10 5.60502e-11 #avg: 2.52045e-10; avg_err: 8.98671e-11; sd: 3.24021e-10; counts: 14
sfh 0.15181 1.00144e-10 1.74166e-10 1.00144e-10 #avg: 1.60656e-10; avg_err: 5.33658e-11; sd: 1.92413e-10; counts: 14
sfh 0.156873 8.65942e-11 3.85356e-10 8.65942e-11 #avg: 2.38056e-10; avg_err: 1.06935e-10; sd: 3.8556e-10; counts: 14
sfh 0.161935 6.14022e-11 1.87207e-10 6.09236e-11 #avg: 1.89951e-10; avg_err: 1.12637e-10; sd: 4.0612e-10; counts: 14
sfh 0.166998 8.76208e-11 1.21953e-10 5.74252e-11 #avg: 1.70895e-10; avg_err: 8.02243e-11; sd: 2.89253e-10; counts: 14
sfh 0.17206 1.2209e-10 7.00346e-11 8.47081e-11 #avg: 1.38024e-10; avg_err: 3.17237e-11; sd: 1.14382e-10; counts: 14
sfh 0.177123 1.38111e-10 8.44197e-11 1.29316e-10 #avg: 1.61366e-10; avg_err: 4.74838e-11; sd: 1.71205e-10; counts: 14
