#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 8.75 - 9.25
#HM   Stats: 2.777940e+11 (median) + 1.666180e+11  / - 1.019120e+11
#SM   Stats: 1.247510e+09 (median) + 3.616800e+08  / - 4.504910e+08
#VMP  Stats: 1.415900e+02 (median) + 2.155000e+01  / - 1.097000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.646096e-12 (median) + 2.899397e-12  / - 1.046736e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 779
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 779
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 779
sfh 0.064623 0 0 0 #avg: 3.55979e-14; avg_err: 3.55979e-14; sd: 9.92919e-13; counts: 779
sfh 0.066873 0 0 0 #avg: 9.62783e-13; avg_err: 6.87996e-13; sd: 1.919e-11; counts: 779
sfh 0.069123 0 0 0 #avg: 5.29106e-12; avg_err: 3.23946e-12; sd: 9.03572e-11; counts: 779
sfh 0.071373 0 0 0 #avg: 5.65696e-12; avg_err: 2.66035e-12; sd: 7.42042e-11; counts: 779
sfh 0.073623 0 0 0 #avg: 1.18567e-11; avg_err: 5.39509e-12; sd: 1.50483e-10; counts: 779
sfh 0.075873 0 0 0 #avg: 2.37315e-11; avg_err: 9.73101e-12; sd: 2.71424e-10; counts: 779
sfh 0.078123 0 0 0 #avg: 2.48471e-11; avg_err: 9.45459e-12; sd: 2.63714e-10; counts: 779
sfh 0.080373 0 0 0 #avg: 3.23743e-11; avg_err: 1.03623e-11; sd: 2.89031e-10; counts: 779
sfh 0.082623 0 0 0 #avg: 3.63819e-11; avg_err: 9.36457e-12; sd: 2.61203e-10; counts: 779
sfh 0.085998 0 2.1119e-12 0 #avg: 4.46385e-11; avg_err: 1.10036e-11; sd: 3.06919e-10; counts: 779
sfh 0.089373 0 1.43752e-11 0 #avg: 4.47608e-11; avg_err: 8.86683e-12; sd: 2.47319e-10; counts: 779
sfh 0.092748 0 3.90592e-11 0 #avg: 4.83637e-11; avg_err: 6.24872e-12; sd: 1.74293e-10; counts: 779
sfh 0.096123 0 5.87203e-11 0 #avg: 6.66391e-11; avg_err: 1.0034e-11; sd: 2.79875e-10; counts: 779
sfh 0.099498 0 8.26962e-11 0 #avg: 8.20679e-11; avg_err: 2.11534e-11; sd: 5.90024e-10; counts: 779
sfh 0.102873 9.80894e-13 1.06624e-10 9.80894e-13 #avg: 7.67832e-11; avg_err: 9.05418e-12; sd: 2.52545e-10; counts: 779
sfh 0.106248 5.17343e-12 1.22746e-10 5.17343e-12 #avg: 8.07585e-11; avg_err: 8.14984e-12; sd: 2.27321e-10; counts: 779
sfh 0.109623 1.12937e-11 1.14957e-10 1.12937e-11 #avg: 8.53026e-11; avg_err: 7.76179e-12; sd: 2.16497e-10; counts: 779
sfh 0.112998 1.63917e-11 1.16867e-10 1.63917e-11 #avg: 1.06376e-10; avg_err: 1.05744e-11; sd: 2.94947e-10; counts: 779
sfh 0.116373 2.09566e-11 1.47157e-10 2.09566e-11 #avg: 1.15296e-10; avg_err: 1.14974e-11; sd: 3.20692e-10; counts: 779
sfh 0.119748 2.60334e-11 1.55874e-10 2.60334e-11 #avg: 1.18281e-10; avg_err: 1.22985e-11; sd: 3.43037e-10; counts: 779
sfh 0.123123 3.04492e-11 1.63766e-10 3.03415e-11 #avg: 1.39858e-10; avg_err: 1.67033e-11; sd: 4.65898e-10; counts: 779
sfh 0.126498 3.64963e-11 1.83812e-10 3.55172e-11 #avg: 1.63475e-10; avg_err: 1.89687e-11; sd: 5.29088e-10; counts: 779
sfh 0.129873 4.23052e-11 1.82649e-10 3.97108e-11 #avg: 1.84873e-10; avg_err: 2.10894e-11; sd: 5.88239e-10; counts: 779
sfh 0.133248 4.78801e-11 2.09385e-10 4.38309e-11 #avg: 1.94959e-10; avg_err: 2.18559e-11; sd: 6.09618e-10; counts: 779
sfh 0.136623 5.53848e-11 2.16105e-10 4.98725e-11 #avg: 1.97001e-10; avg_err: 2.07256e-11; sd: 5.78093e-10; counts: 779
sfh 0.141685 6.41447e-11 2.31944e-10 5.62842e-11 #avg: 2.08601e-10; avg_err: 2.05647e-11; sd: 5.73605e-10; counts: 779
sfh 0.146748 6.81122e-11 2.75161e-10 5.73111e-11 #avg: 1.9941e-10; avg_err: 1.3351e-11; sd: 3.72395e-10; counts: 779
sfh 0.15181 7.76232e-11 3.21266e-10 6.64333e-11 #avg: 2.1093e-10; avg_err: 1.33982e-11; sd: 3.73712e-10; counts: 779
sfh 0.156873 8.53642e-11 3.20517e-10 7.26372e-11 #avg: 2.25347e-10; avg_err: 1.42059e-11; sd: 3.9624e-10; counts: 779
sfh 0.161935 1.02328e-10 3.63434e-10 8.86049e-11 #avg: 2.48586e-10; avg_err: 1.42898e-11; sd: 3.9858e-10; counts: 779
sfh 0.166998 1.06673e-10 4.11099e-10 9.27802e-11 #avg: 2.74785e-10; avg_err: 2.02977e-11; sd: 5.66157e-10; counts: 779
sfh 0.17206 1.13211e-10 3.79417e-10 9.73193e-11 #avg: 2.93193e-10; avg_err: 1.96612e-11; sd: 5.48403e-10; counts: 779
sfh 0.177123 1.28689e-10 4.15899e-10 1.08081e-10 #avg: 3.09124e-10; avg_err: 2.0982e-11; sd: 5.85242e-10; counts: 779
sfh 0.182185 1.44489e-10 3.8549e-10 1.19459e-10 #avg: 3.38418e-10; avg_err: 2.27843e-11; sd: 6.35515e-10; counts: 779
sfh 0.187248 1.47307e-10 4.4389e-10 1.21755e-10 #avg: 3.40667e-10; avg_err: 2.05997e-11; sd: 5.74581e-10; counts: 779
sfh 0.19231 1.7481e-10 4.43403e-10 1.43534e-10 #avg: 3.68151e-10; avg_err: 2.15088e-11; sd: 5.99938e-10; counts: 779
