#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.595590e+11 (median) + 9.676500e+10  / - 5.108799e+10
#SM   Stats: 5.642790e+08 (median) + 1.032481e+09  / - 3.153220e+08
#VMP  Stats: 1.022700e+02 (median) + 1.615000e+01  / - 9.759995e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 7.872129e-10 (median) + 7.686273e-10  / - 3.544665e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 539292
sfh 0.060123 0 0 0 #avg: 6.48428e-17; avg_err: 6.48428e-17; sd: 4.76182e-14; counts: 539292
sfh 0.062373 0 0 0 #avg: 6.81562e-16; avg_err: 3.04405e-16; sd: 2.23544e-13; counts: 539292
sfh 0.064623 0 0 0 #avg: 3.89472e-15; avg_err: 1.08227e-15; sd: 7.94779e-13; counts: 539292
sfh 0.066873 0 0 0 #avg: 1.3465e-14; avg_err: 2.78767e-15; sd: 2.04716e-12; counts: 539292
sfh 0.069123 0 0 0 #avg: 4.47562e-14; avg_err: 7.1881e-15; sd: 5.27868e-12; counts: 539292
sfh 0.071373 0 0 0 #avg: 1.31896e-13; avg_err: 2.06299e-14; sd: 1.51499e-11; counts: 539292
sfh 0.073623 0 0 0 #avg: 2.86802e-13; avg_err: 4.35538e-14; sd: 3.19843e-11; counts: 539292
sfh 0.075873 0 0 0 #avg: 4.74542e-13; avg_err: 4.12452e-14; sd: 3.0289e-11; counts: 539292
sfh 0.078123 0 0 0 #avg: 7.55778e-13; avg_err: 3.77597e-14; sd: 2.77294e-11; counts: 539292
sfh 0.080373 0 0 0 #avg: 1.2923e-12; avg_err: 4.9156e-14; sd: 3.60984e-11; counts: 539292
sfh 0.082623 0 0 0 #avg: 1.98604e-12; avg_err: 6.30791e-14; sd: 4.63231e-11; counts: 539292
sfh 0.085998 0 0 0 #avg: 3.60787e-12; avg_err: 9.00427e-14; sd: 6.61241e-11; counts: 539292
sfh 0.089373 0 0 0 #avg: 5.76907e-12; avg_err: 1.04749e-13; sd: 7.6924e-11; counts: 539292
sfh 0.092748 0 0 0 #avg: 8.67141e-12; avg_err: 1.11848e-13; sd: 8.21375e-11; counts: 539292
sfh 0.096123 0 0 0 #avg: 1.20745e-11; avg_err: 1.29579e-13; sd: 9.51579e-11; counts: 539292
sfh 0.099498 0 1.7917e-12 0 #avg: 1.60151e-11; avg_err: 1.40616e-13; sd: 1.03263e-10; counts: 539292
sfh 0.102873 0 9.54564e-12 0 #avg: 2.02755e-11; avg_err: 1.53142e-13; sd: 1.12462e-10; counts: 539292
sfh 0.106248 0 2.03244e-11 0 #avg: 2.48831e-11; avg_err: 1.65848e-13; sd: 1.21793e-10; counts: 539292
sfh 0.109623 0 3.19157e-11 0 #avg: 2.95801e-11; avg_err: 1.76126e-13; sd: 1.29341e-10; counts: 539292
sfh 0.112998 0 4.26172e-11 0 #avg: 3.36571e-11; avg_err: 1.74209e-13; sd: 1.27933e-10; counts: 539292
sfh 0.116373 0 5.11026e-11 0 #avg: 3.69844e-11; avg_err: 1.77235e-13; sd: 1.30155e-10; counts: 539292
sfh 0.119748 1.54691e-12 5.77537e-11 1.54691e-12 #avg: 4.01572e-11; avg_err: 1.78459e-13; sd: 1.31054e-10; counts: 539292
sfh 0.123123 3.7726e-12 6.333e-11 3.7726e-12 #avg: 4.36936e-11; avg_err: 1.80707e-13; sd: 1.32705e-10; counts: 539292
sfh 0.126498 6.21087e-12 6.96235e-11 6.21087e-12 #avg: 4.79594e-11; avg_err: 1.88258e-13; sd: 1.3825e-10; counts: 539292
sfh 0.129873 8.94879e-12 7.55191e-11 8.94879e-12 #avg: 5.25728e-11; avg_err: 1.94723e-13; sd: 1.42998e-10; counts: 539292
sfh 0.133248 1.19691e-11 8.21008e-11 1.19691e-11 #avg: 5.74905e-11; avg_err: 2.05214e-13; sd: 1.50702e-10; counts: 539292
sfh 0.136623 1.51202e-11 8.8256e-11 1.51202e-11 #avg: 6.2794e-11; avg_err: 2.21519e-13; sd: 1.62676e-10; counts: 539292
sfh 0.141685 1.97646e-11 9.71916e-11 1.97646e-11 #avg: 7.00493e-11; avg_err: 2.27936e-13; sd: 1.67388e-10; counts: 539292
sfh 0.146748 2.49736e-11 1.05875e-10 2.45612e-11 #avg: 7.71735e-11; avg_err: 2.30567e-13; sd: 1.6932e-10; counts: 539292
sfh 0.15181 3.0119e-11 1.13768e-10 2.8533e-11 #avg: 8.40278e-11; avg_err: 2.37312e-13; sd: 1.74273e-10; counts: 539292
sfh 0.156873 3.49416e-11 1.20376e-10 3.19027e-11 #avg: 9.0406e-11; avg_err: 2.43375e-13; sd: 1.78726e-10; counts: 539292
sfh 0.161935 3.96507e-11 1.26478e-10 3.49679e-11 #avg: 9.66198e-11; avg_err: 2.49101e-13; sd: 1.82931e-10; counts: 539292
sfh 0.166998 4.48853e-11 1.32661e-10 3.8433e-11 #avg: 1.02584e-10; avg_err: 2.53251e-13; sd: 1.85978e-10; counts: 539292
sfh 0.17206 4.91659e-11 1.36651e-10 4.10628e-11 #avg: 1.0729e-10; avg_err: 2.55015e-13; sd: 1.87274e-10; counts: 539292
sfh 0.177123 5.36709e-11 1.42197e-10 4.39776e-11 #avg: 1.1294e-10; avg_err: 2.57837e-13; sd: 1.89346e-10; counts: 539292
sfh 0.182185 5.88705e-11 1.49114e-10 4.74646e-11 #avg: 1.19203e-10; avg_err: 2.60442e-13; sd: 1.91259e-10; counts: 539292
sfh 0.187248 6.31606e-11 1.5301e-10 5.02504e-11 #avg: 1.23683e-10; avg_err: 2.58323e-13; sd: 1.89704e-10; counts: 539292
sfh 0.19231 6.80989e-11 1.57752e-10 5.35722e-11 #avg: 1.29111e-10; avg_err: 2.62553e-13; sd: 1.9281e-10; counts: 539292
sfh 0.197373 7.26462e-11 1.62557e-10 5.63333e-11 #avg: 1.34656e-10; avg_err: 2.66682e-13; sd: 1.95841e-10; counts: 539292
sfh 0.202435 7.77004e-11 1.65498e-10 5.95232e-11 #avg: 1.39391e-10; avg_err: 2.67403e-13; sd: 1.96371e-10; counts: 539292
sfh 0.207498 8.27438e-11 1.68599e-10 6.26253e-11 #avg: 1.44299e-10; avg_err: 2.68309e-13; sd: 1.97037e-10; counts: 539292
sfh 0.21256 8.76808e-11 1.72195e-10 6.54619e-11 #avg: 1.49475e-10; avg_err: 2.71106e-13; sd: 1.99091e-10; counts: 539292
sfh 0.217623 9.27017e-11 1.73911e-10 6.85015e-11 #avg: 1.53854e-10; avg_err: 2.71374e-13; sd: 1.99288e-10; counts: 539292
sfh 0.222685 9.75248e-11 1.762e-10 7.1078e-11 #avg: 1.58875e-10; avg_err: 2.73843e-13; sd: 2.01101e-10; counts: 539292
sfh 0.227748 1.02876e-10 1.78875e-10 7.40907e-11 #avg: 1.63834e-10; avg_err: 2.74441e-13; sd: 2.0154e-10; counts: 539292
sfh 0.23281 1.07929e-10 1.82382e-10 7.68951e-11 #avg: 1.69262e-10; avg_err: 2.77138e-13; sd: 2.0352e-10; counts: 539292
sfh 0.237873 1.12908e-10 1.83952e-10 7.9546e-11 #avg: 1.74004e-10; avg_err: 2.80626e-13; sd: 2.06082e-10; counts: 539292
sfh 0.242935 1.17186e-10 1.84662e-10 8.14455e-11 #avg: 1.77949e-10; avg_err: 2.81896e-13; sd: 2.07014e-10; counts: 539292
sfh 0.247998 1.22909e-10 1.8813e-10 8.41288e-11 #avg: 1.83782e-10; avg_err: 2.84296e-13; sd: 2.08777e-10; counts: 539292
sfh 0.25306 1.27274e-10 1.88093e-10 8.60432e-11 #avg: 1.87519e-10; avg_err: 2.8488e-13; sd: 2.09206e-10; counts: 539292
sfh 0.258123 1.32675e-10 1.91034e-10 8.86145e-11 #avg: 1.93379e-10; avg_err: 2.87583e-13; sd: 2.11191e-10; counts: 539292
sfh 0.263185 1.37365e-10 1.90235e-10 9.04262e-11 #avg: 1.96941e-10; avg_err: 2.86971e-13; sd: 2.10742e-10; counts: 539292
sfh 0.268248 1.41709e-10 1.925e-10 9.23317e-11 #avg: 2.01472e-10; avg_err: 2.90229e-13; sd: 2.13134e-10; counts: 539292
sfh 0.27331 1.47093e-10 1.93859e-10 9.46987e-11 #avg: 2.06732e-10; avg_err: 2.93361e-13; sd: 2.15434e-10; counts: 539292
sfh 0.278373 1.51275e-10 1.97571e-10 9.60604e-11 #avg: 2.12046e-10; avg_err: 2.96514e-13; sd: 2.1775e-10; counts: 539292
sfh 0.283435 1.58324e-10 2.0261e-10 9.93157e-11 #avg: 2.19715e-10; avg_err: 3.00767e-13; sd: 2.20872e-10; counts: 539292
sfh 0.288498 1.63659e-10 2.04042e-10 1.01302e-10 #avg: 2.25514e-10; avg_err: 3.06226e-13; sd: 2.24881e-10; counts: 539292
sfh 0.29356 1.69253e-10 2.04857e-10 1.03493e-10 #avg: 2.30733e-10; avg_err: 3.08927e-13; sd: 2.26865e-10; counts: 539292
sfh 0.298623 1.74669e-10 2.06541e-10 1.0527e-10 #avg: 2.36174e-10; avg_err: 3.10153e-13; sd: 2.27765e-10; counts: 539292
sfh 0.303685 1.80176e-10 2.08931e-10 1.07065e-10 #avg: 2.41301e-10; avg_err: 3.10037e-13; sd: 2.2768e-10; counts: 539292
