#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 2.479410e+11 (median) + 4.764700e+10  / - 1.068820e+11
#SM   Stats: 7.750190e+08 (median) + 4.790010e+08  / - 3.768250e+08
#VMP  Stats: 1.256200e+02 (median) + 3.639992e+00  / - 7.480003e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.719596e-12 (median) + 2.677994e-12  / - 1.360276e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 26
sfh 0.071373 0 0 0 #avg: 1.05293e-12; avg_err: 1.05293e-12; sd: 5.26467e-12; counts: 26
sfh 0.073623 0 0 0 #avg: 3.37687e-12; avg_err: 3.37687e-12; sd: 1.68844e-11; counts: 26
sfh 0.075873 0 0 0 #avg: 8.91792e-12; avg_err: 8.91792e-12; sd: 4.45896e-11; counts: 26
sfh 0.078123 0 0 0 #avg: 5.57355e-11; avg_err: 5.57355e-11; sd: 2.78677e-10; counts: 26
sfh 0.080373 0 0 0 #avg: 2.99882e-11; avg_err: 2.99882e-11; sd: 1.49941e-10; counts: 26
sfh 0.082623 0 0 0 #avg: 1.6515e-11; avg_err: 1.6515e-11; sd: 8.25752e-11; counts: 26
