#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.064260e+11 (median) + 7.254500e+10  / - 4.194070e+10
#SM   Stats: 4.463940e+08 (median) + 7.840060e+08  / - 2.447740e+08
#VMP  Stats: 1.016400e+02 (median) + 1.595000e+01  / - 9.300003e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 5.837904e-10 (median) + 4.357451e-10  / - 2.530996e-10
sfh 0.055623 0 0 0 #avg: 3.04479e-18; avg_err: 3.04479e-18; sd: 1.80981e-15; counts: 353308
sfh 0.060123 0 0 0 #avg: 1.28536e-15; avg_err: 9.2065e-16; sd: 5.47231e-13; counts: 353308
sfh 0.062373 0 0 0 #avg: 1.38048e-14; avg_err: 7.34919e-15; sd: 4.36833e-12; counts: 353308
sfh 0.064623 0 0 0 #avg: 3.74454e-14; avg_err: 1.75413e-14; sd: 1.04265e-11; counts: 353308
sfh 0.066873 0 0 0 #avg: 1.05717e-13; avg_err: 2.65921e-14; sd: 1.58063e-11; counts: 353308
sfh 0.069123 0 0 0 #avg: 2.4748e-13; avg_err: 5.19346e-14; sd: 3.08697e-11; counts: 353308
sfh 0.071373 0 0 0 #avg: 4.25451e-13; avg_err: 5.62353e-14; sd: 3.3426e-11; counts: 353308
sfh 0.073623 0 0 0 #avg: 7.60345e-13; avg_err: 6.02215e-14; sd: 3.57954e-11; counts: 353308
sfh 0.075873 0 0 0 #avg: 1.25378e-12; avg_err: 7.037e-14; sd: 4.18277e-11; counts: 353308
sfh 0.078123 0 0 0 #avg: 2.07623e-12; avg_err: 1.00846e-13; sd: 5.99427e-11; counts: 353308
sfh 0.080373 0 0 0 #avg: 3.26874e-12; avg_err: 1.24277e-13; sd: 7.38696e-11; counts: 353308
sfh 0.082623 0 0 0 #avg: 4.53118e-12; avg_err: 1.27391e-13; sd: 7.57207e-11; counts: 353308
sfh 0.085998 0 0 0 #avg: 8.00484e-12; avg_err: 1.83891e-13; sd: 1.09304e-10; counts: 353308
sfh 0.089373 0 0 0 #avg: 1.20022e-11; avg_err: 2.11747e-13; sd: 1.25862e-10; counts: 353308
sfh 0.092748 0 0 0 #avg: 1.71959e-11; avg_err: 2.2878e-13; sd: 1.35986e-10; counts: 353308
sfh 0.096123 0 1.22421e-12 0 #avg: 2.34275e-11; avg_err: 2.65584e-13; sd: 1.57862e-10; counts: 353308
sfh 0.099498 0 1.21642e-11 0 #avg: 3.00358e-11; avg_err: 2.70114e-13; sd: 1.60555e-10; counts: 353308
sfh 0.102873 0 2.84802e-11 0 #avg: 3.73142e-11; avg_err: 3.08357e-13; sd: 1.83287e-10; counts: 353308
sfh 0.106248 0 4.63614e-11 0 #avg: 4.42287e-11; avg_err: 3.23605e-13; sd: 1.92349e-10; counts: 353308
sfh 0.109623 0 6.51625e-11 0 #avg: 5.15961e-11; avg_err: 3.29729e-13; sd: 1.9599e-10; counts: 353308
sfh 0.112998 0 8.07967e-11 0 #avg: 5.77685e-11; avg_err: 3.339e-13; sd: 1.98469e-10; counts: 353308
sfh 0.116373 1.72019e-12 9.15788e-11 1.72019e-12 #avg: 6.34438e-11; avg_err: 3.46621e-13; sd: 2.0603e-10; counts: 353308
sfh 0.119748 5.36925e-12 1.00047e-10 5.36925e-12 #avg: 6.88848e-11; avg_err: 3.53447e-13; sd: 2.10088e-10; counts: 353308
sfh 0.123123 9.13956e-12 1.07741e-10 9.13956e-12 #avg: 7.43287e-11; avg_err: 3.51551e-13; sd: 2.08961e-10; counts: 353308
sfh 0.126498 1.30329e-11 1.1796e-10 1.30329e-11 #avg: 8.13204e-11; avg_err: 3.6468e-13; sd: 2.16764e-10; counts: 353308
sfh 0.129873 1.72951e-11 1.27501e-10 1.72951e-11 #avg: 8.88887e-11; avg_err: 3.86779e-13; sd: 2.299e-10; counts: 353308
sfh 0.133248 2.19292e-11 1.36784e-10 2.19292e-11 #avg: 9.63909e-11; avg_err: 3.99095e-13; sd: 2.3722e-10; counts: 353308
sfh 0.136623 2.67268e-11 1.4631e-10 2.67268e-11 #avg: 1.04112e-10; avg_err: 4.17728e-13; sd: 2.48296e-10; counts: 353308
sfh 0.141685 3.37582e-11 1.61124e-10 3.37582e-11 #avg: 1.15346e-10; avg_err: 4.35212e-13; sd: 2.58688e-10; counts: 353308
sfh 0.146748 4.15269e-11 1.74269e-10 4.05608e-11 #avg: 1.25733e-10; avg_err: 4.32982e-13; sd: 2.57363e-10; counts: 353308
sfh 0.15181 4.90791e-11 1.88274e-10 4.64334e-11 #avg: 1.35843e-10; avg_err: 4.48089e-13; sd: 2.66342e-10; counts: 353308
sfh 0.156873 5.65359e-11 1.9936e-10 5.18667e-11 #avg: 1.45041e-10; avg_err: 4.50245e-13; sd: 2.67624e-10; counts: 353308
sfh 0.161935 6.36498e-11 2.10761e-10 5.67224e-11 #avg: 1.54788e-10; avg_err: 4.64442e-13; sd: 2.76063e-10; counts: 353308
sfh 0.166998 7.1555e-11 2.20264e-10 6.22111e-11 #avg: 1.64046e-10; avg_err: 4.7082e-13; sd: 2.79853e-10; counts: 353308
sfh 0.17206 7.8614e-11 2.2722e-10 6.70021e-11 #avg: 1.71102e-10; avg_err: 4.68202e-13; sd: 2.78298e-10; counts: 353308
sfh 0.177123 8.65792e-11 2.37503e-10 7.2664e-11 #avg: 1.79548e-10; avg_err: 4.67232e-13; sd: 2.77721e-10; counts: 353308
sfh 0.182185 9.5458e-11 2.46992e-10 7.90897e-11 #avg: 1.88783e-10; avg_err: 4.68868e-13; sd: 2.78694e-10; counts: 353308
sfh 0.187248 1.02795e-10 2.52476e-10 8.42505e-11 #avg: 1.95757e-10; avg_err: 4.69007e-13; sd: 2.78776e-10; counts: 353308
sfh 0.19231 1.11061e-10 2.55287e-10 9.00815e-11 #avg: 2.03005e-10; avg_err: 4.69373e-13; sd: 2.78994e-10; counts: 353308
sfh 0.197373 1.19465e-10 2.60097e-10 9.57325e-11 #avg: 2.11108e-10; avg_err: 4.75031e-13; sd: 2.82357e-10; counts: 353308
sfh 0.202435 1.2801e-10 2.61274e-10 1.01383e-10 #avg: 2.17526e-10; avg_err: 4.7689e-13; sd: 2.83462e-10; counts: 353308
sfh 0.207498 1.36102e-10 2.60413e-10 1.06461e-10 #avg: 2.22754e-10; avg_err: 4.69568e-13; sd: 2.79109e-10; counts: 353308
sfh 0.21256 1.44125e-10 2.59947e-10 1.11107e-10 #avg: 2.28551e-10; avg_err: 4.6822e-13; sd: 2.78308e-10; counts: 353308
