#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.28333 - 2.45
#HM   Stats: 1.363970e+12 (median) + 8.713201e+11  / - 5.066169e+11
#SM   Stats: 4.191070e+10 (median) + 4.999090e+10  / - 2.489400e+10
#VMP  Stats: 2.243900e+02 (median) + 3.309999e+01  / - 2.277000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.661235e-12 (median) + 2.791689e-12  / - 1.023046e-12
sfh 0.055623 0 0 0 #avg: 2.693e-13; avg_err: 2.65891e-13; sd: 3.2231e-11; counts: 14695
sfh 0.060123 0 0 0 #avg: 1.6073e-12; avg_err: 1.46171e-12; sd: 1.77187e-10; counts: 14695
sfh 0.062373 0 0 0 #avg: 1.45212e-12; avg_err: 1.13446e-12; sd: 1.37518e-10; counts: 14695
sfh 0.064623 0 0 0 #avg: 7.93671e-13; avg_err: 2.8215e-13; sd: 3.42019e-11; counts: 14695
sfh 0.066873 0 0 0 #avg: 8.17718e-13; avg_err: 1.32736e-13; sd: 1.60901e-11; counts: 14695
sfh 0.069123 0 0 0 #avg: 1.29335e-12; avg_err: 1.97016e-13; sd: 2.38821e-11; counts: 14695
sfh 0.071373 0 0 0 #avg: 2.06268e-12; avg_err: 2.88286e-13; sd: 3.49457e-11; counts: 14695
sfh 0.073623 0 0 0 #avg: 3.01023e-12; avg_err: 3.56549e-13; sd: 4.32205e-11; counts: 14695
sfh 0.075873 0 1.94122e-13 0 #avg: 3.7628e-12; avg_err: 3.66702e-13; sd: 4.44512e-11; counts: 14695
sfh 0.078123 0 1.01809e-12 0 #avg: 4.52886e-12; avg_err: 2.78801e-13; sd: 3.37959e-11; counts: 14695
sfh 0.080373 0 2.53034e-12 0 #avg: 5.60903e-12; avg_err: 3.1802e-13; sd: 3.855e-11; counts: 14695
sfh 0.082623 0 4.2401e-12 0 #avg: 6.36782e-12; avg_err: 3.56015e-13; sd: 4.31558e-11; counts: 14695
sfh 0.085998 0 7.64918e-12 0 #avg: 9.87663e-12; avg_err: 8.45876e-13; sd: 1.02536e-10; counts: 14695
sfh 0.089373 2.22202e-13 1.09609e-11 2.22202e-13 #avg: 1.25556e-11; avg_err: 9.39264e-13; sd: 1.13856e-10; counts: 14695
sfh 0.092748 7.78271e-13 1.3955e-11 7.78271e-13 #avg: 1.49604e-11; avg_err: 8.48876e-13; sd: 1.029e-10; counts: 14695
sfh 0.096123 1.57804e-12 1.6684e-11 1.57804e-12 #avg: 1.78026e-11; avg_err: 8.73223e-13; sd: 1.05851e-10; counts: 14695
sfh 0.099498 2.34987e-12 1.88391e-11 2.34987e-12 #avg: 1.98549e-11; avg_err: 8.97687e-13; sd: 1.08817e-10; counts: 14695
sfh 0.102873 3.20574e-12 2.22713e-11 3.19945e-12 #avg: 2.34397e-11; avg_err: 1.08744e-12; sd: 1.31818e-10; counts: 14695
sfh 0.106248 4.07413e-12 2.56626e-11 3.9178e-12 #avg: 2.76733e-11; avg_err: 2.03116e-12; sd: 2.46215e-10; counts: 14695
sfh 0.109623 4.98716e-12 3.05421e-11 4.67178e-12 #avg: 3.06062e-11; avg_err: 1.17291e-12; sd: 1.42179e-10; counts: 14695
sfh 0.112998 5.9333e-12 3.36531e-11 5.44429e-12 #avg: 3.36046e-11; avg_err: 1.05461e-12; sd: 1.27839e-10; counts: 14695
sfh 0.116373 6.96049e-12 3.82673e-11 6.28569e-12 #avg: 3.81447e-11; avg_err: 1.17857e-12; sd: 1.42865e-10; counts: 14695
sfh 0.119748 8.12581e-12 4.28654e-11 7.25064e-12 #avg: 4.33004e-11; avg_err: 1.58654e-12; sd: 1.92318e-10; counts: 14695
sfh 0.123123 9.37896e-12 4.90058e-11 8.28017e-12 #avg: 4.67054e-11; avg_err: 1.41425e-12; sd: 1.71434e-10; counts: 14695
sfh 0.126498 1.07835e-11 5.46677e-11 9.44532e-12 #avg: 5.14813e-11; avg_err: 1.48647e-12; sd: 1.80189e-10; counts: 14695
sfh 0.129873 1.20654e-11 6.08306e-11 1.05179e-11 #avg: 5.62801e-11; avg_err: 1.55312e-12; sd: 1.88267e-10; counts: 14695
sfh 0.133248 1.36768e-11 6.81683e-11 1.1835e-11 #avg: 6.25315e-11; avg_err: 1.71618e-12; sd: 2.08034e-10; counts: 14695
sfh 0.136623 1.55151e-11 7.66185e-11 1.34029e-11 #avg: 6.8812e-11; avg_err: 1.78879e-12; sd: 2.16834e-10; counts: 14695
sfh 0.141685 1.84374e-11 8.6068e-11 1.58659e-11 #avg: 7.75252e-11; avg_err: 1.98797e-12; sd: 2.40979e-10; counts: 14695
sfh 0.146748 2.11611e-11 1.00093e-10 1.79847e-11 #avg: 8.45296e-11; avg_err: 1.87373e-12; sd: 2.27131e-10; counts: 14695
sfh 0.15181 2.42358e-11 1.11336e-10 2.05738e-11 #avg: 9.43604e-11; avg_err: 2.13443e-12; sd: 2.58733e-10; counts: 14695
sfh 0.156873 2.79782e-11 1.2469e-10 2.35671e-11 #avg: 1.04732e-10; avg_err: 2.321e-12; sd: 2.81349e-10; counts: 14695
sfh 0.161935 3.19624e-11 1.40763e-10 2.67016e-11 #avg: 1.14753e-10; avg_err: 2.37693e-12; sd: 2.88128e-10; counts: 14695
sfh 0.166998 3.72803e-11 1.54381e-10 3.13646e-11 #avg: 1.2664e-10; avg_err: 2.4693e-12; sd: 2.99325e-10; counts: 14695
sfh 0.17206 4.20627e-11 1.73596e-10 3.52954e-11 #avg: 1.38851e-10; avg_err: 2.61262e-12; sd: 3.16699e-10; counts: 14695
sfh 0.177123 4.73311e-11 1.9321e-10 3.96365e-11 #avg: 1.55107e-10; avg_err: 3.01061e-12; sd: 3.64942e-10; counts: 14695
sfh 0.182185 5.27666e-11 2.08233e-10 4.41282e-11 #avg: 1.6825e-10; avg_err: 3.15217e-12; sd: 3.82102e-10; counts: 14695
sfh 0.187248 5.87596e-11 2.27932e-10 4.89238e-11 #avg: 1.78176e-10; avg_err: 3.18116e-12; sd: 3.85617e-10; counts: 14695
sfh 0.19231 6.4897e-11 2.45569e-10 5.40671e-11 #avg: 1.89373e-10; avg_err: 3.19808e-12; sd: 3.87667e-10; counts: 14695
sfh 0.197373 7.16281e-11 2.55316e-10 5.96907e-11 #avg: 2.01407e-10; avg_err: 3.40285e-12; sd: 4.1249e-10; counts: 14695
sfh 0.202435 7.64309e-11 2.72372e-10 6.31738e-11 #avg: 2.12751e-10; avg_err: 3.43948e-12; sd: 4.16929e-10; counts: 14695
sfh 0.207498 8.37541e-11 2.94482e-10 6.92436e-11 #avg: 2.26933e-10; avg_err: 3.59145e-12; sd: 4.35352e-10; counts: 14695
sfh 0.21256 9.28045e-11 3.13608e-10 7.7151e-11 #avg: 2.39572e-10; avg_err: 3.62867e-12; sd: 4.39863e-10; counts: 14695
sfh 0.217623 1.00744e-10 3.3673e-10 8.36099e-11 #avg: 2.53514e-10; avg_err: 3.67561e-12; sd: 4.45553e-10; counts: 14695
sfh 0.222685 1.08418e-10 3.52905e-10 8.92033e-11 #avg: 2.69933e-10; avg_err: 3.86594e-12; sd: 4.68625e-10; counts: 14695
sfh 0.227748 1.16979e-10 3.6457e-10 9.58459e-11 #avg: 2.84446e-10; avg_err: 3.97275e-12; sd: 4.81572e-10; counts: 14695
sfh 0.23281 1.27178e-10 3.84888e-10 1.0473e-10 #avg: 2.95843e-10; avg_err: 4.02743e-12; sd: 4.882e-10; counts: 14695
sfh 0.237873 1.36551e-10 4.06552e-10 1.12987e-10 #avg: 3.05963e-10; avg_err: 4.05528e-12; sd: 4.91576e-10; counts: 14695
sfh 0.242935 1.46633e-10 4.12103e-10 1.21406e-10 #avg: 3.1816e-10; avg_err: 4.1135e-12; sd: 4.98633e-10; counts: 14695
sfh 0.247998 1.55511e-10 4.22304e-10 1.28587e-10 #avg: 3.27913e-10; avg_err: 4.09359e-12; sd: 4.9622e-10; counts: 14695
sfh 0.25306 1.67217e-10 4.46016e-10 1.38378e-10 #avg: 3.42579e-10; avg_err: 4.14283e-12; sd: 5.02189e-10; counts: 14695
sfh 0.258123 1.78976e-10 4.62553e-10 1.4941e-10 #avg: 3.54485e-10; avg_err: 4.2246e-12; sd: 5.12101e-10; counts: 14695
sfh 0.263185 1.89957e-10 4.73385e-10 1.58492e-10 #avg: 3.67562e-10; avg_err: 4.29912e-12; sd: 5.21135e-10; counts: 14695
sfh 0.268248 2.05674e-10 4.94242e-10 1.72114e-10 #avg: 3.84142e-10; avg_err: 4.34504e-12; sd: 5.26701e-10; counts: 14695
sfh 0.27331 2.18063e-10 5.0642e-10 1.8234e-10 #avg: 3.97491e-10; avg_err: 4.33579e-12; sd: 5.25579e-10; counts: 14695
sfh 0.278373 2.33329e-10 5.33424e-10 1.96846e-10 #avg: 4.1428e-10; avg_err: 4.41457e-12; sd: 5.35129e-10; counts: 14695
sfh 0.283435 2.51575e-10 5.43898e-10 2.14023e-10 #avg: 4.36618e-10; avg_err: 4.71734e-12; sd: 5.71831e-10; counts: 14695
sfh 0.288498 2.69436e-10 5.63772e-10 2.30551e-10 #avg: 4.52729e-10; avg_err: 4.7151e-12; sd: 5.71559e-10; counts: 14695
sfh 0.29356 2.8624e-10 5.7179e-10 2.46388e-10 #avg: 4.67318e-10; avg_err: 4.71367e-12; sd: 5.71386e-10; counts: 14695
sfh 0.298623 2.96173e-10 5.93999e-10 2.58691e-10 #avg: 4.80305e-10; avg_err: 4.76872e-12; sd: 5.78059e-10; counts: 14695
sfh 0.303685 3.14436e-10 5.95815e-10 2.77846e-10 #avg: 4.92869e-10; avg_err: 4.78489e-12; sd: 5.80019e-10; counts: 14695
sfh 0.308748 3.34489e-10 5.93002e-10 2.99282e-10 #avg: 5.05105e-10; avg_err: 4.76964e-12; sd: 5.78171e-10; counts: 14695
sfh 0.31381 3.52389e-10 6.07083e-10 3.18751e-10 #avg: 5.18546e-10; avg_err: 4.79807e-12; sd: 5.81616e-10; counts: 14695
sfh 0.318873 3.69414e-10 6.00652e-10 3.4067e-10 #avg: 5.30915e-10; avg_err: 4.81983e-12; sd: 5.84254e-10; counts: 14695
sfh 0.323935 3.86539e-10 6.04673e-10 3.65255e-10 #avg: 5.39225e-10; avg_err: 4.81068e-12; sd: 5.83144e-10; counts: 14695
sfh 0.328997 3.97237e-10 6.06552e-10 3.8219e-10 #avg: 5.44443e-10; avg_err: 4.73951e-12; sd: 5.74518e-10; counts: 14695
sfh 0.33406 4.04029e-10 6.04659e-10 3.94256e-10 #avg: 5.48295e-10; avg_err: 4.7319e-12; sd: 5.73595e-10; counts: 14695
sfh 0.339122 4.14043e-10 6.00017e-10 4.07048e-10 #avg: 5.53229e-10; avg_err: 4.76329e-12; sd: 5.774e-10; counts: 14695
sfh 0.344185 4.30205e-10 5.8425e-10 4.25225e-10 #avg: 5.5642e-10; avg_err: 4.76653e-12; sd: 5.77793e-10; counts: 14695
sfh 0.349247 4.3646e-10 5.76182e-10 4.32507e-10 #avg: 5.53936e-10; avg_err: 4.71848e-12; sd: 5.71969e-10; counts: 14695
sfh 0.35431 4.35076e-10 5.72387e-10 4.31987e-10 #avg: 5.49394e-10; avg_err: 4.75932e-12; sd: 5.76919e-10; counts: 14695
sfh 0.359372 4.38503e-10 5.59324e-10 4.35945e-10 #avg: 5.39412e-10; avg_err: 4.65559e-12; sd: 5.64345e-10; counts: 14695
sfh 0.364435 4.39796e-10 5.36765e-10 4.37436e-10 #avg: 5.30772e-10; avg_err: 4.56629e-12; sd: 5.5352e-10; counts: 14695
sfh 0.369497 4.32536e-10 5.34497e-10 4.30419e-10 #avg: 5.25826e-10; avg_err: 4.6261e-12; sd: 5.60771e-10; counts: 14695
sfh 0.37456 4.2713e-10 5.21615e-10 4.25303e-10 #avg: 5.11201e-10; avg_err: 4.52583e-12; sd: 5.48615e-10; counts: 14695
sfh 0.379622 4.14629e-10 5.19699e-10 4.12959e-10 #avg: 4.97122e-10; avg_err: 4.4763e-12; sd: 5.42612e-10; counts: 14695
sfh 0.384685 3.95358e-10 5.16133e-10 3.93839e-10 #avg: 4.79422e-10; avg_err: 4.41242e-12; sd: 5.34868e-10; counts: 14695
sfh 0.389747 3.77564e-10 5.09102e-10 3.76171e-10 #avg: 4.6226e-10; avg_err: 4.35919e-12; sd: 5.28416e-10; counts: 14695
