#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.61667 - 2.78333
#HM   Stats: 1.816180e+13 (median) + 1.055880e+13  / - 5.552999e+12
#SM   Stats: 1.738870e+11 (median) + 1.607690e+11  / - 9.230250e+10
#VMP  Stats: 4.685800e+02 (median) + 7.964999e+01  / - 4.048999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.424183e-11 (median) + 9.395749e-12  / - 3.330310e-12
sfh 0.055623 0 0 0 #avg: 1.4356e-14; avg_err: 1.4356e-14; sd: 2.53578e-13; counts: 313
sfh 0.060123 0 0 0 #avg: 1.27163e-13; avg_err: 7.20312e-14; sd: 1.27232e-12; counts: 313
sfh 0.062373 0 0 0 #avg: 4.5362e-13; avg_err: 2.18632e-13; sd: 3.86181e-12; counts: 313
sfh 0.064623 0 0 0 #avg: 6.85432e-13; avg_err: 1.90912e-13; sd: 3.37218e-12; counts: 313
sfh 0.066873 0 3.59843e-13 0 #avg: 1.23071e-12; avg_err: 3.14862e-13; sd: 5.56158e-12; counts: 313
sfh 0.069123 0 1.62096e-12 0 #avg: 1.97293e-12; avg_err: 5.47191e-13; sd: 9.66531e-12; counts: 313
sfh 0.071373 0 2.95945e-12 0 #avg: 3.14456e-12; avg_err: 6.68735e-13; sd: 1.18122e-11; counts: 313
sfh 0.073623 1.56939e-14 6.4693e-12 1.56939e-14 #avg: 3.98496e-12; avg_err: 6.85534e-13; sd: 1.21089e-11; counts: 313
sfh 0.075873 2.4934e-13 8.81854e-12 2.4934e-13 #avg: 5.5866e-12; avg_err: 8.77498e-13; sd: 1.54997e-11; counts: 313
sfh 0.078123 7.23599e-13 1.25008e-11 7.23599e-13 #avg: 8.48195e-12; avg_err: 1.45087e-12; sd: 2.56274e-11; counts: 313
sfh 0.080373 1.32671e-12 1.59773e-11 1.32671e-12 #avg: 1.10367e-11; avg_err: 2.51405e-12; sd: 4.44069e-11; counts: 313
sfh 0.082623 2.15019e-12 1.71604e-11 2.15019e-12 #avg: 1.02338e-11; avg_err: 1.37397e-12; sd: 2.42691e-11; counts: 313
sfh 0.085998 3.6179e-12 2.32309e-11 3.6179e-12 #avg: 1.55187e-11; avg_err: 2.10679e-12; sd: 3.72133e-11; counts: 313
sfh 0.089373 4.86605e-12 2.70049e-11 4.70382e-12 #avg: 2.31602e-11; avg_err: 3.36385e-12; sd: 5.94175e-11; counts: 313
sfh 0.092748 5.82062e-12 3.7151e-11 5.44056e-12 #avg: 3.36561e-11; avg_err: 5.80602e-12; sd: 1.02555e-10; counts: 313
sfh 0.096123 7.6963e-12 3.83924e-11 6.93177e-12 #avg: 3.57709e-11; avg_err: 5.96361e-12; sd: 1.05338e-10; counts: 313
sfh 0.099498 9.92479e-12 4.17833e-11 8.80374e-12 #avg: 4.74875e-11; avg_err: 8.76194e-12; sd: 1.54767e-10; counts: 313
sfh 0.102873 1.23227e-11 5.11233e-11 1.08733e-11 #avg: 5.94052e-11; avg_err: 1.33652e-11; sd: 2.36077e-10; counts: 313
sfh 0.106248 1.51479e-11 5.92307e-11 1.36172e-11 #avg: 7.02169e-11; avg_err: 1.68699e-11; sd: 2.97982e-10; counts: 313
sfh 0.109623 1.89639e-11 6.98916e-11 1.70638e-11 #avg: 6.972e-11; avg_err: 1.11847e-11; sd: 1.97561e-10; counts: 313
sfh 0.112998 2.23839e-11 8.72018e-11 1.97424e-11 #avg: 7.80694e-11; avg_err: 1.48805e-11; sd: 2.62841e-10; counts: 313
sfh 0.116373 2.58527e-11 9.47267e-11 2.25203e-11 #avg: 8.25346e-11; avg_err: 1.20594e-11; sd: 2.13012e-10; counts: 313
sfh 0.119748 3.09111e-11 1.16978e-10 2.72647e-11 #avg: 8.9997e-11; avg_err: 1.13887e-11; sd: 2.01165e-10; counts: 313
