#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.78333 - 2.95
#HM   Stats: 4.626470e+13 (median) + 1.710290e+13  / - 1.395590e+13
#SM   Stats: 1.692060e+11 (median) + 1.475010e+11  / - 8.479681e+10
#VMP  Stats: 6.584800e+02 (median) + 9.336005e+01  / - 3.908997e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.203660e-12 (median) + 2.851327e-12  / - 7.569852e-13
sfh 0.055623 0 0 0 #avg: 3.0288e-14; avg_err: 3.0288e-14; sd: 2.74269e-13; counts: 83
sfh 0.060123 0 0 0 #avg: 2.01691e-12; avg_err: 1.6598e-12; sd: 1.50301e-11; counts: 83
sfh 0.062373 0 0 0 #avg: 1.542e-12; avg_err: 8.1617e-13; sd: 7.39073e-12; counts: 83
sfh 0.064623 0 1.28639e-12 0 #avg: 4.06354e-12; avg_err: 1.74228e-12; sd: 1.5777e-11; counts: 83
sfh 0.066873 0 4.91986e-12 0 #avg: 6.17878e-12; avg_err: 2.40139e-12; sd: 2.17455e-11; counts: 83
sfh 0.069123 0 9.15782e-12 0 #avg: 7.47596e-12; avg_err: 2.26535e-12; sd: 2.05137e-11; counts: 83
sfh 0.071373 1.83249e-13 1.54892e-11 1.83249e-13 #avg: 9.54742e-12; avg_err: 2.83704e-12; sd: 2.56905e-11; counts: 83
sfh 0.073623 5.04198e-13 1.75485e-11 5.04198e-13 #avg: 1.72539e-11; avg_err: 5.42619e-12; sd: 4.91362e-11; counts: 83
sfh 0.075873 1.36513e-12 2.73071e-11 1.36513e-12 #avg: 2.00693e-11; avg_err: 6.53988e-12; sd: 5.92211e-11; counts: 83
sfh 0.078123 4.06398e-12 3.52187e-11 4.06398e-12 #avg: 2.79268e-11; avg_err: 1.00774e-11; sd: 9.12544e-11; counts: 83
sfh 0.080373 3.99319e-12 4.03062e-11 3.99319e-12 #avg: 3.16487e-11; avg_err: 9.20322e-12; sd: 8.33387e-11; counts: 83
