#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.25 - 11.75
#HM   Stats: 2.736760e+11 (median) + 1.501480e+11  / - 7.308799e+10
#SM   Stats: 3.763270e+09 (median) + 6.501330e+09  / - 2.316330e+09
#VMP  Stats: 1.081500e+02 (median) + 1.729000e+01  / - 1.362000e+01
#ICL  Stats: 2.569890e+07 (median) + 9.060610e+07  / - 2.314505e+07
#SSFR Stats: 7.941687e-11 (median) + 1.798253e-10  / - 7.769843e-11
sfh 0.055623 0 0 0 #avg: 1.67701e-09; avg_err: 1.40412e-09; sd: 9.17977e-07; counts: 427419
sfh 0.060123 0 0 0 #avg: 1.02916e-05; avg_err: 5.97454e-06; sd: 0.00390599; counts: 427419
sfh 0.062373 0 0 0 #avg: 3.70983e-05; avg_err: 1.32915e-05; sd: 0.00868963; counts: 427419
sfh 0.064623 0 0 0 #avg: 0.000141762; avg_err: 5.27136e-05; sd: 0.0344627; counts: 427419
sfh 0.066873 0 0 0 #avg: 0.000239051; avg_err: 3.96288e-05; sd: 0.0259082; counts: 427419
sfh 0.069123 0 0 0 #avg: 0.000404649; avg_err: 4.70281e-05; sd: 0.0307456; counts: 427419
sfh 0.071373 0 0 0 #avg: 0.00073333; avg_err: 6.72598e-05; sd: 0.0439726; counts: 427419
sfh 0.073623 0 0 0 #avg: 0.00119902; avg_err: 9.79986e-05; sd: 0.0640688; counts: 427419
sfh 0.075873 0 0 0 #avg: 0.00169074; avg_err: 0.000119205; sd: 0.0779326; counts: 427419
sfh 0.078123 0 0 0 #avg: 0.00240271; avg_err: 9.81173e-05; sd: 0.0641464; counts: 427419
sfh 0.080373 0 0 0 #avg: 0.00356965; avg_err: 0.000148648; sd: 0.0971819; counts: 427419
sfh 0.082623 0 0 0 #avg: 0.00451106; avg_err: 0.000124685; sd: 0.0815153; counts: 427419
sfh 0.085998 0 0 0 #avg: 0.00749515; avg_err: 0.000186239; sd: 0.121758; counts: 427419
sfh 0.089373 0 0 0 #avg: 0.0102628; avg_err: 0.000192216; sd: 0.125665; counts: 427419
sfh 0.092748 0 0 0 #avg: 0.0134204; avg_err: 0.000196333; sd: 0.128357; counts: 427419
sfh 0.096123 0 0 0 #avg: 0.0169841; avg_err: 0.000209153; sd: 0.136739; counts: 427419
sfh 0.099498 0 0.00475935 0 #avg: 0.0210326; avg_err: 0.000276885; sd: 0.18102; counts: 427419
sfh 0.102873 0 0.0140066 0 #avg: 0.0250498; avg_err: 0.000340025; sd: 0.222299; counts: 427419
sfh 0.106248 0 0.0241402 0 #avg: 0.0291286; avg_err: 0.000315155; sd: 0.206039; counts: 427419
sfh 0.109623 0 0.034232 0 #avg: 0.033638; avg_err: 0.00036666; sd: 0.239712; counts: 427419
sfh 0.112998 0 0.0428089 0 #avg: 0.0379299; avg_err: 0.000388597; sd: 0.254054; counts: 427419
sfh 0.116373 5.47965e-05 0.0488927 5.47965e-05 #avg: 0.0420071; avg_err: 0.00041796; sd: 0.273251; counts: 427419
sfh 0.119748 0.00161242 0.0534865 0.00161242 #avg: 0.0465602; avg_err: 0.0006291; sd: 0.411288; counts: 427419
sfh 0.123123 0.00339729 0.0581165 0.00339729 #avg: 0.0503575; avg_err: 0.000492725; sd: 0.32213; counts: 427419
sfh 0.126498 0.00524818 0.0638104 0.00524818 #avg: 0.0551273; avg_err: 0.000559209; sd: 0.365596; counts: 427419
sfh 0.129873 0.0072242 0.069194 0.0072242 #avg: 0.0598368; avg_err: 0.000523383; sd: 0.342173; counts: 427419
sfh 0.133248 0.00940622 0.0747328 0.00940622 #avg: 0.0656; avg_err: 0.000745329; sd: 0.487275; counts: 427419
sfh 0.136623 0.0117223 0.0804169 0.0117223 #avg: 0.0706408; avg_err: 0.000664853; sd: 0.434663; counts: 427419
sfh 0.141685 0.0152538 0.0885872 0.0152538 #avg: 0.079373; avg_err: 0.000722698; sd: 0.47248; counts: 427419
sfh 0.146748 0.0189844 0.0972196 0.0186809 #avg: 0.0877641; avg_err: 0.000922104; sd: 0.602846; counts: 427419
sfh 0.15181 0.0225863 0.106091 0.0215989 #avg: 0.0961803; avg_err: 0.000956061; sd: 0.625046; counts: 427419
sfh 0.156873 0.025943 0.115036 0.0241011 #avg: 0.104887; avg_err: 0.00108397; sd: 0.708667; counts: 427419
sfh 0.161935 0.0290766 0.124109 0.0261803 #avg: 0.113068; avg_err: 0.000901394; sd: 0.589307; counts: 427419
sfh 0.166998 0.0326556 0.132086 0.028681 #avg: 0.122026; avg_err: 0.00102029; sd: 0.667034; counts: 427419
sfh 0.17206 0.0354222 0.139469 0.0304219 #avg: 0.1304; avg_err: 0.00108299; sd: 0.708032; counts: 427419
sfh 0.177123 0.0384136 0.149547 0.032589 #avg: 0.13917; avg_err: 0.0010712; sd: 0.700321; counts: 427419
sfh 0.182185 0.041796 0.159387 0.0351481 #avg: 0.148277; avg_err: 0.00119458; sd: 0.780984; counts: 427419
sfh 0.187248 0.0447752 0.167556 0.0373589 #avg: 0.155754; avg_err: 0.0012522; sd: 0.818655; counts: 427419
sfh 0.19231 0.0480821 0.175528 0.0398414 #avg: 0.16375; avg_err: 0.00141581; sd: 0.925617; counts: 427419
sfh 0.197373 0.0511019 0.184532 0.0420398 #avg: 0.172511; avg_err: 0.00174767; sd: 1.14258; counts: 427419
sfh 0.202435 0.0544094 0.192999 0.0444752 #avg: 0.180737; avg_err: 0.00193158; sd: 1.26282; counts: 427419
sfh 0.207498 0.0576016 0.200621 0.046767 #avg: 0.188265; avg_err: 0.00194744; sd: 1.27318; counts: 427419
sfh 0.21256 0.0609632 0.20912 0.0492121 #avg: 0.195923; avg_err: 0.0018622; sd: 1.21746; counts: 427419
sfh 0.217623 0.064345 0.216772 0.0516327 #avg: 0.202573; avg_err: 0.00164875; sd: 1.07791; counts: 427419
sfh 0.222685 0.0675422 0.225555 0.0539446 #avg: 0.210076; avg_err: 0.00146596; sd: 0.958403; counts: 427419
sfh 0.227748 0.0711151 0.234524 0.0565974 #avg: 0.218225; avg_err: 0.00135755; sd: 0.887529; counts: 427419
sfh 0.23281 0.0745272 0.24348 0.0590183 #avg: 0.226366; avg_err: 0.0013957; sd: 0.912473; counts: 427419
sfh 0.237873 0.077633 0.251872 0.061118 #avg: 0.235231; avg_err: 0.00145387; sd: 0.950501; counts: 427419
sfh 0.242935 0.0805339 0.261353 0.0630484 #avg: 0.243637; avg_err: 0.00150735; sd: 0.985463; counts: 427419
sfh 0.247998 0.0845473 0.270562 0.0657461 #avg: 0.252702; avg_err: 0.00161197; sd: 1.05386; counts: 427419
sfh 0.25306 0.0875069 0.278701 0.0676839 #avg: 0.261454; avg_err: 0.00175346; sd: 1.14636; counts: 427419
sfh 0.258123 0.091291 0.290631 0.0705747 #avg: 0.270652; avg_err: 0.00191192; sd: 1.24996; counts: 427419
sfh 0.263185 0.0940567 0.298119 0.0722183 #avg: 0.279935; avg_err: 0.00204277; sd: 1.3355; counts: 427419
sfh 0.268248 0.0972302 0.308103 0.0745664 #avg: 0.289064; avg_err: 0.00213401; sd: 1.39515; counts: 427419
sfh 0.27331 0.10103 0.318919 0.077234 #avg: 0.298768; avg_err: 0.00242519; sd: 1.58552; counts: 427419
sfh 0.278373 0.104834 0.328939 0.0800807 #avg: 0.308275; avg_err: 0.00234236; sd: 1.53137; counts: 427419
sfh 0.283435 0.110669 0.340293 0.0846972 #avg: 0.316676; avg_err: 0.00218795; sd: 1.43042; counts: 427419
sfh 0.288498 0.114477 0.35192 0.0874631 #avg: 0.326422; avg_err: 0.00212431; sd: 1.38881; counts: 427419
sfh 0.29356 0.118189 0.363251 0.0899837 #avg: 0.336151; avg_err: 0.00238009; sd: 1.55604; counts: 427419
sfh 0.298623 0.122382 0.37273 0.0929411 #avg: 0.345692; avg_err: 0.00247714; sd: 1.61949; counts: 427419
sfh 0.303685 0.126643 0.382514 0.096042 #avg: 0.354575; avg_err: 0.00260646; sd: 1.70403; counts: 427419
sfh 0.308748 0.131035 0.393111 0.0993131 #avg: 0.364585; avg_err: 0.002729; sd: 1.78414; counts: 427419
sfh 0.31381 0.135248 0.403057 0.10232 #avg: 0.374047; avg_err: 0.00253957; sd: 1.6603; counts: 427419
sfh 0.318873 0.139706 0.416742 0.105602 #avg: 0.385; avg_err: 0.00245279; sd: 1.60356; counts: 427419
sfh 0.323935 0.144382 0.429871 0.10908 #avg: 0.396347; avg_err: 0.00247136; sd: 1.61571; counts: 427419
sfh 0.328997 0.148761 0.441913 0.112182 #avg: 0.408711; avg_err: 0.00256344; sd: 1.67591; counts: 427419
sfh 0.33406 0.153547 0.454336 0.115694 #avg: 0.420662; avg_err: 0.00251409; sd: 1.64364; counts: 427419
sfh 0.339122 0.157982 0.466502 0.118837 #avg: 0.432561; avg_err: 0.00252333; sd: 1.64968; counts: 427419
sfh 0.344185 0.162709 0.476749 0.122001 #avg: 0.444216; avg_err: 0.00256531; sd: 1.67713; counts: 427419
sfh 0.349247 0.167881 0.487701 0.125806 #avg: 0.456452; avg_err: 0.00261143; sd: 1.70728; counts: 427419
sfh 0.35431 0.174473 0.500515 0.130536 #avg: 0.469483; avg_err: 0.00255418; sd: 1.66985; counts: 427419
sfh 0.359372 0.179462 0.513884 0.134086 #avg: 0.482787; avg_err: 0.00260818; sd: 1.70515; counts: 427419
sfh 0.364435 0.184581 0.527645 0.137851 #avg: 0.497861; avg_err: 0.00262591; sd: 1.71675; counts: 427419
sfh 0.369497 0.190079 0.542168 0.141807 #avg: 0.512593; avg_err: 0.00261945; sd: 1.71253; counts: 427419
sfh 0.37456 0.195477 0.560132 0.145847 #avg: 0.527808; avg_err: 0.0026068; sd: 1.70425; counts: 427419
sfh 0.379622 0.200504 0.575487 0.149345 #avg: 0.543562; avg_err: 0.00263771; sd: 1.72446; counts: 427419
sfh 0.384685 0.205046 0.590061 0.152336 #avg: 0.559097; avg_err: 0.00266428; sd: 1.74183; counts: 427419
sfh 0.389747 0.210814 0.606649 0.156197 #avg: 0.576784; avg_err: 0.00274355; sd: 1.79366; counts: 427419
sfh 0.39481 0.21658 0.621923 0.16018 #avg: 0.593814; avg_err: 0.00278251; sd: 1.81913; counts: 427419
sfh 0.399872 0.223339 0.640122 0.165267 #avg: 0.61254; avg_err: 0.00288113; sd: 1.8836; counts: 427419
sfh 0.404935 0.229505 0.659168 0.169667 #avg: 0.631588; avg_err: 0.0028882; sd: 1.88823; counts: 427419
sfh 0.409997 0.235534 0.678914 0.17389 #avg: 0.650438; avg_err: 0.00286674; sd: 1.8742; counts: 427419
sfh 0.41506 0.241642 0.702293 0.178262 #avg: 0.669627; avg_err: 0.00289849; sd: 1.89495; counts: 427419
sfh 0.420122 0.248132 0.727471 0.18278 #avg: 0.692013; avg_err: 0.00296844; sd: 1.94069; counts: 427419
sfh 0.425185 0.25403 0.74764 0.186779 #avg: 0.713498; avg_err: 0.00304809; sd: 1.99276; counts: 427419
sfh 0.430247 0.260542 0.773808 0.191407 #avg: 0.736901; avg_err: 0.00314379; sd: 2.05532; counts: 427419
sfh 0.43531 0.266619 0.804291 0.195784 #avg: 0.762097; avg_err: 0.00321862; sd: 2.10424; counts: 427419
sfh 0.440372 0.273621 0.830269 0.200815 #avg: 0.78668; avg_err: 0.00329465; sd: 2.15395; counts: 427419
sfh 0.445435 0.280881 0.862019 0.206303 #avg: 0.813279; avg_err: 0.00335279; sd: 2.19196; counts: 427419
sfh 0.450497 0.289134 0.892936 0.212592 #avg: 0.837231; avg_err: 0.00339288; sd: 2.21817; counts: 427419
sfh 0.45556 0.295533 0.928727 0.217029 #avg: 0.864272; avg_err: 0.00348445; sd: 2.27804; counts: 427419
sfh 0.460622 0.303244 0.963646 0.222833 #avg: 0.890708; avg_err: 0.00354299; sd: 2.31631; counts: 427419
sfh 0.465685 0.311328 1.0021 0.228582 #avg: 0.917986; avg_err: 0.00356906; sd: 2.33336; counts: 427419
sfh 0.470747 0.320107 1.04138 0.235338 #avg: 0.944945; avg_err: 0.00362654; sd: 2.37093; counts: 427419
sfh 0.47581 0.329998 1.08067 0.243045 #avg: 0.972152; avg_err: 0.00364961; sd: 2.38601; counts: 427419
sfh 0.480872 0.339148 1.13163 0.250204 #avg: 1.00088; avg_err: 0.00368213; sd: 2.40727; counts: 427419
sfh 0.485935 0.347797 1.17485 0.256359 #avg: 1.03195; avg_err: 0.00376821; sd: 2.46355; counts: 427419
sfh 0.490997 0.358352 1.22147 0.264735 #avg: 1.06146; avg_err: 0.00387162; sd: 2.53116; counts: 427419
sfh 0.49606 0.368159 1.26685 0.272271 #avg: 1.09042; avg_err: 0.003941; sd: 2.57652; counts: 427419
sfh 0.501122 0.378618 1.31386 0.280281 #avg: 1.11949; avg_err: 0.00397413; sd: 2.59818; counts: 427419
sfh 0.506185 0.388806 1.36212 0.288038 #avg: 1.14708; avg_err: 0.00400082; sd: 2.61562; counts: 427419
sfh 0.511247 0.400041 1.41251 0.2969 #avg: 1.17298; avg_err: 0.00398571; sd: 2.60575; counts: 427419
sfh 0.51631 0.412642 1.4627 0.30718 #avg: 1.19993; avg_err: 0.0040055; sd: 2.61868; counts: 427419
sfh 0.521372 0.423485 1.51096 0.314785 #avg: 1.22635; avg_err: 0.00403374; sd: 2.63714; counts: 427419
sfh 0.526435 0.435559 1.55857 0.324182 #avg: 1.25315; avg_err: 0.00404341; sd: 2.64347; counts: 427419
sfh 0.531497 0.449133 1.60026 0.33494 #avg: 1.27694; avg_err: 0.00403554; sd: 2.63833; counts: 427419
sfh 0.53656 0.461757 1.6472 0.344808 #avg: 1.30268; avg_err: 0.00408074; sd: 2.66787; counts: 427419
sfh 0.541622 0.473733 1.68815 0.354035 #avg: 1.32679; avg_err: 0.00411502; sd: 2.69028; counts: 427419
sfh 0.546685 0.486833 1.72722 0.365016 #avg: 1.34763; avg_err: 0.00414658; sd: 2.71092; counts: 427419
sfh 0.551747 0.500997 1.76904 0.376374 #avg: 1.36859; avg_err: 0.00414022; sd: 2.70676; counts: 427419
sfh 0.55681 0.51444 1.80708 0.387398 #avg: 1.38833; avg_err: 0.004122; sd: 2.69485; counts: 427419
sfh 0.561872 0.527375 1.83349 0.398082 #avg: 1.4054; avg_err: 0.00409516; sd: 2.6773; counts: 427419
sfh 0.566935 0.540141 1.86203 0.407997 #avg: 1.42185; avg_err: 0.00407602; sd: 2.66479; counts: 427419
sfh 0.571997 0.551692 1.89574 0.416686 #avg: 1.43609; avg_err: 0.00406197; sd: 2.6556; counts: 427419
sfh 0.57706 0.563112 1.91843 0.425957 #avg: 1.4454; avg_err: 0.00401213; sd: 2.62302; counts: 427419
sfh 0.582123 0.575942 1.93827 0.436693 #avg: 1.45733; avg_err: 0.0039834; sd: 2.60424; counts: 427419
