#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.75 - 12.25
#HM   Stats: 8.651470e+11 (median) + 4.744130e+11  / - 2.313230e+11
#SM   Stats: 2.522470e+10 (median) + 2.843090e+10  / - 1.387200e+10
#VMP  Stats: 1.492800e+02 (median) + 2.311000e+01  / - 1.692000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.747449e-11 (median) + 7.378942e-11  / - 2.553630e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 107102
sfh 0.060123 0 0 0 #avg: 8.32927e-05; avg_err: 4.83546e-05; sd: 0.0158247; counts: 107102
sfh 0.062373 0 0 0 #avg: 0.000865397; avg_err: 0.000501437; sd: 0.164102; counts: 107102
sfh 0.064623 0 0 0 #avg: 0.000887968; avg_err: 0.000274853; sd: 0.0899493; counts: 107102
sfh 0.066873 0 0 0 #avg: 0.00359002; avg_err: 0.00144029; sd: 0.471352; counts: 107102
sfh 0.069123 0 0 0 #avg: 0.00375872; avg_err: 0.000868058; sd: 0.284083; counts: 107102
sfh 0.071373 0 0 0 #avg: 0.00502959; avg_err: 0.000630082; sd: 0.206202; counts: 107102
sfh 0.073623 0 0 0 #avg: 0.0066308; avg_err: 0.000570779; sd: 0.186795; counts: 107102
sfh 0.075873 0 0 0 #avg: 0.00935177; avg_err: 0.00050559; sd: 0.165461; counts: 107102
sfh 0.078123 0 0 0 #avg: 0.0137642; avg_err: 0.000682056; sd: 0.223211; counts: 107102
sfh 0.080373 0 0 0 #avg: 0.0186243; avg_err: 0.000713641; sd: 0.233548; counts: 107102
sfh 0.082623 0 0 0 #avg: 0.0228056; avg_err: 0.000763109; sd: 0.249737; counts: 107102
sfh 0.085998 0 0 0 #avg: 0.0355249; avg_err: 0.00106295; sd: 0.347865; counts: 107102
sfh 0.089373 0 0.0130245 0 #avg: 0.0478356; avg_err: 0.00142666; sd: 0.466894; counts: 107102
sfh 0.092748 0 0.0388038 0 #avg: 0.0595828; avg_err: 0.00126443; sd: 0.413801; counts: 107102
sfh 0.096123 0 0.0697364 0 #avg: 0.0727096; avg_err: 0.00121627; sd: 0.398039; counts: 107102
sfh 0.099498 0 0.101653 0 #avg: 0.0863181; avg_err: 0.00129341; sd: 0.423285; counts: 107102
sfh 0.102873 0.002485 0.126874 0.002485 #avg: 0.102324; avg_err: 0.0015561; sd: 0.509253; counts: 107102
sfh 0.106248 0.0092794 0.146753 0.0092794 #avg: 0.11695; avg_err: 0.00171641; sd: 0.561716; counts: 107102
sfh 0.109623 0.0172535 0.161989 0.0172535 #avg: 0.132578; avg_err: 0.00162384; sd: 0.531422; counts: 107102
sfh 0.112998 0.0247983 0.177117 0.0247983 #avg: 0.149359; avg_err: 0.00183367; sd: 0.600093; counts: 107102
sfh 0.116373 0.0317549 0.192244 0.0317549 #avg: 0.163862; avg_err: 0.00186596; sd: 0.610659; counts: 107102
sfh 0.119748 0.0381694 0.206123 0.0380572 #avg: 0.178571; avg_err: 0.00196029; sd: 0.641529; counts: 107102
sfh 0.123123 0.0452783 0.225124 0.0438818 #avg: 0.195743; avg_err: 0.00231907; sd: 0.758947; counts: 107102
sfh 0.126498 0.0526826 0.241364 0.049597 #avg: 0.212377; avg_err: 0.00222581; sd: 0.728426; counts: 107102
sfh 0.129873 0.0610808 0.265085 0.0560182 #avg: 0.233818; avg_err: 0.0026921; sd: 0.881025; counts: 107102
sfh 0.133248 0.0698527 0.286674 0.0626826 #avg: 0.255786; avg_err: 0.00262266; sd: 0.8583; counts: 107102
sfh 0.136623 0.0780943 0.314385 0.06854 #avg: 0.278196; avg_err: 0.00268881; sd: 0.879947; counts: 107102
sfh 0.141685 0.0925467 0.352556 0.0791581 #avg: 0.311624; avg_err: 0.00282891; sd: 0.925796; counts: 107102
sfh 0.146748 0.107281 0.386561 0.0894819 #avg: 0.346063; avg_err: 0.0030807; sd: 1.0082; counts: 107102
sfh 0.15181 0.122582 0.427153 0.100585 #avg: 0.38105; avg_err: 0.00325671; sd: 1.0658; counts: 107102
sfh 0.156873 0.138495 0.46761 0.112092 #avg: 0.41483; avg_err: 0.00329913; sd: 1.07968; counts: 107102
sfh 0.161935 0.154837 0.509808 0.124175 #avg: 0.450988; avg_err: 0.00348667; sd: 1.14106; counts: 107102
sfh 0.166998 0.170962 0.564599 0.135776 #avg: 0.492827; avg_err: 0.00392346; sd: 1.284; counts: 107102
sfh 0.17206 0.185873 0.60422 0.146722 #avg: 0.529072; avg_err: 0.00419288; sd: 1.37218; counts: 107102
sfh 0.177123 0.202211 0.654392 0.158594 #avg: 0.569482; avg_err: 0.00450999; sd: 1.47595; counts: 107102
sfh 0.182185 0.221126 0.695874 0.172698 #avg: 0.613603; avg_err: 0.00471857; sd: 1.54421; counts: 107102
sfh 0.187248 0.237641 0.746924 0.184786 #avg: 0.656753; avg_err: 0.00504907; sd: 1.65237; counts: 107102
sfh 0.19231 0.255668 0.795402 0.197742 #avg: 0.698355; avg_err: 0.00527311; sd: 1.72569; counts: 107102
sfh 0.197373 0.273541 0.853089 0.210724 #avg: 0.742232; avg_err: 0.005958; sd: 1.94983; counts: 107102
sfh 0.202435 0.29277 0.90564 0.225084 #avg: 0.784979; avg_err: 0.00577001; sd: 1.88831; counts: 107102
sfh 0.207498 0.313699 0.956551 0.239996 #avg: 0.828839; avg_err: 0.00608211; sd: 1.99045; counts: 107102
sfh 0.21256 0.33412 1.01332 0.255109 #avg: 0.87413; avg_err: 0.00628213; sd: 2.05591; counts: 107102
sfh 0.217623 0.354614 1.07568 0.26967 #avg: 0.919193; avg_err: 0.00659664; sd: 2.15883; counts: 107102
sfh 0.222685 0.376402 1.13265 0.285824 #avg: 0.968998; avg_err: 0.007327; sd: 2.39785; counts: 107102
sfh 0.227748 0.400653 1.18137 0.303407 #avg: 1.01419; avg_err: 0.00712282; sd: 2.33103; counts: 107102
sfh 0.23281 0.422337 1.24083 0.318967 #avg: 1.06482; avg_err: 0.00737789; sd: 2.41451; counts: 107102
sfh 0.237873 0.445249 1.3038 0.335959 #avg: 1.11646; avg_err: 0.00800574; sd: 2.61998; counts: 107102
sfh 0.242935 0.470696 1.35374 0.35596 #avg: 1.17367; avg_err: 0.00822943; sd: 2.69319; counts: 107102
sfh 0.247998 0.496106 1.40447 0.374154 #avg: 1.22713; avg_err: 0.00854153; sd: 2.79533; counts: 107102
sfh 0.25306 0.520675 1.49762 0.392432 #avg: 1.28253; avg_err: 0.00839; sd: 2.74574; counts: 107102
sfh 0.258123 0.548609 1.55178 0.412232 #avg: 1.33891; avg_err: 0.00856102; sd: 2.8017; counts: 107102
sfh 0.263185 0.575898 1.63559 0.43302 #avg: 1.39962; avg_err: 0.00885768; sd: 2.89879; counts: 107102
sfh 0.268248 0.607964 1.70055 0.457291 #avg: 1.46431; avg_err: 0.0092086; sd: 3.01363; counts: 107102
sfh 0.27331 0.637528 1.7768 0.478559 #avg: 1.52679; avg_err: 0.00956336; sd: 3.12973; counts: 107102
sfh 0.278373 0.66696 1.85177 0.500645 #avg: 1.60043; avg_err: 0.0103002; sd: 3.37088; counts: 107102
sfh 0.283435 0.697245 1.89889 0.520887 #avg: 1.67283; avg_err: 0.0111497; sd: 3.64887; counts: 107102
sfh 0.288498 0.727565 1.99015 0.542688 #avg: 1.76031; avg_err: 0.0117741; sd: 3.85323; counts: 107102
sfh 0.29356 0.761702 2.09402 0.56917 #avg: 1.85172; avg_err: 0.0127237; sd: 4.16398; counts: 107102
sfh 0.298623 0.79671 2.1775 0.592851 #avg: 1.94642; avg_err: 0.0137701; sd: 4.50644; counts: 107102
sfh 0.303685 0.830694 2.27348 0.617901 #avg: 2.03937; avg_err: 0.0139892; sd: 4.57814; counts: 107102
sfh 0.308748 0.867449 2.39572 0.64406 #avg: 2.15341; avg_err: 0.0150508; sd: 4.92558; counts: 107102
sfh 0.31381 0.900183 2.5252 0.667642 #avg: 2.26627; avg_err: 0.0158115; sd: 5.17451; counts: 107102
sfh 0.318873 0.937763 2.65677 0.694986 #avg: 2.3828; avg_err: 0.0162779; sd: 5.32716; counts: 107102
sfh 0.323935 0.979636 2.80953 0.72536 #avg: 2.51104; avg_err: 0.0174342; sd: 5.70556; counts: 107102
sfh 0.328997 1.01718 2.96761 0.752756 #avg: 2.64661; avg_err: 0.0184667; sd: 6.04347; counts: 107102
sfh 0.33406 1.06389 3.12254 0.787381 #avg: 2.80018; avg_err: 0.0195514; sd: 6.39846; counts: 107102
sfh 0.339122 1.11189 3.2926 0.824236 #avg: 2.96689; avg_err: 0.0207776; sd: 6.79974; counts: 107102
