#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.75 - 12.25
#HM   Stats: 8.138240e+11 (median) + 4.573560e+11  / - 1.927950e+11
#SM   Stats: 3.402170e+10 (median) + 3.492140e+10  / - 1.904490e+10
#VMP  Stats: 1.567100e+02 (median) + 2.481000e+01  / - 1.821001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 4.315007e-11 (median) + 7.760743e-11  / - 2.553812e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 14055
sfh 0.060123 0 0 0 #avg: 3.41237e-05; avg_err: 3.41237e-05; sd: 0.00404534; counts: 14055
sfh 0.062373 0 0 0 #avg: 0.000162471; avg_err: 6.98516e-05; sd: 0.00828088; counts: 14055
sfh 0.064623 0 0 0 #avg: 0.00104424; avg_err: 0.000384209; sd: 0.0455478; counts: 14055
sfh 0.066873 0 0 0 #avg: 0.00221011; avg_err: 0.000513203; sd: 0.06084; counts: 14055
sfh 0.069123 0 0 0 #avg: 0.00407825; avg_err: 0.000942357; sd: 0.111716; counts: 14055
sfh 0.071373 0 0 0 #avg: 0.00672422; avg_err: 0.0014983; sd: 0.177623; counts: 14055
sfh 0.073623 0 0 0 #avg: 0.0108397; avg_err: 0.00187979; sd: 0.222849; counts: 14055
sfh 0.075873 0 0 0 #avg: 0.0167325; avg_err: 0.00187952; sd: 0.222817; counts: 14055
sfh 0.078123 0 0 0 #avg: 0.0235522; avg_err: 0.00288123; sd: 0.341569; counts: 14055
sfh 0.080373 0 0 0 #avg: 0.0311184; avg_err: 0.00255284; sd: 0.302638; counts: 14055
sfh 0.082623 0 0 0 #avg: 0.0361463; avg_err: 0.00280356; sd: 0.332361; counts: 14055
sfh 0.085998 0 0.00696088 0 #avg: 0.0537996; avg_err: 0.00382888; sd: 0.453912; counts: 14055
sfh 0.089373 0 0.0314694 0 #avg: 0.070458; avg_err: 0.00392417; sd: 0.465209; counts: 14055
sfh 0.092748 0 0.0677567 0 #avg: 0.0879977; avg_err: 0.00475609; sd: 0.563832; counts: 14055
sfh 0.096123 0 0.107311 0 #avg: 0.1069; avg_err: 0.00771667; sd: 0.914808; counts: 14055
sfh 0.099498 9.58676e-06 0.14218 9.58676e-06 #avg: 0.124864; avg_err: 0.00608431; sd: 0.721292; counts: 14055
sfh 0.102873 0.00548799 0.170671 0.00548799 #avg: 0.150303; avg_err: 0.00828192; sd: 0.981818; counts: 14055
sfh 0.106248 0.0146382 0.194746 0.0146382 #avg: 0.16471; avg_err: 0.00583904; sd: 0.692216; counts: 14055
sfh 0.109623 0.0241795 0.216865 0.0241795 #avg: 0.188672; avg_err: 0.00775204; sd: 0.919001; counts: 14055
sfh 0.112998 0.0332606 0.235492 0.0332606 #avg: 0.20542; avg_err: 0.00644426; sd: 0.763964; counts: 14055
sfh 0.116373 0.0406158 0.252464 0.0406158 #avg: 0.221372; avg_err: 0.00636312; sd: 0.754346; counts: 14055
sfh 0.119748 0.048378 0.288308 0.0483318 #avg: 0.245964; avg_err: 0.00716989; sd: 0.849988; counts: 14055
sfh 0.123123 0.0571304 0.301628 0.0558714 #avg: 0.272166; avg_err: 0.00858946; sd: 1.01828; counts: 14055
sfh 0.126498 0.0670005 0.330439 0.0639618 #avg: 0.311202; avg_err: 0.0120628; sd: 1.43004; counts: 14055
sfh 0.129873 0.0758597 0.358303 0.0709249 #avg: 0.343249; avg_err: 0.0125824; sd: 1.49163; counts: 14055
sfh 0.133248 0.0873779 0.387192 0.0804462 #avg: 0.364997; avg_err: 0.011317; sd: 1.34163; counts: 14055
sfh 0.136623 0.0984903 0.4293 0.0886197 #avg: 0.394874; avg_err: 0.0111775; sd: 1.32509; counts: 14055
sfh 0.141685 0.114094 0.483891 0.100754 #avg: 0.45286; avg_err: 0.0124701; sd: 1.47833; counts: 14055
sfh 0.146748 0.133974 0.547436 0.117104 #avg: 0.512991; avg_err: 0.0141107; sd: 1.67282; counts: 14055
sfh 0.15181 0.15181 0.581883 0.131416 #avg: 0.564516; avg_err: 0.0152405; sd: 1.80676; counts: 14055
sfh 0.156873 0.172973 0.663802 0.147839 #avg: 0.613945; avg_err: 0.0160596; sd: 1.90386; counts: 14055
sfh 0.161935 0.192483 0.7303 0.163373 #avg: 0.671918; avg_err: 0.0181051; sd: 2.14635; counts: 14055
sfh 0.166998 0.211463 0.789947 0.178392 #avg: 0.727667; avg_err: 0.0192791; sd: 2.28553; counts: 14055
sfh 0.17206 0.232777 0.860293 0.195988 #avg: 0.810041; avg_err: 0.030883; sd: 3.66117; counts: 14055
