#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.686760e+12 (median) + 1.507360e+12  / - 6.867600e+11
#SM   Stats: 7.395810e+10 (median) + 6.896691e+10  / - 4.147370e+10
#VMP  Stats: 2.308700e+02 (median) + 3.623999e+01  / - 2.809000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.036961e-12 (median) + 1.643595e-11  / - 1.446033e-12
sfh 0.055623 0 0 0 #avg: 0.00173791; avg_err: 0.0012952; sd: 0.146546; counts: 12803
sfh 0.060123 0 0 0 #avg: 0.0237501; avg_err: 0.0177821; sd: 2.01197; counts: 12803
sfh 0.062373 0 0 0 #avg: 0.0425853; avg_err: 0.0293224; sd: 3.31771; counts: 12803
sfh 0.064623 0 0 0 #avg: 0.054; avg_err: 0.032674; sd: 3.69693; counts: 12803
sfh 0.066873 0 0 0 #avg: 0.0487742; avg_err: 0.0213637; sd: 2.41722; counts: 12803
sfh 0.069123 0 0 0 #avg: 0.0597706; avg_err: 0.0215034; sd: 2.43303; counts: 12803
sfh 0.071373 0 0 0 #avg: 0.0816421; avg_err: 0.025815; sd: 2.92087; counts: 12803
sfh 0.073623 0 0 0 #avg: 0.112775; avg_err: 0.0242358; sd: 2.74218; counts: 12803
sfh 0.075873 0 0.0018058 0 #avg: 0.151012; avg_err: 0.0288118; sd: 3.25994; counts: 12803
sfh 0.078123 0 0.0333563 0 #avg: 0.194025; avg_err: 0.0265304; sd: 3.00181; counts: 12803
sfh 0.080373 0 0.0872952 0 #avg: 0.218778; avg_err: 0.0217704; sd: 2.46323; counts: 12803
sfh 0.082623 0 0.159386 0 #avg: 0.235234; avg_err: 0.0209928; sd: 2.37525; counts: 12803
sfh 0.085998 0 0.287023 0 #avg: 0.332358; avg_err: 0.0309342; sd: 3.50008; counts: 12803
sfh 0.089373 0.0131595 0.403503 0.0131595 #avg: 0.386305; avg_err: 0.0242268; sd: 2.74116; counts: 12803
sfh 0.092748 0.0408386 0.513154 0.0408386 #avg: 0.453664; avg_err: 0.0190208; sd: 2.15213; counts: 12803
sfh 0.096123 0.0757973 0.6186 0.0757973 #avg: 0.543778; avg_err: 0.0203658; sd: 2.30431; counts: 12803
sfh 0.099498 0.117029 0.682526 0.117029 #avg: 0.657448; avg_err: 0.0279771; sd: 3.1655; counts: 12803
sfh 0.102873 0.152091 0.793697 0.149407 #avg: 0.75631; avg_err: 0.0276235; sd: 3.12549; counts: 12803
sfh 0.106248 0.187618 0.904172 0.177461 #avg: 0.868212; avg_err: 0.0316442; sd: 3.58041; counts: 12803
sfh 0.109623 0.227913 1.03601 0.208657 #avg: 0.998095; avg_err: 0.0383934; sd: 4.34406; counts: 12803
sfh 0.112998 0.267721 1.16979 0.238808 #avg: 1.12175; avg_err: 0.0398654; sd: 4.51061; counts: 12803
sfh 0.116373 0.309122 1.33436 0.269545 #avg: 1.31033; avg_err: 0.0608562; sd: 6.88563; counts: 12803
sfh 0.119748 0.348745 1.52636 0.299478 #avg: 1.42849; avg_err: 0.0517734; sd: 5.85795; counts: 12803
sfh 0.123123 0.39553 1.70372 0.335275 #avg: 1.58936; avg_err: 0.0557632; sd: 6.30937; counts: 12803
sfh 0.126498 0.442097 1.85524 0.370511 #avg: 1.76298; avg_err: 0.0615246; sd: 6.96126; counts: 12803
sfh 0.129873 0.499268 2.04667 0.415385 #avg: 1.96076; avg_err: 0.0741353; sd: 8.38811; counts: 12803
sfh 0.133248 0.556905 2.26113 0.460454 #avg: 2.352; avg_err: 0.191614; sd: 21.6803; counts: 12803
sfh 0.136623 0.623046 2.55163 0.514898 #avg: 2.56338; avg_err: 0.205645; sd: 23.2679; counts: 12803
sfh 0.141685 0.715783 3.02604 0.587592 #avg: 2.78563; avg_err: 0.144745; sd: 16.3773; counts: 12803
sfh 0.146748 0.844134 3.25841 0.69293 #avg: 3.15291; avg_err: 0.172329; sd: 19.4983; counts: 12803
sfh 0.15181 0.949184 3.65819 0.775688 #avg: 3.43969; avg_err: 0.154817; sd: 17.5169; counts: 12803
sfh 0.156873 1.07904 4.07012 0.878649 #avg: 3.65241; avg_err: 0.0899559; sd: 10.1781; counts: 12803
sfh 0.161935 1.20643 4.51426 0.980699 #avg: 4.0542; avg_err: 0.0981458; sd: 11.1048; counts: 12803
sfh 0.166998 1.34227 5.06117 1.08202 #avg: 4.51111; avg_err: 0.130982; sd: 14.8201; counts: 12803
sfh 0.17206 1.50965 5.4963 1.22389 #avg: 4.93811; avg_err: 0.156728; sd: 17.7331; counts: 12803
sfh 0.177123 1.67236 6.00529 1.35398 #avg: 5.35478; avg_err: 0.160506; sd: 18.1606; counts: 12803
sfh 0.182185 1.82206 6.57968 1.4712 #avg: 5.8875; avg_err: 0.176143; sd: 19.9299; counts: 12803
sfh 0.187248 2.02092 7.11826 1.62904 #avg: 6.38382; avg_err: 0.164194; sd: 18.5779; counts: 12803
sfh 0.19231 2.19537 7.73554 1.78071 #avg: 6.90054; avg_err: 0.171522; sd: 19.407; counts: 12803
sfh 0.197373 2.43226 8.37114 1.97831 #avg: 7.54051; avg_err: 0.18391; sd: 20.8086; counts: 12803
sfh 0.202435 2.62283 8.83897 2.14069 #avg: 8.11417; avg_err: 0.195969; sd: 22.1731; counts: 12803
sfh 0.207498 2.80373 9.78107 2.26381 #avg: 8.78894; avg_err: 0.208852; sd: 23.6307; counts: 12803
sfh 0.21256 3.01114 10.3402 2.43256 #avg: 9.42187; avg_err: 0.227976; sd: 25.7945; counts: 12803
sfh 0.217623 3.27687 11.1987 2.64987 #avg: 9.97574; avg_err: 0.232234; sd: 26.2764; counts: 12803
sfh 0.222685 3.47136 12.0386 2.792 #avg: 10.503; avg_err: 0.237741; sd: 26.8995; counts: 12803
sfh 0.227748 3.72454 12.5526 2.98772 #avg: 11.1529; avg_err: 0.256798; sd: 29.0557; counts: 12803
sfh 0.23281 3.9498 13.6194 3.18263 #avg: 11.8647; avg_err: 0.271525; sd: 30.722; counts: 12803
sfh 0.237873 4.21641 14.4322 3.40863 #avg: 12.4383; avg_err: 0.270661; sd: 30.6242; counts: 12803
sfh 0.242935 4.4817 15.4039 3.63299 #avg: 13.1256; avg_err: 0.272229; sd: 30.8016; counts: 12803
sfh 0.247998 4.72628 16.7505 3.81789 #avg: 13.9849; avg_err: 0.274986; sd: 31.1136; counts: 12803
sfh 0.25306 4.96961 18.1119 4.00069 #avg: 15.0729; avg_err: 0.297832; sd: 33.6984; counts: 12803
sfh 0.258123 5.32851 19.7969 4.3282 #avg: 16.0614; avg_err: 0.315213; sd: 35.6651; counts: 12803
sfh 0.263185 5.72073 21.2901 4.67396 #avg: 17.2914; avg_err: 0.344597; sd: 38.9897; counts: 12803
sfh 0.268248 6.08412 22.592 4.98899 #avg: 18.44; avg_err: 0.364838; sd: 41.28; counts: 12803
sfh 0.27331 6.5052 24.8043 5.34767 #avg: 19.6709; avg_err: 0.379171; sd: 42.9017; counts: 12803
sfh 0.278373 6.94276 26.7886 5.73808 #avg: 20.8901; avg_err: 0.399838; sd: 45.24; counts: 12803
sfh 0.283435 7.4428 28.916 6.17962 #avg: 22.3243; avg_err: 0.418962; sd: 47.4038; counts: 12803
sfh 0.288498 7.95936 30.7724 6.63161 #avg: 23.5003; avg_err: 0.420222; sd: 47.5464; counts: 12803
sfh 0.29356 8.55442 33.2986 7.13167 #avg: 24.8005; avg_err: 0.424782; sd: 48.0624; counts: 12803
sfh 0.298623 9.08237 35.7427 7.64232 #avg: 26.0882; avg_err: 0.436915; sd: 49.4351; counts: 12803
sfh 0.303685 9.74027 38.6972 8.23399 #avg: 27.2959; avg_err: 0.437711; sd: 49.5252; counts: 12803
sfh 0.308748 10.4072 40.9154 8.85682 #avg: 28.654; avg_err: 0.447928; sd: 50.6812; counts: 12803
sfh 0.31381 11.1466 42.9931 9.57312 #avg: 29.9279; avg_err: 0.460403; sd: 52.0928; counts: 12803
sfh 0.318873 12.0073 45.6343 10.375 #avg: 31.3602; avg_err: 0.470975; sd: 53.2888; counts: 12803
sfh 0.323935 12.759 48.1856 11.1292 #avg: 32.6234; avg_err: 0.4812; sd: 54.4459; counts: 12803
sfh 0.328997 13.6047 49.8682 11.9252 #avg: 33.8924; avg_err: 0.49604; sd: 56.1249; counts: 12803
sfh 0.33406 14.5254 51.2254 12.801 #avg: 34.8327; avg_err: 0.490015; sd: 55.4432; counts: 12803
sfh 0.339122 15.49 52.7063 13.8114 #avg: 36.0033; avg_err: 0.49511; sd: 56.0197; counts: 12803
sfh 0.344185 16.5979 53.7974 14.8729 #avg: 37.0791; avg_err: 0.497825; sd: 56.3269; counts: 12803
sfh 0.349247 17.6623 54.7248 15.9506 #avg: 37.8868; avg_err: 0.495578; sd: 56.0726; counts: 12803
sfh 0.35431 18.3706 55.8965 16.6779 #avg: 38.5016; avg_err: 0.490427; sd: 55.4899; counts: 12803
sfh 0.359372 19.2746 55.8315 17.634 #avg: 38.9545; avg_err: 0.487583; sd: 55.168; counts: 12803
sfh 0.364435 20.3846 54.987 18.782 #avg: 39.5175; avg_err: 0.48757; sd: 55.1666; counts: 12803
sfh 0.369497 20.969 56.2041 19.4043 #avg: 39.977; avg_err: 0.487762; sd: 55.1883; counts: 12803
