#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM   Stats: 8.638240e+12 (median) + 4.674960e+12  / - 2.314710e+12
#SM   Stats: 1.332890e+11 (median) + 1.052300e+11  / - 6.743720e+10
#VMP  Stats: 3.065600e+02 (median) + 4.570999e+01  / - 3.264999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 4.063268e-12 (median) + 1.973468e-11  / - 3.061990e-12
sfh 0.055623 0 0 0 #avg: 0.000548223; avg_err: 0.000266762; sd: 0.0306637; counts: 13214
sfh 0.060123 0 0 0 #avg: 0.0112561; avg_err: 0.00260868; sd: 0.299862; counts: 13214
sfh 0.062373 0 0 0 #avg: 0.0244581; avg_err: 0.00445487; sd: 0.512078; counts: 13214
sfh 0.064623 0 0 0 #avg: 0.0647467; avg_err: 0.0115765; sd: 1.33069; counts: 13214
sfh 0.066873 0 0 0 #avg: 0.10334; avg_err: 0.019166; sd: 2.20309; counts: 13214
sfh 0.069123 0 0 0 #avg: 0.126296; avg_err: 0.0131126; sd: 1.50727; counts: 13214
sfh 0.071373 0 0.0118474 0 #avg: 0.178769; avg_err: 0.0146644; sd: 1.68564; counts: 13214
sfh 0.073623 0 0.0745209 0 #avg: 0.257806; avg_err: 0.0273419; sd: 3.14289; counts: 13214
sfh 0.075873 0 0.19107 0 #avg: 0.32017; avg_err: 0.0221041; sd: 2.54081; counts: 13214
sfh 0.078123 0 0.361414 0 #avg: 0.392765; avg_err: 0.0184405; sd: 2.11969; counts: 13214
sfh 0.080373 0.00835998 0.541967 0.00835998 #avg: 0.475077; avg_err: 0.0205961; sd: 2.36748; counts: 13214
sfh 0.082623 0.033627 0.647875 0.033627 #avg: 0.496595; avg_err: 0.0179619; sd: 2.06468; counts: 13214
sfh 0.085998 0.0991159 0.926284 0.0991159 #avg: 0.767556; avg_err: 0.0290331; sd: 3.33729; counts: 13214
sfh 0.089373 0.201438 1.12487 0.201438 #avg: 0.95332; avg_err: 0.0324544; sd: 3.73057; counts: 13214
sfh 0.092748 0.303263 1.32884 0.288708 #avg: 1.18578; avg_err: 0.0433295; sd: 4.98064; counts: 13214
sfh 0.096123 0.418261 1.59124 0.377971 #avg: 1.47027; avg_err: 0.0559286; sd: 6.42887; counts: 13214
sfh 0.099498 0.520349 1.81711 0.446547 #avg: 1.74708; avg_err: 0.054867; sd: 6.30685; counts: 13214
sfh 0.102873 0.644189 2.08454 0.530332 #avg: 2.09082; avg_err: 0.0602728; sd: 6.92822; counts: 13214
sfh 0.106248 0.760163 2.4347 0.608802 #avg: 2.44852; avg_err: 0.0769174; sd: 8.84149; counts: 13214
sfh 0.109623 0.898298 2.78967 0.702447 #avg: 2.7899; avg_err: 0.0841131; sd: 9.66862; counts: 13214
sfh 0.112998 1.0639 3.20977 0.827113 #avg: 3.20958; avg_err: 0.108011; sd: 12.4157; counts: 13214
sfh 0.116373 1.19481 3.61927 0.914426 #avg: 3.64885; avg_err: 0.122438; sd: 14.074; counts: 13214
sfh 0.119748 1.35528 4.11518 1.02986 #avg: 4.00785; avg_err: 0.115401; sd: 13.2651; counts: 13214
sfh 0.123123 1.51798 4.61058 1.14355 #avg: 4.50556; avg_err: 0.149569; sd: 17.1926; counts: 13214
sfh 0.126498 1.68379 5.20997 1.25835 #avg: 4.94818; avg_err: 0.155811; sd: 17.9101; counts: 13214
sfh 0.129873 1.90413 5.74575 1.41834 #avg: 5.39599; avg_err: 0.143388; sd: 16.4822; counts: 13214
sfh 0.133248 2.14547 6.44051 1.58376 #avg: 5.91139; avg_err: 0.139186; sd: 15.9991; counts: 13214
sfh 0.136623 2.35557 7.14585 1.7326 #avg: 6.56446; avg_err: 0.182196; sd: 20.943; counts: 13214
sfh 0.141685 2.75893 8.07187 2.03145 #avg: 7.50054; avg_err: 0.168172; sd: 19.331; counts: 13214
sfh 0.146748 3.19075 9.13065 2.34518 #avg: 8.54478; avg_err: 0.18359; sd: 21.1032; counts: 13214
sfh 0.15181 3.63383 10.4207 2.6615 #avg: 9.7213; avg_err: 0.208865; sd: 24.0086; counts: 13214
sfh 0.156873 4.11509 11.7594 3.00512 #avg: 10.7646; avg_err: 0.217869; sd: 25.0435; counts: 13214
sfh 0.161935 4.60058 13.3631 3.3451 #avg: 11.8792; avg_err: 0.229355; sd: 26.3638; counts: 13214
sfh 0.166998 5.15943 14.9215 3.74887 #avg: 13.2103; avg_err: 0.242717; sd: 27.8998; counts: 13214
sfh 0.17206 5.72585 16.0134 4.15017 #avg: 14.6829; avg_err: 0.280022; sd: 32.188; counts: 13214
sfh 0.177123 6.31208 17.8236 4.59257 #avg: 16.172; avg_err: 0.312583; sd: 35.9308; counts: 13214
sfh 0.182185 6.91382 20.2602 5.01129 #avg: 17.8016; avg_err: 0.375584; sd: 43.1726; counts: 13214
sfh 0.187248 7.65606 22.0436 5.60599 #avg: 19.1024; avg_err: 0.343647; sd: 39.5014; counts: 13214
sfh 0.19231 8.29526 24.3885 6.04175 #avg: 20.8966; avg_err: 0.37772; sd: 43.4181; counts: 13214
sfh 0.197373 9.04976 26.5567 6.59389 #avg: 22.6964; avg_err: 0.406809; sd: 46.7618; counts: 13214
sfh 0.202435 9.91717 27.9337 7.2918 #avg: 24.6459; avg_err: 0.452662; sd: 52.0326; counts: 13214
sfh 0.207498 10.7769 30.062 7.83765 #avg: 26.5744; avg_err: 0.492838; sd: 56.6507; counts: 13214
sfh 0.21256 11.6941 32.9613 8.56117 #avg: 28.7547; avg_err: 0.520115; sd: 59.786; counts: 13214
sfh 0.217623 12.7362 35.4381 9.36788 #avg: 30.5624; avg_err: 0.524771; sd: 60.3212; counts: 13214
sfh 0.222685 13.8405 38.8597 10.2659 #avg: 32.6235; avg_err: 0.54166; sd: 62.2627; counts: 13214
sfh 0.227748 14.8456 42.1977 11.0981 #avg: 34.83; avg_err: 0.548188; sd: 63.013; counts: 13214
sfh 0.23281 16.0645 45.7447 12.0812 #avg: 37.2273; avg_err: 0.579971; sd: 66.6664; counts: 13214
sfh 0.237873 17.0199 48.3584 12.7358 #avg: 39.4045; avg_err: 0.601821; sd: 69.178; counts: 13214
sfh 0.242935 18.451 51.6189 13.9149 #avg: 41.7009; avg_err: 0.624114; sd: 71.7405; counts: 13214
sfh 0.247998 19.8954 53.8606 15.0695 #avg: 43.9721; avg_err: 0.6376; sd: 73.2907; counts: 13214
sfh 0.25306 21.3583 59.9755 16.2667 #avg: 46.2394; avg_err: 0.640493; sd: 73.6233; counts: 13214
sfh 0.258123 22.4011 64.4322 17.0894 #avg: 48.4337; avg_err: 0.647392; sd: 74.4163; counts: 13214
sfh 0.263185 23.5702 67.3057 18.0408 #avg: 50.8854; avg_err: 0.67045; sd: 77.0667; counts: 13214
sfh 0.268248 25.481 70.8508 19.691 #avg: 53.3691; avg_err: 0.69142; sd: 79.4773; counts: 13214
sfh 0.27331 27.1987 74.0803 21.1829 #avg: 55.8953; avg_err: 0.706861; sd: 81.2522; counts: 13214
sfh 0.278373 29.0141 77.3399 22.8495 #avg: 57.8456; avg_err: 0.703131; sd: 80.8234; counts: 13214
sfh 0.283435 31.091 80.404 24.7078 #avg: 60.1756; avg_err: 0.711002; sd: 81.7282; counts: 13214
sfh 0.288498 32.5953 83.8107 25.9202 #avg: 62.4034; avg_err: 0.730389; sd: 83.9566; counts: 13214
sfh 0.29356 34.553 84.94 27.606 #avg: 64.4738; avg_err: 0.737914; sd: 84.8216; counts: 13214
sfh 0.298623 36.6175 89.0795 29.4713 #avg: 66.2549; avg_err: 0.737925; sd: 84.8228; counts: 13214
sfh 0.303685 38.5422 91.2728 31.0591 #avg: 68.2568; avg_err: 0.736727; sd: 84.6852; counts: 13214
sfh 0.308748 40.7835 91.8155 32.9694 #avg: 69.991; avg_err: 0.737887; sd: 84.8185; counts: 13214
sfh 0.31381 41.7895 92.1485 33.9963 #avg: 71.2752; avg_err: 0.738034; sd: 84.8353; counts: 13214
sfh 0.318873 44.0602 91.9298 36.3264 #avg: 72.7063; avg_err: 0.749497; sd: 86.1531; counts: 13214
sfh 0.323935 45.5183 91.9127 37.8241 #avg: 73.4601; avg_err: 0.755049; sd: 86.7913; counts: 13214
sfh 0.328997 47.5882 91.6328 39.6172 #avg: 74.6881; avg_err: 0.756623; sd: 86.9721; counts: 13214
sfh 0.33406 47.7215 93.3015 39.8772 #avg: 75.1069; avg_err: 0.753246; sd: 86.584; counts: 13214
sfh 0.339122 48.5093 92.3507 40.8714 #avg: 75.4128; avg_err: 0.749744; sd: 86.1814; counts: 13214
sfh 0.344185 49.1102 91.5908 41.5974 #avg: 75.3571; avg_err: 0.741866; sd: 85.2759; counts: 13214
sfh 0.349247 49.6429 90.5821 42.4267 #avg: 75.2492; avg_err: 0.736653; sd: 84.6767; counts: 13214
sfh 0.35431 49.2421 92.0539 42.4292 #avg: 74.3753; avg_err: 0.718726; sd: 82.616; counts: 13214
sfh 0.359372 49.2903 89.5717 42.7725 #avg: 73.3025; avg_err: 0.697443; sd: 80.1695; counts: 13214
sfh 0.364435 48.6178 88.1002 42.3246 #avg: 72.3117; avg_err: 0.689382; sd: 79.243; counts: 13214
sfh 0.369497 47.7039 86.2611 41.8206 #avg: 71.097; avg_err: 0.676088; sd: 77.7148; counts: 13214
sfh 0.37456 47.3927 83.8153 42.0917 #avg: 69.4209; avg_err: 0.663072; sd: 76.2186; counts: 13214
sfh 0.379622 46.8934 81.6506 41.8846 #avg: 68.0832; avg_err: 0.65552; sd: 75.3506; counts: 13214
sfh 0.384685 45.9269 78.9221 41.4914 #avg: 65.9171; avg_err: 0.634751; sd: 72.9633; counts: 13214
sfh 0.389747 44.069 77.84 39.8746 #avg: 63.8273; avg_err: 0.617085; sd: 70.9325; counts: 13214
sfh 0.39481 42.3337 75.4003 38.6824 #avg: 61.7643; avg_err: 0.596562; sd: 68.5735; counts: 13214
sfh 0.399872 40.3431 73.5159 36.9179 #avg: 59.4376; avg_err: 0.580638; sd: 66.743; counts: 13214
sfh 0.404935 38.0353 71.4587 34.9988 #avg: 56.9173; avg_err: 0.559321; sd: 64.2928; counts: 13214
sfh 0.409997 35.638 69.806 32.9565 #avg: 54.2974; avg_err: 0.539538; sd: 62.0187; counts: 13214
sfh 0.41506 33.5071 67.0819 31.08 #avg: 51.7341; avg_err: 0.515639; sd: 59.2716; counts: 13214
sfh 0.420122 31.9279 64.8237 29.7459 #avg: 49.4912; avg_err: 0.496734; sd: 57.0985; counts: 13214
sfh 0.425185 29.7674 63.3481 27.6777 #avg: 47.3062; avg_err: 0.481458; sd: 55.3426; counts: 13214
sfh 0.430247 27.6136 61.7363 25.7821 #avg: 44.9523; avg_err: 0.461476; sd: 53.0456; counts: 13214
sfh 0.43531 25.9557 59.1899 24.332 #avg: 42.6229; avg_err: 0.442018; sd: 50.809; counts: 13214
sfh 0.440372 24.515 57.0193 23.0306 #avg: 40.6412; avg_err: 0.421047; sd: 48.3985; counts: 13214
sfh 0.445435 23.2763 54.7348 21.9199 #avg: 38.7173; avg_err: 0.40527; sd: 46.5849; counts: 13214
sfh 0.450497 21.5133 53.2151 20.29 #avg: 36.784; avg_err: 0.390959; sd: 44.9399; counts: 13214
sfh 0.45556 19.8454 50.5478 18.7052 #avg: 34.9563; avg_err: 0.37748; sd: 43.3905; counts: 13214
sfh 0.460622 18.386 49.2014 17.3237 #avg: 33.3292; avg_err: 0.363056; sd: 41.7325; counts: 13214
sfh 0.465685 17.1512 46.5373 16.1718 #avg: 31.6252; avg_err: 0.349679; sd: 40.1948; counts: 13214
sfh 0.470747 16.1754 44.0134 15.2799 #avg: 30.029; avg_err: 0.336958; sd: 38.7326; counts: 13214
sfh 0.47581 14.9032 42.6313 14.0499 #avg: 28.4179; avg_err: 0.319753; sd: 36.7549; counts: 13214
sfh 0.480872 13.8906 40.9428 13.1094 #avg: 26.8667; avg_err: 0.304191; sd: 34.9661; counts: 13214
sfh 0.485935 12.948 39.0116 12.1925 #avg: 25.4458; avg_err: 0.290016; sd: 33.3367; counts: 13214
sfh 0.490997 12.0893 36.7845 11.3985 #avg: 23.9674; avg_err: 0.275426; sd: 31.6596; counts: 13214
sfh 0.49606 11.1506 35.4757 10.51 #avg: 22.72; avg_err: 0.262389; sd: 30.161; counts: 13214
sfh 0.501122 10.5816 33.3322 9.98703 #avg: 21.3772; avg_err: 0.248634; sd: 28.58; counts: 13214
sfh 0.506185 9.70828 31.6278 9.13571 #avg: 20.1361; avg_err: 0.236598; sd: 27.1964; counts: 13214
sfh 0.511247 8.88304 30.308 8.3428 #avg: 19.0084; avg_err: 0.224692; sd: 25.8278; counts: 13214
sfh 0.51631 8.34964 28.3917 7.83369 #avg: 17.9326; avg_err: 0.213478; sd: 24.5388; counts: 13214
sfh 0.521372 7.83509 27.1041 7.35578 #avg: 16.9915; avg_err: 0.202565; sd: 23.2843; counts: 13214
sfh 0.526435 7.35416 25.7429 6.89117 #avg: 15.9884; avg_err: 0.191401; sd: 22.0012; counts: 13214
sfh 0.531497 6.85848 24.0398 6.42206 #avg: 15.137; avg_err: 0.183223; sd: 21.0611; counts: 13214
sfh 0.53656 6.40863 22.872 5.99416 #avg: 14.338; avg_err: 0.175258; sd: 20.1456; counts: 13214
sfh 0.541622 6.01876 21.4953 5.61903 #avg: 13.5037; avg_err: 0.165938; sd: 19.0742; counts: 13214
sfh 0.546685 5.67433 20.4537 5.29531 #avg: 12.8202; avg_err: 0.158776; sd: 18.2509; counts: 13214
sfh 0.551747 5.37044 19.5828 5.0086 #avg: 12.1657; avg_err: 0.150538; sd: 17.3041; counts: 13214
sfh 0.55681 4.93298 18.4213 4.58637 #avg: 11.4865; avg_err: 0.142986; sd: 16.436; counts: 13214
sfh 0.561872 4.61164 17.8748 4.27374 #avg: 10.8403; avg_err: 0.134339; sd: 15.442; counts: 13214
sfh 0.566935 4.21714 17.1529 3.89687 #avg: 10.3363; avg_err: 0.128837; sd: 14.8095; counts: 13214
sfh 0.571997 3.91019 16.1974 3.60249 #avg: 9.78964; avg_err: 0.123888; sd: 14.2407; counts: 13214
