#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM   Stats: 8.208820e+12 (median) + 4.382380e+12  / - 2.004410e+12
#SM   Stats: 1.199220e+11 (median) + 8.771500e+10  / - 5.747030e+10
#VMP  Stats: 3.016800e+02 (median) + 4.524002e+01  / - 3.088000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.431073e-11 (median) + 3.335930e-11  / - 1.133882e-11
sfh 0.055623 0 0 0 #avg: 1.54155e-05; avg_err: 1.46022e-05; sd: 0.000992843; counts: 4624
sfh 0.060123 0 0 0 #avg: 0.0128627; avg_err: 0.00516286; sd: 0.351037; counts: 4624
sfh 0.062373 0 0 0 #avg: 0.0204087; avg_err: 0.00806637; sd: 0.548454; counts: 4624
sfh 0.064623 0 0 0 #avg: 0.0526406; avg_err: 0.0209131; sd: 1.42194; counts: 4624
sfh 0.066873 0 0 0 #avg: 0.0828613; avg_err: 0.031781; sd: 2.16087; counts: 4624
sfh 0.069123 0 0 0 #avg: 0.0922941; avg_err: 0.0145494; sd: 0.989254; counts: 4624
sfh 0.071373 0 1.6699e-05 0 #avg: 0.156558; avg_err: 0.0216024; sd: 1.4688; counts: 4624
sfh 0.073623 0 0.0562205 0 #avg: 0.241036; avg_err: 0.0529626; sd: 3.60107; counts: 4624
sfh 0.075873 0 0.146418 0 #avg: 0.29378; avg_err: 0.0426974; sd: 2.90311; counts: 4624
sfh 0.078123 0 0.301115 0 #avg: 0.34895; avg_err: 0.0283572; sd: 1.92808; counts: 4624
sfh 0.080373 0 0.462957 0 #avg: 0.392837; avg_err: 0.0223453; sd: 1.51932; counts: 4624
sfh 0.082623 0.0196005 0.569407 0.0196005 #avg: 0.408837; avg_err: 0.0191087; sd: 1.29925; counts: 4624
