#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 13.25 - 13.75
#HM   Stats: 2.667650e+13 (median) + 1.388230e+13  / - 6.955899e+12
#SM   Stats: 2.040560e+11 (median) + 1.618970e+11  / - 1.153695e+11
#VMP  Stats: 4.619600e+02 (median) + 6.301999e+01  / - 4.848999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.235013e-12 (median) + 2.345462e-12  / - 7.373212e-13
sfh 0.055623 0 0 0 #avg: 0.00254473; avg_err: 0.00166931; sd: 0.0486683; counts: 851
sfh 0.060123 0 0 0 #avg: 0.0925502; avg_err: 0.0455947; sd: 1.3293; counts: 851
sfh 0.062373 0 0 0 #avg: 0.22532; avg_err: 0.0924542; sd: 2.69548; counts: 851
sfh 0.064623 0 0 0 #avg: 0.273708; avg_err: 0.0622384; sd: 1.81455; counts: 851
sfh 0.066873 0 0.111419 0 #avg: 0.402563; avg_err: 0.0626436; sd: 1.82636; counts: 851
sfh 0.069123 0 0.26942 0 #avg: 0.620715; avg_err: 0.0997877; sd: 2.90929; counts: 851
sfh 0.071373 0 0.63038 0 #avg: 0.833076; avg_err: 0.0975749; sd: 2.84477; counts: 851
sfh 0.073623 0.011706 1.09784 0.011706 #avg: 1.13666; avg_err: 0.136919; sd: 3.99184; counts: 851
sfh 0.075873 0.0839218 1.58626 0.0839218 #avg: 1.4775; avg_err: 0.188395; sd: 5.49262; counts: 851
sfh 0.078123 0.171058 2.26484 0.171058 #avg: 1.91521; avg_err: 0.270608; sd: 7.88951; counts: 851
sfh 0.080373 0.292947 2.55547 0.292947 #avg: 2.02805; avg_err: 0.21812; sd: 6.35924; counts: 851
