#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.055623 2.00044 0 0 #avg: 2.00044; avg_err: 2.00044; sd: 0; counts: 1
sfh 0.060123 4.22298 0 0 #avg: 4.22298; avg_err: 4.22298; sd: 0; counts: 1
sfh 0.062373 8.30285 0 0 #avg: 8.30285; avg_err: 8.30285; sd: 0; counts: 1
sfh 0.064623 6.18194 0 0 #avg: 6.18194; avg_err: 6.18194; sd: 0; counts: 1
sfh 0.066873 4.17849 0 0 #avg: 4.17849; avg_err: 4.17849; sd: 0; counts: 1
sfh 0.069123 3.08162 0 0 #avg: 3.08162; avg_err: 3.08162; sd: 0; counts: 1
sfh 0.071373 5.34567 0 0 #avg: 5.34567; avg_err: 5.34567; sd: 0; counts: 1
sfh 0.073623 4.36128 0 0 #avg: 4.36128; avg_err: 4.36128; sd: 0; counts: 1
sfh 0.075873 3.02014 0 0 #avg: 3.02014; avg_err: 3.02014; sd: 0; counts: 1
sfh 0.078123 8.50011 0 0 #avg: 8.50011; avg_err: 8.50011; sd: 0; counts: 1
sfh 0.080373 11.3193 0 0 #avg: 11.3193; avg_err: 11.3193; sd: 0; counts: 1
sfh 0.082623 7.89637 0 0 #avg: 7.89637; avg_err: 7.89637; sd: 0; counts: 1
sfh 0.085998 36.9131 0 0 #avg: 36.9131; avg_err: 36.9131; sd: 0; counts: 1
sfh 0.089373 66.2558 0 0 #avg: 66.2558; avg_err: 66.2558; sd: 0; counts: 1
sfh 0.092748 49.3393 0 0 #avg: 49.3393; avg_err: 49.3393; sd: 0; counts: 1
sfh 0.096123 36.6323 0 0 #avg: 36.6323; avg_err: 36.6323; sd: 0; counts: 1
sfh 0.099498 22.2402 0 0 #avg: 22.2402; avg_err: 22.2402; sd: 0; counts: 1
sfh 0.102873 22.2183 0 0 #avg: 22.2183; avg_err: 22.2183; sd: 0; counts: 1
sfh 0.106248 41.346 0 0 #avg: 41.346; avg_err: 41.346; sd: 0; counts: 1
