#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM   Stats: 1.287650e+11 (median) + 5.991100e+10  / - 4.330911e+10
#SM   Stats: 9.291960e+08 (median) + 4.879140e+08  / - 2.769440e+08
#VMP  Stats: 8.798000e+01 (median) + 7.189995e+00  / - 5.790001e+00
#ICL  Stats: 6.117040e+06 (median) + 2.440406e+07  / - 6.067282e+06
#SSFR Stats: 1.431616e-10 (median) + 2.306127e-10  / - 1.409114e-10
sfh 0.055623 0 0 0 #avg: 2.43083e-06; avg_err: 2.42945e-06; sd: 0.00158209; counts: 424080
sfh 0.060123 0 0 0 #avg: 2.47826e-05; avg_err: 2.47692e-05; sd: 0.01613; counts: 424080
sfh 0.062373 0 0 0 #avg: 4.2814e-05; avg_err: 4.26007e-05; sd: 0.0277422; counts: 424080
sfh 0.064623 0 0 0 #avg: 2.10084e-05; avg_err: 1.9985e-05; sd: 0.0130145; counts: 424080
sfh 0.066873 0 0 0 #avg: 2.25387e-05; avg_err: 1.93194e-05; sd: 0.0125811; counts: 424080
sfh 0.069123 0 0 0 #avg: 5.85279e-05; avg_err: 4.34168e-05; sd: 0.0282736; counts: 424080
sfh 0.071373 0 0 0 #avg: 6.10745e-05; avg_err: 2.90686e-05; sd: 0.0189299; counts: 424080
sfh 0.073623 0 0 0 #avg: 6.40401e-05; avg_err: 2.60843e-05; sd: 0.0169864; counts: 424080
sfh 0.075873 0 0 0 #avg: 9.28757e-05; avg_err: 2.32585e-05; sd: 0.0151463; counts: 424080
sfh 0.078123 0 0 0 #avg: 0.000173402; avg_err: 4.17173e-05; sd: 0.0271668; counts: 424080
sfh 0.080373 0 0 0 #avg: 0.000277441; avg_err: 3.44858e-05; sd: 0.0224576; counts: 424080
sfh 0.082623 0 0 0 #avg: 0.000441503; avg_err: 3.89234e-05; sd: 0.0253474; counts: 424080
sfh 0.085998 0 0 0 #avg: 0.000772639; avg_err: 3.83776e-05; sd: 0.024992; counts: 424080
sfh 0.089373 0 0 0 #avg: 0.0012614; avg_err: 4.5375e-05; sd: 0.0295488; counts: 424080
sfh 0.092748 0 0 0 #avg: 0.00196033; avg_err: 4.42884e-05; sd: 0.0288412; counts: 424080
sfh 0.096123 0 0 0 #avg: 0.00281572; avg_err: 4.93605e-05; sd: 0.0321442; counts: 424080
sfh 0.099498 0 0 0 #avg: 0.00388868; avg_err: 5.28663e-05; sd: 0.0344272; counts: 424080
sfh 0.102873 0 0 0 #avg: 0.00516118; avg_err: 6.39252e-05; sd: 0.0416289; counts: 424080
sfh 0.106248 0 3.31181e-07 0 #avg: 0.00657286; avg_err: 7.02771e-05; sd: 0.0457654; counts: 424080
sfh 0.109623 0 0.00294855 0 #avg: 0.00801147; avg_err: 7.09851e-05; sd: 0.0462264; counts: 424080
sfh 0.112998 0 0.00713094 0 #avg: 0.00934049; avg_err: 7.31476e-05; sd: 0.0476347; counts: 424080
sfh 0.116373 0 0.0108312 0 #avg: 0.0103981; avg_err: 7.18052e-05; sd: 0.0467605; counts: 424080
sfh 0.119748 0 0.0139007 0 #avg: 0.0114075; avg_err: 7.45041e-05; sd: 0.0485181; counts: 424080
sfh 0.123123 0 0.0167104 0 #avg: 0.0125647; avg_err: 7.6999e-05; sd: 0.0501428; counts: 424080
sfh 0.126498 0 0.0196989 0 #avg: 0.0139212; avg_err: 7.99183e-05; sd: 0.0520439; counts: 424080
sfh 0.129873 0.000554746 0.0221374 0.000554746 #avg: 0.0154109; avg_err: 8.37751e-05; sd: 0.0545555; counts: 424080
sfh 0.133248 0.00139152 0.0247034 0.00139152 #avg: 0.0170759; avg_err: 9.12994e-05; sd: 0.0594554; counts: 424080
sfh 0.136623 0.00238607 0.0267583 0.00238607 #avg: 0.0188411; avg_err: 9.80085e-05; sd: 0.0638245; counts: 424080
sfh 0.141685 0.00382354 0.0300324 0.00382354 #avg: 0.0212998; avg_err: 0.000101966; sd: 0.0664016; counts: 424080
sfh 0.146748 0.00552443 0.0326325 0.00552443 #avg: 0.0235947; avg_err: 0.000100711; sd: 0.0655845; counts: 424080
sfh 0.15181 0.00724954 0.0349185 0.00724954 #avg: 0.0258988; avg_err: 0.000103148; sd: 0.0671713; counts: 424080
sfh 0.156873 0.00897201 0.0366603 0.00893285 #avg: 0.0280443; avg_err: 0.00010599; sd: 0.0690221; counts: 424080
sfh 0.161935 0.0104974 0.0382613 0.0101213 #avg: 0.0299176; avg_err: 0.000109247; sd: 0.0711429; counts: 424080
sfh 0.166998 0.0120648 0.0397574 0.0112268 #avg: 0.0316587; avg_err: 0.000108558; sd: 0.0706943; counts: 424080
sfh 0.17206 0.013222 0.0405881 0.0118672 #avg: 0.0330657; avg_err: 0.000120434; sd: 0.078428; counts: 424080
sfh 0.177123 0.0141973 0.0423882 0.012307 #avg: 0.034503; avg_err: 0.000112681; sd: 0.0733793; counts: 424080
sfh 0.182185 0.015331 0.0442862 0.0129543 #avg: 0.0360682; avg_err: 0.000115949; sd: 0.0755078; counts: 424080
sfh 0.187248 0.0163789 0.0454734 0.0135579 #avg: 0.0372527; avg_err: 0.000118012; sd: 0.0768509; counts: 424080
