#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM   Stats: 1.059710e+11 (median) + 5.402900e+10  / - 3.669160e+10
#SM   Stats: 9.316720e+08 (median) + 4.860680e+08  / - 2.776890e+08
#VMP  Stats: 8.958000e+01 (median) + 8.269997e+00  / - 6.169998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 8.158674e-11 (median) + 2.453916e-10  / - 8.046819e-11
sfh 0.055623 0 0 0 #avg: 6.50151e-06; avg_err: 6.49781e-06; sd: 0.00258738; counts: 158558
sfh 0.060123 0 0 0 #avg: 6.62837e-05; avg_err: 6.62477e-05; sd: 0.0263793; counts: 158558
sfh 0.062373 0 0 0 #avg: 0.000114511; avg_err: 0.00011394; sd: 0.04537; counts: 158558
sfh 0.064623 0 0 0 #avg: 5.49602e-05; avg_err: 5.34378e-05; sd: 0.0212785; counts: 158558
sfh 0.066873 0 0 0 #avg: 5.92709e-05; avg_err: 5.16619e-05; sd: 0.0205713; counts: 158558
sfh 0.069123 0 0 0 #avg: 0.000152909; avg_err: 0.000116084; sd: 0.0462237; counts: 158558
sfh 0.071373 0 0 0 #avg: 0.00015425; avg_err: 7.75483e-05; sd: 0.0308791; counts: 158558
sfh 0.073623 0 0 0 #avg: 0.000152727; avg_err: 6.95999e-05; sd: 0.0277141; counts: 158558
sfh 0.075873 0 0 0 #avg: 0.000201146; avg_err: 6.12943e-05; sd: 0.0244069; counts: 158558
sfh 0.078123 0 0 0 #avg: 0.000351248; avg_err: 0.000110139; sd: 0.0438565; counts: 158558
sfh 0.080373 0 0 0 #avg: 0.000516846; avg_err: 8.89113e-05; sd: 0.0354038; counts: 158558
sfh 0.082623 0 0 0 #avg: 0.000788654; avg_err: 9.82059e-05; sd: 0.0391048; counts: 158558
sfh 0.085998 0 0 0 #avg: 0.00135391; avg_err: 9.17896e-05; sd: 0.0365499; counts: 158558
sfh 0.089373 0 0 0 #avg: 0.00214048; avg_err: 9.85285e-05; sd: 0.0392333; counts: 158558
sfh 0.092748 0 0 0 #avg: 0.00315719; avg_err: 9.91415e-05; sd: 0.0394773; counts: 158558
sfh 0.096123 0 0 0 #avg: 0.00429323; avg_err: 0.00010565; sd: 0.0420688; counts: 158558
sfh 0.099498 0 0 0 #avg: 0.00572314; avg_err: 0.00010915; sd: 0.0434628; counts: 158558
sfh 0.102873 0 0 0 #avg: 0.00737122; avg_err: 0.000136195; sd: 0.0542317; counts: 158558
sfh 0.106248 0 0.00276067 0 #avg: 0.00917553; avg_err: 0.000151032; sd: 0.0601399; counts: 158558
sfh 0.109623 0 0.00753505 0 #avg: 0.0108137; avg_err: 0.000142323; sd: 0.056672; counts: 158558
sfh 0.112998 0 0.0123633 0 #avg: 0.0125191; avg_err: 0.000150412; sd: 0.059893; counts: 158558
sfh 0.116373 0 0.0164665 0 #avg: 0.013802; avg_err: 0.000145792; sd: 0.0580531; counts: 158558
sfh 0.119748 0 0.0197863 0 #avg: 0.0149713; avg_err: 0.000147683; sd: 0.0588064; counts: 158558
sfh 0.123123 0 0.0228243 0 #avg: 0.0164038; avg_err: 0.000151675; sd: 0.0603957; counts: 158558
sfh 0.126498 0.000572553 0.0257807 0.000572553 #avg: 0.0180473; avg_err: 0.000156564; sd: 0.0623427; counts: 158558
sfh 0.129873 0.00149385 0.0282594 0.00149385 #avg: 0.0197963; avg_err: 0.00016189; sd: 0.0644634; counts: 158558
sfh 0.133248 0.00259019 0.0311675 0.00259019 #avg: 0.0218402; avg_err: 0.000182734; sd: 0.0727634; counts: 158558
sfh 0.136623 0.00375261 0.0337051 0.00375261 #avg: 0.0240496; avg_err: 0.000197431; sd: 0.0786153; counts: 158558
