#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.75 - 9.25
#HM   Stats: 9.958820e+10 (median) + 4.717680e+10  / - 3.350000e+10
#SM   Stats: 9.233380e+08 (median) + 4.828721e+08  / - 2.717500e+08
#VMP  Stats: 8.703000e+01 (median) + 5.970001e+00  / - 4.919998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.119579e-10 (median) + 2.407455e-10  / - 1.130565e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 88582
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 88582
sfh 0.062373 0 0 0 #avg: 2.53418e-07; avg_err: 2.53418e-07; sd: 7.54238e-05; counts: 88582
sfh 0.064623 0 0 0 #avg: 2.0171e-06; avg_err: 2.0171e-06; sd: 0.000600341; counts: 88582
sfh 0.066873 0 0 0 #avg: 3.41823e-06; avg_err: 3.41823e-06; sd: 0.00101735; counts: 88582
sfh 0.069123 0 0 0 #avg: 1.74037e-05; avg_err: 1.55745e-05; sd: 0.00463538; counts: 88582
sfh 0.071373 0 0 0 #avg: 2.94957e-05; avg_err: 2.20165e-05; sd: 0.00655268; counts: 88582
sfh 0.073623 0 0 0 #avg: 4.24409e-05; avg_err: 2.22184e-05; sd: 0.00661275; counts: 88582
sfh 0.075873 0 0 0 #avg: 8.31843e-05; avg_err: 3.2568e-05; sd: 0.00969307; counts: 88582
sfh 0.078123 0 0 0 #avg: 8.21208e-05; avg_err: 2.19808e-05; sd: 0.00654205; counts: 88582
sfh 0.080373 0 0 0 #avg: 0.000141705; avg_err: 2.24325e-05; sd: 0.00667647; counts: 88582
sfh 0.082623 0 0 0 #avg: 0.000293699; avg_err: 3.5864e-05; sd: 0.010674; counts: 88582
sfh 0.085998 0 0 0 #avg: 0.000668584; avg_err: 5.23479e-05; sd: 0.0155801; counts: 88582
sfh 0.089373 0 0 0 #avg: 0.00131911; avg_err: 0.000102695; sd: 0.0305646; counts: 88582
sfh 0.092748 0 0 0 #avg: 0.00205969; avg_err: 9.57984e-05; sd: 0.028512; counts: 88582
sfh 0.096123 0 0 0 #avg: 0.00292562; avg_err: 0.000105319; sd: 0.0313457; counts: 88582
sfh 0.099498 0 0 0 #avg: 0.00406191; avg_err: 0.000113863; sd: 0.0338885; counts: 88582
sfh 0.102873 0 0 0 #avg: 0.00534577; avg_err: 0.000140739; sd: 0.0418876; counts: 88582
sfh 0.106248 0 0.000563706 0 #avg: 0.00683607; avg_err: 0.000170743; sd: 0.0508174; counts: 88582
sfh 0.109623 0 0.0036714 0 #avg: 0.00815198; avg_err: 0.000149923; sd: 0.044621; counts: 88582
sfh 0.112998 0 0.00793686 0 #avg: 0.00942385; avg_err: 0.000153418; sd: 0.045661; counts: 88582
sfh 0.116373 0 0.0117427 0 #avg: 0.0105304; avg_err: 0.000154816; sd: 0.0460773; counts: 88582
sfh 0.119748 0 0.0147484 0 #avg: 0.0114922; avg_err: 0.000153204; sd: 0.0455973; counts: 88582
sfh 0.123123 0 0.0175484 0 #avg: 0.012653; avg_err: 0.000155393; sd: 0.0462489; counts: 88582
sfh 0.126498 5.79227e-05 0.0204875 5.79227e-05 #avg: 0.014049; avg_err: 0.000163422; sd: 0.0486386; counts: 88582
sfh 0.129873 0.00072787 0.0227001 0.00072787 #avg: 0.0154217; avg_err: 0.000170639; sd: 0.0507864; counts: 88582
sfh 0.133248 0.00158869 0.0253404 0.00158869 #avg: 0.0169647; avg_err: 0.000176496; sd: 0.0525297; counts: 88582
sfh 0.136623 0.0026108 0.0274242 0.0026108 #avg: 0.0188042; avg_err: 0.000190825; sd: 0.0567943; counts: 88582
sfh 0.141685 0.00406856 0.0309205 0.00406856 #avg: 0.0212711; avg_err: 0.000203474; sd: 0.0605591; counts: 88582
sfh 0.146748 0.00576054 0.0333391 0.00576054 #avg: 0.023674; avg_err: 0.000207995; sd: 0.0619046; counts: 88582
sfh 0.15181 0.00742362 0.0356844 0.00742362 #avg: 0.0258165; avg_err: 0.000206501; sd: 0.0614599; counts: 88582
sfh 0.156873 0.00909397 0.037405 0.00909397 #avg: 0.0279213; avg_err: 0.000226062; sd: 0.0672819; counts: 88582
sfh 0.161935 0.0104867 0.0391953 0.0102175 #avg: 0.0295781; avg_err: 0.000225848; sd: 0.0672182; counts: 88582
sfh 0.166998 0.0120329 0.0403574 0.0113504 #avg: 0.0310865; avg_err: 0.000215289; sd: 0.0640755; counts: 88582
sfh 0.17206 0.0132381 0.0408347 0.0120623 #avg: 0.0322822; avg_err: 0.00022223; sd: 0.0661413; counts: 88582
sfh 0.177123 0.0142683 0.0427788 0.0126178 #avg: 0.0336192; avg_err: 0.000224832; sd: 0.0669158; counts: 88582
sfh 0.182185 0.0155534 0.0442468 0.0134479 #avg: 0.0350945; avg_err: 0.000214442; sd: 0.0638235; counts: 88582
sfh 0.187248 0.0165871 0.0459684 0.0140514 #avg: 0.0364358; avg_err: 0.000217515; sd: 0.064738; counts: 88582
sfh 0.19231 0.0177068 0.0471575 0.0147629 #avg: 0.0378131; avg_err: 0.000218551; sd: 0.0650463; counts: 88582
sfh 0.197373 0.0188008 0.0480788 0.0154586 #avg: 0.0390554; avg_err: 0.000226043; sd: 0.0672761; counts: 88582
sfh 0.202435 0.0199561 0.0484634 0.016188 #avg: 0.0399886; avg_err: 0.00022563; sd: 0.0671532; counts: 88582
sfh 0.207498 0.0211429 0.0498217 0.0168819 #avg: 0.0411874; avg_err: 0.000226407; sd: 0.0673846; counts: 88582
sfh 0.21256 0.022284 0.050761 0.0176085 #avg: 0.0426267; avg_err: 0.00023362; sd: 0.0695312; counts: 88582
sfh 0.217623 0.0234237 0.0510176 0.0182538 #avg: 0.0434608; avg_err: 0.000227187; sd: 0.0676165; counts: 88582
sfh 0.222685 0.0247165 0.0519841 0.0191217 #avg: 0.0446134; avg_err: 0.000224845; sd: 0.0669197; counts: 88582
sfh 0.227748 0.0260247 0.0526568 0.0199606 #avg: 0.0458296; avg_err: 0.000225401; sd: 0.0670851; counts: 88582
sfh 0.23281 0.0270802 0.0532166 0.0206149 #avg: 0.0472251; avg_err: 0.000231455; sd: 0.068887; counts: 88582
sfh 0.237873 0.0281591 0.053053 0.0211783 #avg: 0.0480566; avg_err: 0.000234572; sd: 0.0698148; counts: 88582
sfh 0.242935 0.0290547 0.0526586 0.0215242 #avg: 0.0484205; avg_err: 0.000228853; sd: 0.0681125; counts: 88582
sfh 0.247998 0.0303695 0.0530004 0.0221051 #avg: 0.0495754; avg_err: 0.000228467; sd: 0.0679976; counts: 88582
sfh 0.25306 0.031008 0.0527552 0.0221477 #avg: 0.0500536; avg_err: 0.000226197; sd: 0.0673221; counts: 88582
sfh 0.258123 0.0319933 0.0539258 0.0226616 #avg: 0.0512413; avg_err: 0.000231383; sd: 0.0688656; counts: 88582
sfh 0.263185 0.0329988 0.0532703 0.023084 #avg: 0.0518391; avg_err: 0.000229683; sd: 0.0683595; counts: 88582
sfh 0.268248 0.0334731 0.0536447 0.0230634 #avg: 0.0524365; avg_err: 0.000226417; sd: 0.0673874; counts: 88582
sfh 0.27331 0.0342974 0.0540116 0.0233315 #avg: 0.0533635; avg_err: 0.000227015; sd: 0.0675654; counts: 88582
sfh 0.278373 0.0349615 0.0546943 0.0234692 #avg: 0.0540879; avg_err: 0.000230637; sd: 0.0686436; counts: 88582
sfh 0.283435 0.0361834 0.0562599 0.0241354 #avg: 0.0559201; avg_err: 0.000233138; sd: 0.0693878; counts: 88582
sfh 0.288498 0.0372547 0.0563983 0.0246624 #avg: 0.0567043; avg_err: 0.000233942; sd: 0.0696272; counts: 88582
