#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 2.475000e+11 (median) + 1.610290e+11  / - 8.632400e+10
#SM   Stats: 2.885330e+09 (median) + 4.993210e+09  / - 1.497820e+09
#VMP  Stats: 1.019200e+02 (median) + 1.583000e+01  / - 9.449997e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.498395e-10 (median) + 1.990752e-10  / - 8.753565e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 276351
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 276351
sfh 0.062373 0 0 0 #avg: 1.00515e-06; avg_err: 7.30812e-07; sd: 0.000384181; counts: 276351
sfh 0.064623 0 0 0 #avg: 7.7246e-06; avg_err: 3.499e-06; sd: 0.00183939; counts: 276351
sfh 0.066873 0 0 0 #avg: 1.98103e-05; avg_err: 5.51766e-06; sd: 0.00290058; counts: 276351
sfh 0.069123 0 0 0 #avg: 5.20238e-05; avg_err: 1.11153e-05; sd: 0.00584319; counts: 276351
sfh 0.071373 0 0 0 #avg: 0.000151512; avg_err: 3.54773e-05; sd: 0.0186501; counts: 276351
sfh 0.073623 0 0 0 #avg: 0.000286445; avg_err: 6.07166e-05; sd: 0.0319181; counts: 276351
sfh 0.075873 0 0 0 #avg: 0.000487188; avg_err: 5.82593e-05; sd: 0.0306263; counts: 276351
sfh 0.078123 0 0 0 #avg: 0.000710249; avg_err: 4.56083e-05; sd: 0.0239758; counts: 276351
sfh 0.080373 0 0 0 #avg: 0.00122296; avg_err: 7.59828e-05; sd: 0.0399434; counts: 276351
sfh 0.082623 0 0 0 #avg: 0.00176823; avg_err: 0.000101509; sd: 0.053362; counts: 276351
sfh 0.085998 0 0 0 #avg: 0.00306992; avg_err: 0.000112693; sd: 0.0592414; counts: 276351
sfh 0.089373 0 0 0 #avg: 0.00477643; avg_err: 0.000137563; sd: 0.0723158; counts: 276351
sfh 0.092748 0 0 0 #avg: 0.00655431; avg_err: 0.00012812; sd: 0.0673512; counts: 276351
sfh 0.096123 0 0 0 #avg: 0.00880383; avg_err: 0.000134265; sd: 0.0705817; counts: 276351
sfh 0.099498 0 0.000248307 0 #avg: 0.0113105; avg_err: 0.000151276; sd: 0.0795245; counts: 276351
sfh 0.102873 0 0.00572189 0 #avg: 0.0142274; avg_err: 0.000161151; sd: 0.0847153; counts: 276351
sfh 0.106248 0 0.0135999 0 #avg: 0.0171241; avg_err: 0.000168387; sd: 0.0885195; counts: 276351
sfh 0.109623 0 0.0217474 0 #avg: 0.0200727; avg_err: 0.000173992; sd: 0.091466; counts: 276351
sfh 0.112998 0 0.0286816 0 #avg: 0.0226653; avg_err: 0.000173974; sd: 0.0914564; counts: 276351
sfh 0.116373 0 0.0338758 0 #avg: 0.0247848; avg_err: 0.00018286; sd: 0.0961276; counts: 276351
sfh 0.119748 0.000832073 0.0376177 0.000832073 #avg: 0.0271144; avg_err: 0.000194378; sd: 0.102183; counts: 276351
sfh 0.123123 0.0023108 0.0408036 0.0023108 #avg: 0.0294436; avg_err: 0.000199435; sd: 0.104841; counts: 276351
sfh 0.126498 0.00391578 0.0446915 0.00391578 #avg: 0.0323013; avg_err: 0.000200406; sd: 0.105351; counts: 276351
sfh 0.129873 0.00564475 0.0482705 0.00564475 #avg: 0.0353587; avg_err: 0.000212287; sd: 0.111597; counts: 276351
sfh 0.133248 0.00756425 0.0521974 0.00756425 #avg: 0.0384; avg_err: 0.000222921; sd: 0.117187; counts: 276351
sfh 0.136623 0.00954098 0.0559497 0.00954098 #avg: 0.0416062; avg_err: 0.000243213; sd: 0.127855; counts: 276351
sfh 0.141685 0.012528 0.0613086 0.012528 #avg: 0.0466659; avg_err: 0.000244909; sd: 0.128746; counts: 276351
sfh 0.146748 0.015686 0.0668996 0.0153284 #avg: 0.0519359; avg_err: 0.000253825; sd: 0.133433; counts: 276351
sfh 0.15181 0.0186842 0.0723139 0.017613 #avg: 0.0569229; avg_err: 0.000263391; sd: 0.138462; counts: 276351
sfh 0.156873 0.0216046 0.0771566 0.0196517 #avg: 0.061707; avg_err: 0.000276004; sd: 0.145092; counts: 276351
sfh 0.161935 0.0241659 0.0820681 0.0211739 #avg: 0.0661228; avg_err: 0.000285759; sd: 0.150221; counts: 276351
sfh 0.166998 0.0271959 0.0858451 0.0231052 #avg: 0.0705005; avg_err: 0.000297586; sd: 0.156438; counts: 276351
sfh 0.17206 0.0294075 0.0895315 0.0243065 #avg: 0.0739275; avg_err: 0.000302997; sd: 0.159282; counts: 276351
sfh 0.177123 0.0317345 0.0945985 0.02582 #avg: 0.0782738; avg_err: 0.000323219; sd: 0.169913; counts: 276351
sfh 0.182185 0.0344428 0.100306 0.0276774 #avg: 0.0830035; avg_err: 0.000328854; sd: 0.172875; counts: 276351
sfh 0.187248 0.0366335 0.104544 0.029094 #avg: 0.0866605; avg_err: 0.000332145; sd: 0.174605; counts: 276351
sfh 0.19231 0.0391863 0.109452 0.0307942 #avg: 0.0908379; avg_err: 0.000343222; sd: 0.180428; counts: 276351
sfh 0.197373 0.0416112 0.113246 0.0323745 #avg: 0.0955099; avg_err: 0.000354787; sd: 0.186508; counts: 276351
sfh 0.202435 0.0441809 0.117406 0.034055 #avg: 0.0993773; avg_err: 0.000360316; sd: 0.189414; counts: 276351
sfh 0.207498 0.046725 0.120901 0.0356714 #avg: 0.103379; avg_err: 0.000375945; sd: 0.19763; counts: 276351
sfh 0.21256 0.0492697 0.124248 0.0372922 #avg: 0.107119; avg_err: 0.000381773; sd: 0.200694; counts: 276351
sfh 0.217623 0.0518076 0.127913 0.0388582 #avg: 0.110929; avg_err: 0.000398191; sd: 0.209325; counts: 276351
sfh 0.222685 0.0541425 0.1317 0.0402156 #avg: 0.11484; avg_err: 0.000406327; sd: 0.213602; counts: 276351
sfh 0.227748 0.0566533 0.136449 0.041739 #avg: 0.119043; avg_err: 0.000413205; sd: 0.217218; counts: 276351
sfh 0.23281 0.0592664 0.141285 0.0433344 #avg: 0.123383; avg_err: 0.000425911; sd: 0.223897; counts: 276351
sfh 0.237873 0.0616106 0.145205 0.0446348 #avg: 0.127506; avg_err: 0.000432008; sd: 0.227103; counts: 276351
sfh 0.242935 0.063688 0.14886 0.0458044 #avg: 0.131526; avg_err: 0.00045037; sd: 0.236755; counts: 276351
sfh 0.247998 0.0665586 0.154129 0.0474042 #avg: 0.136451; avg_err: 0.000464388; sd: 0.244124; counts: 276351
sfh 0.25306 0.068534 0.157832 0.0484438 #avg: 0.140353; avg_err: 0.000481758; sd: 0.253255; counts: 276351
sfh 0.258123 0.0712792 0.164176 0.050212 #avg: 0.145102; avg_err: 0.000485393; sd: 0.255167; counts: 276351
sfh 0.263185 0.0731914 0.16699 0.0510358 #avg: 0.148737; avg_err: 0.000495745; sd: 0.260608; counts: 276351
sfh 0.268248 0.0751721 0.173256 0.0522234 #avg: 0.153247; avg_err: 0.000509224; sd: 0.267694; counts: 276351
sfh 0.27331 0.0777859 0.178002 0.0538174 #avg: 0.157677; avg_err: 0.000511666; sd: 0.268978; counts: 276351
sfh 0.278373 0.0800441 0.18363 0.0551014 #avg: 0.162527; avg_err: 0.000525318; sd: 0.276155; counts: 276351
sfh 0.283435 0.0841099 0.190418 0.0579623 #avg: 0.168592; avg_err: 0.000539646; sd: 0.283686; counts: 276351
sfh 0.288498 0.0867412 0.196335 0.059605 #avg: 0.173833; avg_err: 0.000557799; sd: 0.293229; counts: 276351
sfh 0.29356 0.0894452 0.200837 0.0611171 #avg: 0.178751; avg_err: 0.000571057; sd: 0.300199; counts: 276351
sfh 0.298623 0.0921181 0.20702 0.0626453 #avg: 0.183862; avg_err: 0.000588978; sd: 0.30962; counts: 276351
sfh 0.303685 0.0949524 0.212575 0.0644228 #avg: 0.188561; avg_err: 0.000597583; sd: 0.314143; counts: 276351
sfh 0.308748 0.0978905 0.218368 0.0663064 #avg: 0.194342; avg_err: 0.00062259; sd: 0.327289; counts: 276351
sfh 0.31381 0.100722 0.224549 0.0680295 #avg: 0.199861; avg_err: 0.000639249; sd: 0.336047; counts: 276351
sfh 0.318873 0.103462 0.231612 0.0696776 #avg: 0.205497; avg_err: 0.000655112; sd: 0.344386; counts: 276351
sfh 0.323935 0.106543 0.239389 0.0717011 #avg: 0.211406; avg_err: 0.00067347; sd: 0.354036; counts: 276351
sfh 0.328997 0.109477 0.246177 0.0735376 #avg: 0.217342; avg_err: 0.000692539; sd: 0.364061; counts: 276351
sfh 0.33406 0.112424 0.252071 0.0752932 #avg: 0.223464; avg_err: 0.000716534; sd: 0.376675; counts: 276351
sfh 0.339122 0.115175 0.258776 0.0768428 #avg: 0.229255; avg_err: 0.00074187; sd: 0.389994; counts: 276351
sfh 0.344185 0.118517 0.265081 0.0788418 #avg: 0.234813; avg_err: 0.000753084; sd: 0.395889; counts: 276351
sfh 0.349247 0.122027 0.271676 0.0810868 #avg: 0.241127; avg_err: 0.000770176; sd: 0.404874; counts: 276351
sfh 0.35431 0.126294 0.278627 0.0837762 #avg: 0.248072; avg_err: 0.000787814; sd: 0.414146; counts: 276351
sfh 0.359372 0.129787 0.286281 0.0858641 #avg: 0.255573; avg_err: 0.000813664; sd: 0.427735; counts: 276351
sfh 0.364435 0.133427 0.293451 0.0883234 #avg: 0.263092; avg_err: 0.000843931; sd: 0.443646; counts: 276351
sfh 0.369497 0.137397 0.300025 0.0909907 #avg: 0.270882; avg_err: 0.000870673; sd: 0.457704; counts: 276351
sfh 0.37456 0.141039 0.309882 0.0934582 #avg: 0.279244; avg_err: 0.000897742; sd: 0.471934; counts: 276351
sfh 0.379622 0.144161 0.319094 0.0951381 #avg: 0.286474; avg_err: 0.000926256; sd: 0.486924; counts: 276351
sfh 0.384685 0.147088 0.326753 0.0966486 #avg: 0.293648; avg_err: 0.000961119; sd: 0.505251; counts: 276351
sfh 0.389747 0.150761 0.33367 0.0987994 #avg: 0.301503; avg_err: 0.000998436; sd: 0.524868; counts: 276351
sfh 0.39481 0.154808 0.343535 0.101276 #avg: 0.3102; avg_err: 0.00106946; sd: 0.562205; counts: 276351
sfh 0.399872 0.159644 0.352023 0.104627 #avg: 0.319297; avg_err: 0.00110131; sd: 0.578949; counts: 276351
sfh 0.404935 0.163133 0.361808 0.106628 #avg: 0.328837; avg_err: 0.0011727; sd: 0.616476; counts: 276351
