#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.916180e+11 (median) + 1.536760e+11  / - 8.451500e+10
#SM   Stats: 1.938700e+09 (median) + 3.674480e+09  / - 1.142823e+09
#VMP  Stats: 1.037400e+02 (median) + 1.601000e+01  / - 1.068999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.696412e-12 (median) + 2.957278e-12  / - 1.081177e-12
sfh 0.055623 0 0 0 #avg: 3.72272e-09; avg_err: 2.99134e-09; sd: 1.3522e-06; counts: 204339
sfh 0.060123 0 0 0 #avg: 1.75363e-07; avg_err: 1.38474e-07; sd: 6.25955e-05; counts: 204339
sfh 0.062373 0 0 0 #avg: 6.68749e-06; avg_err: 5.22681e-06; sd: 0.00236271; counts: 204339
sfh 0.064623 0 0 0 #avg: 2.48811e-05; avg_err: 1.54911e-05; sd: 0.00700258; counts: 204339
sfh 0.066873 0 0 0 #avg: 6.19111e-05; avg_err: 1.85649e-05; sd: 0.00839204; counts: 204339
sfh 0.069123 0 0 0 #avg: 0.000146077; avg_err: 3.57231e-05; sd: 0.0161482; counts: 204339
sfh 0.071373 0 0 0 #avg: 0.000283882; avg_err: 5.14665e-05; sd: 0.0232648; counts: 204339
sfh 0.073623 0 0 0 #avg: 0.000458738; avg_err: 5.81524e-05; sd: 0.0262871; counts: 204339
sfh 0.075873 0 0 0 #avg: 0.000781011; avg_err: 7.30485e-05; sd: 0.0330207; counts: 204339
sfh 0.078123 0 0 0 #avg: 0.00129196; avg_err: 9.87986e-05; sd: 0.0446607; counts: 204339
sfh 0.080373 0 0 0 #avg: 0.00211955; avg_err: 0.000142818; sd: 0.0645592; counts: 204339
sfh 0.082623 0 0 0 #avg: 0.00291181; avg_err: 0.000152162; sd: 0.0687827; counts: 204339
sfh 0.085998 0 0 0 #avg: 0.00489531; avg_err: 0.000229381; sd: 0.103689; counts: 204339
sfh 0.089373 0 0 0 #avg: 0.00681349; avg_err: 0.00017652; sd: 0.0797937; counts: 204339
sfh 0.092748 0 0 0 #avg: 0.00934575; avg_err: 0.000194235; sd: 0.0878013; counts: 204339
sfh 0.096123 0 0 0 #avg: 0.0121021; avg_err: 0.000206178; sd: 0.0932004; counts: 204339
sfh 0.099498 0 0.00327305 0 #avg: 0.0153301; avg_err: 0.000213785; sd: 0.0966391; counts: 204339
sfh 0.102873 0 0.0109871 0 #avg: 0.0187405; avg_err: 0.000263221; sd: 0.118986; counts: 204339
sfh 0.106248 0 0.0201008 0 #avg: 0.0219896; avg_err: 0.000261459; sd: 0.118189; counts: 204339
sfh 0.109623 0 0.0290991 0 #avg: 0.0257502; avg_err: 0.000286869; sd: 0.129676; counts: 204339
sfh 0.112998 0 0.0366672 0 #avg: 0.0289798; avg_err: 0.000322808; sd: 0.145921; counts: 204339
sfh 0.116373 0.000108877 0.0422281 0.000108877 #avg: 0.0318001; avg_err: 0.000329572; sd: 0.148979; counts: 204339
sfh 0.119748 0.00160957 0.0459801 0.00160957 #avg: 0.0350504; avg_err: 0.000440131; sd: 0.198956; counts: 204339
sfh 0.123123 0.00336077 0.0494231 0.00336077 #avg: 0.0379964; avg_err: 0.000482042; sd: 0.217901; counts: 204339
sfh 0.126498 0.00508789 0.0536199 0.00508789 #avg: 0.0415818; avg_err: 0.000570651; sd: 0.257956; counts: 204339
