#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.580880e+11 (median) + 1.176470e+11  / - 6.533801e+10
#SM   Stats: 1.700150e+09 (median) + 3.281910e+09  / - 1.001086e+09
#VMP  Stats: 1.031800e+02 (median) + 1.603000e+01  / - 1.032000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.498539e-12 (median) + 2.663809e-12  / - 9.574730e-13
sfh 0.055623 0 0 0 #avg: 6.16458e-09; avg_err: 4.95346e-09; sd: 1.74005e-06; counts: 123398
sfh 0.060123 0 0 0 #avg: 2.90389e-07; avg_err: 2.29304e-07; sd: 8.05497e-05; counts: 123398
sfh 0.062373 0 0 0 #avg: 1.10028e-05; avg_err: 8.65495e-06; sd: 0.0030403; counts: 123398
sfh 0.064623 0 0 0 #avg: 3.91377e-05; avg_err: 2.56235e-05; sd: 0.00900099; counts: 123398
sfh 0.066873 0 0 0 #avg: 8.94414e-05; avg_err: 3.01076e-05; sd: 0.0105762; counts: 123398
sfh 0.069123 0 0 0 #avg: 0.000200582; avg_err: 5.70984e-05; sd: 0.0200575; counts: 123398
sfh 0.071373 0 0 0 #avg: 0.000349498; avg_err: 7.54724e-05; sd: 0.0265119; counts: 123398
sfh 0.073623 0 0 0 #avg: 0.000511758; avg_err: 6.75994e-05; sd: 0.0237463; counts: 123398
sfh 0.075873 0 0 0 #avg: 0.000933824; avg_err: 0.0001055; sd: 0.0370601; counts: 123398
sfh 0.078123 0 0 0 #avg: 0.00158732; avg_err: 0.000146174; sd: 0.0513479; counts: 123398
sfh 0.080373 0 0 0 #avg: 0.00263904; avg_err: 0.000216604; sd: 0.0760884; counts: 123398
sfh 0.082623 0 0 0 #avg: 0.00346703; avg_err: 0.00022631; sd: 0.079498; counts: 123398
sfh 0.085998 0 0 0 #avg: 0.00570813; avg_err: 0.000334985; sd: 0.117673; counts: 123398
sfh 0.089373 0 0 0 #avg: 0.00786099; avg_err: 0.000253125; sd: 0.0889175; counts: 123398
sfh 0.092748 0 0 0 #avg: 0.0105576; avg_err: 0.000282881; sd: 0.0993703; counts: 123398
sfh 0.096123 0 0 0 #avg: 0.0134583; avg_err: 0.000295541; sd: 0.103817; counts: 123398
