#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM   Stats: 9.589710e+12 (median) + 6.116190e+12  / - 3.310300e+12
#SM   Stats: 1.402490e+11 (median) + 1.186750e+11  / - 7.743671e+10
#VMP  Stats: 3.244000e+02 (median) + 5.119000e+01  / - 3.138000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.824751e-12 (median) + 3.275507e-12  / - 1.207602e-12
sfh 0.055623 0 0 0 #avg: 0.00161967; avg_err: 0.000626362; sd: 0.0691159; counts: 12177
sfh 0.060123 0 0 0 #avg: 0.015304; avg_err: 0.00320011; sd: 0.353116; counts: 12177
sfh 0.062373 0 0 0 #avg: 0.0414512; avg_err: 0.00703341; sd: 0.776101; counts: 12177
sfh 0.064623 0 0 0 #avg: 0.0842166; avg_err: 0.0121349; sd: 1.33902; counts: 12177
sfh 0.066873 0 0 0 #avg: 0.126538; avg_err: 0.0152108; sd: 1.67843; counts: 12177
sfh 0.069123 0 0 0 #avg: 0.179395; avg_err: 0.0157424; sd: 1.73709; counts: 12177
sfh 0.071373 0 0.0428606 0 #avg: 0.23349; avg_err: 0.0160144; sd: 1.76711; counts: 12177
sfh 0.073623 0 0.140949 0 #avg: 0.327779; avg_err: 0.0243158; sd: 2.68312; counts: 12177
sfh 0.075873 0 0.313865 0 #avg: 0.434755; avg_err: 0.0243054; sd: 2.68198; counts: 12177
sfh 0.078123 0.00222471 0.539025 0.00222471 #avg: 0.547045; avg_err: 0.0253562; sd: 2.79793; counts: 12177
sfh 0.080373 0.0298317 0.751015 0.0298317 #avg: 0.668321; avg_err: 0.0383562; sd: 4.23241; counts: 12177
