#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM   Stats: 9.623530e+12 (median) + 6.155871e+12  / - 3.342650e+12
#SM   Stats: 1.411680e+11 (median) + 1.242210e+11  / - 7.829590e+10
#VMP  Stats: 3.248000e+02 (median) + 5.129001e+01  / - 3.175000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.869723e-12 (median) + 3.838476e-12  / - 1.245207e-12
sfh 0.055623 0 0 0 #avg: 0.00159256; avg_err: 0.000613689; sd: 0.0684146; counts: 12429
sfh 0.060123 0 0 0 #avg: 0.0162666; avg_err: 0.00321597; sd: 0.35852; counts: 12429
sfh 0.062373 0 0 0 #avg: 0.0419096; avg_err: 0.00691806; sd: 0.771232; counts: 12429
sfh 0.064623 0 0 0 #avg: 0.0887848; avg_err: 0.0125671; sd: 1.40099; counts: 12429
sfh 0.066873 0 0 0 #avg: 0.128968; avg_err: 0.0150117; sd: 1.67352; counts: 12429
sfh 0.069123 0 0 0 #avg: 0.179936; avg_err: 0.0154674; sd: 1.72432; counts: 12429
sfh 0.071373 0 0.0455874 0 #avg: 0.238959; avg_err: 0.0161546; sd: 1.80093; counts: 12429
sfh 0.073623 0 0.145445 0 #avg: 0.334956; avg_err: 0.0243329; sd: 2.71266; counts: 12429
sfh 0.075873 0 0.321265 0 #avg: 0.442547; avg_err: 0.024378; sd: 2.71768; counts: 12429
sfh 0.078123 0.00260355 0.552825 0.00260355 #avg: 0.553902; avg_err: 0.0250385; sd: 2.79132; counts: 12429
sfh 0.080373 0.0306718 0.767206 0.0306718 #avg: 0.672608; avg_err: 0.0375389; sd: 4.18488; counts: 12429
sfh 0.082623 0.0735964 0.838096 0.0735964 #avg: 0.673625; avg_err: 0.0248884; sd: 2.77459; counts: 12429
sfh 0.085998 0.174479 1.17321 0.174479 #avg: 1.00248; avg_err: 0.0416624; sd: 4.64456; counts: 12429
sfh 0.089373 0.304515 1.38147 0.295807 #avg: 1.22569; avg_err: 0.0437907; sd: 4.88183; counts: 12429
sfh 0.092748 0.432706 1.65352 0.395541 #avg: 1.52765; avg_err: 0.0533959; sd: 5.95262; counts: 12429
sfh 0.096123 0.571994 1.99679 0.494097 #avg: 1.87451; avg_err: 0.0663709; sd: 7.39909; counts: 12429
sfh 0.099498 0.714658 2.21081 0.589512 #avg: 2.2249; avg_err: 0.0682308; sd: 7.60643; counts: 12429
