#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM   Stats: 7.641180e+12 (median) + 5.104420e+12  / - 2.825000e+12
#SM   Stats: 1.131880e+11 (median) + 1.051190e+11  / - 6.649480e+10
#VMP  Stats: 3.207600e+02 (median) + 4.917999e+01  / - 2.899002e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.261937e-12 (median) + 2.013149e-12  / - 8.076513e-13
sfh 0.055623 0 0 0 #avg: 0.00328958; avg_err: 0.00177293; sd: 0.109492; counts: 3815
sfh 0.060123 0 0 0 #avg: 0.0249758; avg_err: 0.00788753; sd: 0.487115; counts: 3815
sfh 0.062373 0 0 0 #avg: 0.0670544; avg_err: 0.0188191; sd: 1.16222; counts: 3815
sfh 0.064623 0 0 0 #avg: 0.103894; avg_err: 0.0250964; sd: 1.54989; counts: 3815
sfh 0.066873 0 0 0 #avg: 0.147837; avg_err: 0.0318506; sd: 1.96702; counts: 3815
sfh 0.069123 0 0 0 #avg: 0.185962; avg_err: 0.0254973; sd: 1.57465; counts: 3815
sfh 0.071373 0 0.0319217 0 #avg: 0.230374; avg_err: 0.0234931; sd: 1.45088; counts: 3815
sfh 0.073623 0 0.117855 0 #avg: 0.328658; avg_err: 0.0281659; sd: 1.73946; counts: 3815
sfh 0.075873 0 0.288695 0 #avg: 0.484306; avg_err: 0.0494883; sd: 3.05628; counts: 3815
sfh 0.078123 0 0.510844 0 #avg: 0.578405; avg_err: 0.0495704; sd: 3.06135; counts: 3815
sfh 0.080373 0.014674 0.718911 0.014674 #avg: 0.634811; avg_err: 0.040857; sd: 2.52323; counts: 3815
sfh 0.082623 0.0455304 0.776214 0.0455304 #avg: 0.637609; avg_err: 0.0377426; sd: 2.33089; counts: 3815
