#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.78333 - 2.95
#HM   Stats: 9.241180e+13 (median) + 4.969120e+13  / - 3.120590e+13
#SM   Stats: 3.145820e+11 (median) + 2.681180e+11  / - 1.814430e+11
#VMP  Stats: 6.756600e+02 (median) + 9.387006e+01  / - 5.164996e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.224409e-12 (median) + 2.510728e-12  / - 7.450134e-13
sfh 0.055623 0 0 0 #avg: 0.0290566; avg_err: 0.0210328; sd: 0.280613; counts: 179
sfh 0.060123 0 0 0 #avg: 0.244077; avg_err: 0.123954; sd: 1.65376; counts: 179
sfh 0.062373 0 0.153919 0 #avg: 0.48169; avg_err: 0.176835; sd: 2.35927; counts: 179
sfh 0.064623 0 0.681919 0 #avg: 0.877738; avg_err: 0.297535; sd: 3.96962; counts: 179
sfh 0.066873 0 1.59594 0 #avg: 1.33729; avg_err: 0.402937; sd: 5.37586; counts: 179
sfh 0.069123 0.0545106 2.66073 0.0545106 #avg: 1.69868; avg_err: 0.346873; sd: 4.62786; counts: 179
sfh 0.071373 0.154563 4.71719 0.154563 #avg: 2.81631; avg_err: 0.866309; sd: 11.558; counts: 179
sfh 0.073623 0.41056 4.2334 0.41056 #avg: 4.58934; avg_err: 2.15081; sd: 28.6954; counts: 179
sfh 0.075873 0.718751 5.78718 0.718751 #avg: 4.19077; avg_err: 1.23088; sd: 16.422; counts: 179
sfh 0.078123 1.19061 6.71541 1.12671 #avg: 4.62792; avg_err: 0.86709; sd: 11.5684; counts: 179
sfh 0.080373 1.80589 6.9892 1.67863 #avg: 7.08473; avg_err: 1.40934; sd: 18.8029; counts: 179
sfh 0.082623 1.97097 7.38114 1.75615 #avg: 7.28483; avg_err: 1.40556; sd: 18.7526; counts: 179
sfh 0.085998 2.73806 11.9057 2.18448 #avg: 11.5141; avg_err: 2.29972; sd: 30.682; counts: 179
sfh 0.089373 3.50874 11.8297 2.7871 #avg: 12.3678; avg_err: 2.03517; sd: 27.1525; counts: 179
sfh 0.092748 4.38511 15.8703 3.54992 #avg: 14.7885; avg_err: 2.81238; sd: 37.5218; counts: 179
sfh 0.096123 6.24227 17.0977 5.29196 #avg: 17.0512; avg_err: 2.85867; sd: 38.1395; counts: 179
sfh 0.099498 6.90692 23.3567 5.50089 #avg: 19.5347; avg_err: 2.80027; sd: 37.3602; counts: 179
sfh 0.102873 7.98704 25.6326 6.31174 #avg: 25.2876; avg_err: 3.92099; sd: 52.3126; counts: 179
sfh 0.106248 10.4785 35.1525 8.52328 #avg: 30.0508; avg_err: 4.16914; sd: 55.6233; counts: 179
sfh 0.109623 11.9257 41.3734 9.35005 #avg: 33.7746; avg_err: 4.85044; sd: 64.713; counts: 179
sfh 0.112998 14.5647 40.1875 11.6165 #avg: 37.6959; avg_err: 4.98627; sd: 66.5251; counts: 179
sfh 0.116373 16.3205 59.6252 12.9527 #avg: 45.328; avg_err: 6.10093; sd: 81.3966; counts: 179
sfh 0.119748 19.6999 50.9372 15.9523 #avg: 48.8617; avg_err: 6.46365; sd: 86.2359; counts: 179
sfh 0.123123 22.4009 70.7526 16.4915 #avg: 53.938; avg_err: 6.72161; sd: 89.6774; counts: 179
sfh 0.126498 27.0049 80.6751 21.0206 #avg: 59.5821; avg_err: 7.54878; sd: 100.713; counts: 179
sfh 0.129873 27.1873 86.0817 20.5449 #avg: 67.3237; avg_err: 8.34503; sd: 111.337; counts: 179
sfh 0.133248 34.7479 97.3631 27.1342 #avg: 76.1686; avg_err: 8.87093; sd: 118.353; counts: 179
sfh 0.136623 37.0119 125.099 27.4378 #avg: 90.761; avg_err: 11.1653; sd: 148.964; counts: 179
sfh 0.141685 44.2294 126.567 33.549 #avg: 105.439; avg_err: 13.2731; sd: 177.086; counts: 179
sfh 0.146748 46.6854 122.7 35.6185 #avg: 118.254; avg_err: 16.5746; sd: 221.132; counts: 179
sfh 0.15181 50.2411 144.002 36.3821 #avg: 115.122; avg_err: 12.7482; sd: 170.082; counts: 179
sfh 0.156873 58.0222 163.089 41.9947 #avg: 113.211; avg_err: 10.5566; sd: 140.842; counts: 179
sfh 0.161935 76.3135 171.086 59.6753 #avg: 136.206; avg_err: 13.4504; sd: 179.451; counts: 179
sfh 0.166998 83.861 187.669 65.2161 #avg: 146.068; avg_err: 12.9471; sd: 172.736; counts: 179
sfh 0.17206 100.871 206.745 77.3193 #avg: 167.646; avg_err: 14.5463; sd: 194.071; counts: 179
sfh 0.177123 103.964 231.381 78.3038 #avg: 183.764; avg_err: 15.7016; sd: 209.486; counts: 179
sfh 0.182185 116.489 264.209 87.1391 #avg: 199.074; avg_err: 15.9357; sd: 212.608; counts: 179
sfh 0.187248 134.227 220.951 105.368 #avg: 203.539; avg_err: 16.3957; sd: 218.746; counts: 179
sfh 0.19231 138.756 250.574 101.873 #avg: 213.659; avg_err: 17.1322; sd: 228.572; counts: 179
sfh 0.197373 148.259 310.935 118.466 #avg: 221.46; avg_err: 17.2373; sd: 229.975; counts: 179
sfh 0.202435 148.241 305.796 120.029 #avg: 223.7; avg_err: 17.2921; sd: 230.705; counts: 179
sfh 0.207498 147.267 276.687 119.317 #avg: 242.636; avg_err: 20.2185; sd: 269.748; counts: 179
sfh 0.21256 168.353 306.388 138.069 #avg: 254.762; avg_err: 20.9298; sd: 279.238; counts: 179
sfh 0.217623 184.382 327.929 160.44 #avg: 282.565; avg_err: 25.1065; sd: 334.962; counts: 179
sfh 0.222685 214.694 306.398 188.83 #avg: 274.433; avg_err: 21.35; sd: 284.844; counts: 179
sfh 0.227748 189.557 343.047 161.043 #avg: 276.873; avg_err: 20.9671; sd: 279.735; counts: 179
sfh 0.23281 200.393 405.846 168.068 #avg: 294.887; avg_err: 22.7333; sd: 303.3; counts: 179
sfh 0.237873 197.07 356.101 170.129 #avg: 297.886; avg_err: 23.9291; sd: 319.254; counts: 179
sfh 0.242935 215.107 268.312 182.531 #avg: 292.906; avg_err: 22.5675; sd: 301.088; counts: 179
sfh 0.247998 205.067 282.376 162.757 #avg: 287.112; avg_err: 21.6682; sd: 289.09; counts: 179
sfh 0.25306 208.214 305.408 170.16 #avg: 280.501; avg_err: 19.8596; sd: 264.96; counts: 179
sfh 0.258123 201.511 315.987 171.944 #avg: 270.989; avg_err: 19.6038; sd: 261.548; counts: 179
sfh 0.263185 199.325 295.479 175.434 #avg: 267.372; avg_err: 19.0588; sd: 254.277; counts: 179
sfh 0.268248 194.541 276.175 171.682 #avg: 259.795; avg_err: 18.7833; sd: 250.6; counts: 179
sfh 0.27331 187.619 289.268 170.362 #avg: 260.126; avg_err: 18.1751; sd: 242.486; counts: 179
