#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM   Stats: 3.491180e+14 (median) + 2.047060e+14  / - 9.220600e+13
#SM   Stats: 8.850120e+11 (median) + 4.227081e+11  / - 3.418250e+11
#VMP  Stats: 9.837400e+02 (median) + 1.830400e+02  / - 7.002997e+01
#ICL  Stats: 6.374850e+11 (median) + 5.246850e+11  / - 3.777940e+11
#SSFR Stats: 1.843849e-12 (median) + 3.842520e-12  / - 1.102766e-12
sfh 0.055623 0 0 0 #avg: 0.0349092; avg_err: 0.0220198; sd: 0.305115; counts: 193
sfh 0.060123 0 0.170241 0 #avg: 0.808801; avg_err: 0.305818; sd: 4.23754; counts: 193
sfh 0.062373 0 0.969722 0 #avg: 2.05143; avg_err: 0.65374; sd: 9.05849; counts: 193
sfh 0.064623 0.070045 3.01494 0.070045 #avg: 1.96985; avg_err: 0.424506; sd: 5.88212; counts: 193
sfh 0.066873 0.273187 4.79431 0.273187 #avg: 2.972; avg_err: 0.515333; sd: 7.14067; counts: 193
sfh 0.069123 0.570914 6.58117 0.570914 #avg: 4.43326; avg_err: 0.741421; sd: 10.2734; counts: 193
sfh 0.071373 1.16473 8.98447 1.09793 #avg: 5.59179; avg_err: 0.837477; sd: 11.6044; counts: 193
sfh 0.073623 2.21685 9.14005 2.00282 #avg: 8.29881; avg_err: 1.53299; sd: 21.2417; counts: 193
sfh 0.075873 3.81058 11.7659 3.25508 #avg: 10.3245; avg_err: 1.59053; sd: 22.039; counts: 193
sfh 0.078123 5.55685 13.6964 4.37731 #avg: 12.0737; avg_err: 1.40923; sd: 19.5268; counts: 193
sfh 0.080373 6.40079 17.032 4.3103 #avg: 13.4249; avg_err: 1.38555; sd: 19.1987; counts: 193
sfh 0.082623 7.0453 16.5486 4.68009 #avg: 14.1031; avg_err: 1.42957; sd: 19.8087; counts: 193
sfh 0.085998 10.9848 22.0625 7.19316 #avg: 19.6929; avg_err: 2.2958; sd: 31.8115; counts: 193
sfh 0.089373 14.025 24.8535 9.09592 #avg: 28.7104; avg_err: 6.72519; sd: 93.187; counts: 193
sfh 0.092748 17.816 30.7019 11.4066 #avg: 33.7324; avg_err: 5.2215; sd: 72.3513; counts: 193
sfh 0.096123 22.4733 39.7625 14.456 #avg: 38.8354; avg_err: 3.66896; sd: 50.8386; counts: 193
sfh 0.099498 27.7882 50.5007 18.4117 #avg: 56.2166; avg_err: 7.85796; sd: 108.883; counts: 193
sfh 0.102873 34.723 72.79 22.9292 #avg: 66.8751; avg_err: 8.17214; sd: 113.237; counts: 193
sfh 0.106248 39.9412 78.6178 23.9295 #avg: 76.9621; avg_err: 9.48219; sd: 131.389; counts: 193
sfh 0.109623 44.3105 84.1335 25.3495 #avg: 84.7732; avg_err: 9.7911; sd: 135.669; counts: 193
sfh 0.112998 52.5827 104.497 32.4374 #avg: 107.581; avg_err: 11.9888; sd: 166.122; counts: 193
sfh 0.116373 60.2922 126.772 37.8617 #avg: 131.555; avg_err: 16.3563; sd: 226.639; counts: 193
sfh 0.119748 71.2309 150.369 47.4034 #avg: 142.433; avg_err: 14.9811; sd: 207.584; counts: 193
sfh 0.123123 88.879 164.787 60.6966 #avg: 159.85; avg_err: 16.753; sd: 232.136; counts: 193
sfh 0.126498 108.568 183.648 74.6009 #avg: 170.536; avg_err: 14.5503; sd: 201.614; counts: 193
sfh 0.129873 130.959 207.592 98.9643 #avg: 195.679; avg_err: 17.3598; sd: 240.544; counts: 193
sfh 0.133248 150.691 249.04 112.357 #avg: 233.454; avg_err: 21.5129; sd: 298.092; counts: 193
sfh 0.136623 160.562 302.017 121.142 #avg: 264.459; avg_err: 24.4867; sd: 339.297; counts: 193
sfh 0.141685 176.146 347.094 128.405 #avg: 303.689; avg_err: 31.3627; sd: 434.575; counts: 193
sfh 0.146748 188.508 296.155 130.164 #avg: 309.601; avg_err: 32.5776; sd: 451.409; counts: 193
sfh 0.15181 209.344 326.137 144.962 #avg: 319.402; avg_err: 24.8049; sd: 343.707; counts: 193
sfh 0.156873 224.507 378.239 154.951 #avg: 349.798; avg_err: 25.9452; sd: 359.507; counts: 193
sfh 0.161935 270.782 531.589 190.83 #avg: 415.59; avg_err: 29.5691; sd: 409.722; counts: 193
sfh 0.166998 293.293 643.866 205.724 #avg: 481.355; avg_err: 41.2259; sd: 571.243; counts: 193
sfh 0.17206 329.756 660.45 217.625 #avg: 508.585; avg_err: 35.311; sd: 489.283; counts: 193
sfh 0.177123 408.789 544.271 292.691 #avg: 533.917; avg_err: 35.2399; sd: 488.298; counts: 193
sfh 0.182185 387.053 619.717 240.214 #avg: 546.274; avg_err: 33.8997; sd: 469.728; counts: 193
sfh 0.187248 432.341 584.599 292.133 #avg: 581.553; avg_err: 35.1012; sd: 486.377; counts: 193
sfh 0.19231 480.429 571.301 310.061 #avg: 589.607; avg_err: 32.7084; sd: 453.221; counts: 193
sfh 0.197373 511.488 545.672 332.64 #avg: 625.67; avg_err: 33.7838; sd: 468.122; counts: 193
sfh 0.202435 522.723 533.357 312.396 #avg: 632.182; avg_err: 33.338; sd: 461.945; counts: 193
sfh 0.207498 550.32 500.42 322.979 #avg: 640.607; avg_err: 33.379; sd: 462.513; counts: 193
sfh 0.21256 530.817 492.043 312.716 #avg: 637.952; avg_err: 33.0775; sd: 458.335; counts: 193
sfh 0.217623 613.779 380.347 398.507 #avg: 658.214; avg_err: 34.3043; sd: 475.335; counts: 193
sfh 0.222685 585.434 471.426 359.691 #avg: 675.649; avg_err: 36.6081; sd: 507.257; counts: 193
sfh 0.227748 565.933 504.837 336.674 #avg: 675.2; avg_err: 36.2211; sd: 501.895; counts: 193
sfh 0.23281 550.659 461.181 323.639 #avg: 662.268; avg_err: 35.1256; sd: 486.714; counts: 193
sfh 0.237873 570.756 384.965 329.776 #avg: 638.398; avg_err: 31.6968; sd: 439.203; counts: 193
sfh 0.242935 592.922 360.446 354.256 #avg: 648.103; avg_err: 31.998; sd: 443.378; counts: 193
sfh 0.247998 540.332 447.241 312.062 #avg: 624.61; avg_err: 30.7208; sd: 425.679; counts: 193
sfh 0.25306 505.109 432.571 292.036 #avg: 584.505; avg_err: 29.6413; sd: 410.722; counts: 193
sfh 0.258123 466.592 418.814 262.965 #avg: 551.233; avg_err: 27.7796; sd: 384.925; counts: 193
sfh 0.263185 448.337 442.359 256.731 #avg: 538.872; avg_err: 29.3266; sd: 406.361; counts: 193
sfh 0.268248 426.343 442.763 249.99 #avg: 520.046; avg_err: 29.0312; sd: 402.268; counts: 193
sfh 0.27331 409.786 397.993 253.139 #avg: 505.1; avg_err: 28.62; sd: 396.571; counts: 193
sfh 0.278373 413.984 391.918 270.003 #avg: 484.683; avg_err: 27.1911; sd: 376.771; counts: 193
sfh 0.283435 384.956 392.351 243.243 #avg: 459.702; avg_err: 25.4669; sd: 352.879; counts: 193
sfh 0.288498 348.369 415.629 212.795 #avg: 431.255; avg_err: 23.1016; sd: 320.105; counts: 193
sfh 0.29356 342.91 427.037 212.707 #avg: 426.036; avg_err: 22.3756; sd: 310.046; counts: 193
sfh 0.298623 356.044 344.091 231.707 #avg: 406.539; avg_err: 20.3941; sd: 282.589; counts: 193
sfh 0.303685 340.189 362.978 231.719 #avg: 399.21; avg_err: 21.0185; sd: 291.24; counts: 193
sfh 0.308748 322.62 302.69 216.5 #avg: 380.767; avg_err: 20.0013; sd: 277.146; counts: 193
sfh 0.31381 326.667 327.963 229.417 #avg: 371.558; avg_err: 19.9154; sd: 275.956; counts: 193
sfh 0.318873 297.481 309.332 201.484 #avg: 353.237; avg_err: 19.4994; sd: 270.192; counts: 193
sfh 0.323935 252.181 344.513 160.655 #avg: 333.284; avg_err: 19.1849; sd: 265.834; counts: 193
sfh 0.328997 235.968 328.156 148.45 #avg: 318.071; avg_err: 18.9195; sd: 262.157; counts: 193
sfh 0.33406 247.975 285.038 158.616 #avg: 296.755; avg_err: 17.6277; sd: 244.256; counts: 193
sfh 0.339122 235.313 259.244 154.023 #avg: 285.46; avg_err: 16.4148; sd: 227.45; counts: 193
sfh 0.344185 233.763 246.184 154.94 #avg: 277.845; avg_err: 16.3307; sd: 226.284; counts: 193
sfh 0.349247 214.547 211.421 137.895 #avg: 255.567; avg_err: 15.0805; sd: 208.961; counts: 193
sfh 0.35431 186.395 210.321 116.665 #avg: 237.411; avg_err: 13.933; sd: 193.061; counts: 193
sfh 0.359372 185.517 185.307 125.5 #avg: 224.733; avg_err: 12.6914; sd: 175.858; counts: 193
sfh 0.364435 173.035 184.853 110.234 #avg: 215.502; avg_err: 12.4868; sd: 173.022; counts: 193
sfh 0.369497 165.69 150.258 104.504 #avg: 201.507; avg_err: 12.0487; sd: 166.951; counts: 193
sfh 0.37456 153.616 163.866 97.6582 #avg: 192.378; avg_err: 11.1435; sd: 154.409; counts: 193
sfh 0.379622 147.812 148.156 96.845 #avg: 182.451; avg_err: 10.5371; sd: 146.006; counts: 193
sfh 0.384685 136.799 151.058 90.3323 #avg: 172.686; avg_err: 10.1814; sd: 141.078; counts: 193
sfh 0.389747 126.828 148.838 86.99 #avg: 163.331; avg_err: 9.83545; sd: 136.284; counts: 193
sfh 0.39481 121.148 132.321 76.3953 #avg: 155.093; avg_err: 9.12725; sd: 126.471; counts: 193
sfh 0.399872 123.735 116.416 79.7883 #avg: 145.502; avg_err: 8.03497; sd: 111.336; counts: 193
sfh 0.404935 116.645 128.509 74.7763 #avg: 135.897; avg_err: 7.52138; sd: 104.219; counts: 193
sfh 0.409997 107.623 124.014 69.7158 #avg: 126.757; avg_err: 6.97971; sd: 96.7137; counts: 193
sfh 0.41506 99.9542 120.689 64.3104 #avg: 119.611; avg_err: 6.45726; sd: 89.4744; counts: 193
sfh 0.420122 96.2264 85.5476 61.5092 #avg: 112.074; avg_err: 6.2509; sd: 86.6151; counts: 193
sfh 0.425185 90.2029 78.9061 61.085 #avg: 104.431; avg_err: 5.89032; sd: 81.6187; counts: 193
sfh 0.430247 86.3513 75.2117 57.8984 #avg: 97.7234; avg_err: 5.03031; sd: 69.702; counts: 193
sfh 0.43531 79.4527 75.0123 52.2479 #avg: 94.1302; avg_err: 4.95652; sd: 68.6796; counts: 193
sfh 0.440372 77.4326 72.6874 51.2386 #avg: 88.7929; avg_err: 4.75542; sd: 65.893; counts: 193
sfh 0.445435 71.0676 62.9084 46.0411 #avg: 82.6268; avg_err: 4.38564; sd: 60.7692; counts: 193
sfh 0.450497 68.6531 55.6499 42.6091 #avg: 76.8701; avg_err: 4.05689; sd: 56.2139; counts: 193
sfh 0.45556 63.3822 55.0388 39.3348 #avg: 74.1922; avg_err: 3.90298; sd: 54.0812; counts: 193
sfh 0.460622 57.6954 60.0246 33.2282 #avg: 72.5339; avg_err: 4.00375; sd: 55.4776; counts: 193
sfh 0.465685 57.6092 62.1808 33.7641 #avg: 71.2805; avg_err: 3.81412; sd: 52.85; counts: 193
