#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.95 - 3.11667
#HM   Stats: 3.086760e+14 (median) + 2.573598e+13  / - 1.344110e+14
#SM   Stats: 5.475420e+11 (median) + 5.152680e+11  / - 3.042990e+11
#VMP  Stats: 9.710300e+02 (median) + 9.322998e+01  / - 5.619000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.274770e-12 (median) + 1.047802e-12  / - 1.710926e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.060123 0 0.243409 0 #avg: 0.0742369; avg_err: 0.0339481; sd: 0.112593; counts: 12
sfh 0.062373 0 3.24713 0 #avg: 1.00148; avg_err: 0.417149; sd: 1.38353; counts: 12
sfh 0.064623 0 9.10006 0 #avg: 2.80495; avg_err: 1.31744; sd: 4.36944; counts: 12
sfh 0.066873 0.139864 25.2674 0.139864 #avg: 5.7987; avg_err: 3.09877; sd: 10.2775; counts: 12
sfh 0.069123 0.244623 48.3747 0.244623 #avg: 10.1037; avg_err: 5.95868; sd: 19.7627; counts: 12
sfh 0.071373 0.699419 26.2738 0.699419 #avg: 8.22159; avg_err: 4.94846; sd: 16.4122; counts: 12
sfh 0.073623 1.14274 22.9219 1.06399 #avg: 15.7287; avg_err: 12.1099; sd: 40.1639; counts: 12
sfh 0.075873 2.44648 22.568 2.35362 #avg: 15.1389; avg_err: 11.2633; sd: 37.3562; counts: 12
sfh 0.078123 3.62749 23.5697 3.53947 #avg: 16.4966; avg_err: 11.6496; sd: 38.6373; counts: 12
sfh 0.080373 5.91819 31.3589 5.77385 #avg: 13.3729; avg_err: 6.67484; sd: 22.1379; counts: 12
sfh 0.082623 6.79994 37.0333 6.51077 #avg: 14.1745; avg_err: 5.92243; sd: 19.6425; counts: 12
sfh 0.085998 11.3033 27.7293 10.5003 #avg: 15.8937; avg_err: 4.45793; sd: 14.7853; counts: 12
sfh 0.089373 19.925 16.2445 18.8015 #avg: 17.9971; avg_err: 4.02553; sd: 13.3512; counts: 12
sfh 0.092748 23.4365 15.8009 22.0061 #avg: 18.6115; avg_err: 4.27738; sd: 14.1865; counts: 12
sfh 0.096123 39.5835 9.9377 38.0765 #avg: 26.8417; avg_err: 6.38421; sd: 21.174; counts: 12
sfh 0.099498 40.7252 27.5979 38.0838 #avg: 33.7287; avg_err: 8.24526; sd: 27.3464; counts: 12
sfh 0.102873 28.859 89.045 25.8691 #avg: 45.621; avg_err: 14.523; sd: 48.1673; counts: 12
sfh 0.106248 28.1598 154.835 25.5881 #avg: 63.6971; avg_err: 23.5716; sd: 78.1783; counts: 12
sfh 0.109623 24.3447 142.084 20.7632 #avg: 68.4688; avg_err: 26.0738; sd: 86.4769; counts: 12
sfh 0.112998 32.664 262.51 28.9316 #avg: 89.5338; avg_err: 36.204; sd: 120.075; counts: 12
sfh 0.116373 37.5125 246.799 33.5439 #avg: 103.74; avg_err: 45.7025; sd: 151.578; counts: 12
sfh 0.119748 39.8009 371.065 35.1089 #avg: 109.541; avg_err: 45.1028; sd: 149.589; counts: 12
sfh 0.123123 45.0581 524.343 36.9006 #avg: 147.941; avg_err: 61.588; sd: 204.264; counts: 12
sfh 0.126498 67.9559 616.1 62.241 #avg: 180.271; avg_err: 72.3142; sd: 239.839; counts: 12
sfh 0.129873 103.194 411.42 94.9898 #avg: 181.786; avg_err: 63.267; sd: 209.833; counts: 12
sfh 0.133248 119.239 836.179 107.782 #avg: 309.466; avg_err: 112.133; sd: 371.905; counts: 12
sfh 0.136623 152.75 1057.84 137.486 #avg: 364.139; avg_err: 140.167; sd: 464.88; counts: 12
sfh 0.141685 235.218 942.272 214.907 #avg: 397.299; avg_err: 146.428; sd: 485.646; counts: 12
sfh 0.146748 248.192 650.429 219.784 #avg: 361.099; avg_err: 125.979; sd: 417.825; counts: 12
sfh 0.15181 301.87 298.146 270.198 #avg: 323.174; avg_err: 86.9897; sd: 288.512; counts: 12
sfh 0.156873 385.413 473.905 339.426 #avg: 390.751; avg_err: 98.6169; sd: 327.075; counts: 12
sfh 0.161935 363.159 692.301 311.951 #avg: 448.601; avg_err: 132.167; sd: 438.349; counts: 12
sfh 0.166998 385.835 904.745 336.39 #avg: 551.965; avg_err: 197.063; sd: 653.584; counts: 12
sfh 0.17206 319.449 822.741 264.123 #avg: 494.904; avg_err: 172.092; sd: 570.766; counts: 12
sfh 0.177123 234.552 670.443 179.636 #avg: 437.432; avg_err: 157.534; sd: 522.48; counts: 12
sfh 0.182185 199.751 514.251 134.861 #avg: 381.783; avg_err: 136.126; sd: 451.48; counts: 12
sfh 0.187248 257.514 405.685 162.788 #avg: 371.261; avg_err: 123.13; sd: 408.377; counts: 12
sfh 0.19231 303.738 378.127 217.323 #avg: 382.078; avg_err: 105.265; sd: 349.124; counts: 12
sfh 0.197373 314.447 498.314 209.784 #avg: 454.522; avg_err: 137.682; sd: 456.64; counts: 12
sfh 0.202435 226.635 847.885 121.223 #avg: 441.076; avg_err: 112.572; sd: 373.36; counts: 12
sfh 0.207498 315.787 675.355 198.347 #avg: 481.772; avg_err: 113.051; sd: 374.947; counts: 12
sfh 0.21256 333.959 608.876 273.618 #avg: 502.187; avg_err: 126.559; sd: 419.75; counts: 12
sfh 0.217623 542.168 633.932 463.729 #avg: 555.345; avg_err: 140.386; sd: 465.609; counts: 12
sfh 0.222685 347.103 835.327 269.026 #avg: 500.756; avg_err: 125.8; sd: 417.231; counts: 12
sfh 0.227748 394.493 703.467 300.733 #avg: 474.237; avg_err: 107.419; sd: 356.269; counts: 12
sfh 0.23281 371.45 542.615 224.859 #avg: 457.746; avg_err: 93.8542; sd: 311.279; counts: 12
sfh 0.237873 394.103 502.59 240.7 #avg: 456.847; avg_err: 86.8517; sd: 288.055; counts: 12
sfh 0.242935 460.549 260.68 340.33 #avg: 402.27; avg_err: 75.9196; sd: 251.797; counts: 12
sfh 0.247998 342.43 289.355 249.191 #avg: 367.422; avg_err: 72.3195; sd: 239.857; counts: 12
sfh 0.25306 253.301 449.599 156.966 #avg: 344.08; avg_err: 71.6572; sd: 237.66; counts: 12
sfh 0.258123 252.843 517.525 160.242 #avg: 319.389; avg_err: 77.9684; sd: 258.592; counts: 12
sfh 0.263185 211.426 251.58 156.274 #avg: 260.79; avg_err: 70.1449; sd: 232.644; counts: 12
sfh 0.268248 191.014 291.469 139.253 #avg: 253.251; avg_err: 81.2236; sd: 269.388; counts: 12
sfh 0.27331 166.646 330.992 154.923 #avg: 238.505; avg_err: 71.6678; sd: 237.695; counts: 12
sfh 0.278373 181.512 394.749 174.179 #avg: 229.768; avg_err: 63.3067; sd: 209.965; counts: 12
sfh 0.283435 158.182 288.681 99.6953 #avg: 203.44; avg_err: 51.0542; sd: 169.328; counts: 12
sfh 0.288498 147.248 282.948 82.2226 #avg: 201.625; avg_err: 49.5011; sd: 164.177; counts: 12
sfh 0.29356 194.91 259.668 155.224 #avg: 200.959; avg_err: 47.6365; sd: 157.992; counts: 12
sfh 0.298623 200.329 163.695 155.47 #avg: 184.931; avg_err: 37.2084; sd: 123.406; counts: 12
sfh 0.303685 182.467 171.072 140.313 #avg: 184.562; avg_err: 46.1987; sd: 153.224; counts: 12
sfh 0.308748 139.968 263.173 99.6312 #avg: 205.031; avg_err: 55.1766; sd: 183; counts: 12
sfh 0.31381 104.31 353.734 53.9408 #avg: 189.656; avg_err: 51.4518; sd: 170.646; counts: 12
sfh 0.318873 91.6576 432.676 38.9553 #avg: 193.032; avg_err: 54.0678; sd: 179.323; counts: 12
sfh 0.323935 116.4 359.191 97.0971 #avg: 191.396; avg_err: 59.3298; sd: 196.775; counts: 12
sfh 0.328997 118.237 264.348 99.2974 #avg: 169.302; avg_err: 54.2831; sd: 180.037; counts: 12
sfh 0.33406 86.9526 305.706 84.5894 #avg: 162.068; avg_err: 56.804; sd: 188.397; counts: 12
sfh 0.339122 79.6717 270.851 77.6324 #avg: 149.565; avg_err: 52.5365; sd: 174.244; counts: 12
sfh 0.344185 68.3566 244.441 65.9125 #avg: 127.997; avg_err: 42.6236; sd: 141.367; counts: 12
sfh 0.349247 63.0442 182.492 60.6919 #avg: 107.191; avg_err: 32.7432; sd: 108.597; counts: 12
sfh 0.35431 63.7281 162.037 60.8287 #avg: 104.733; avg_err: 33.6006; sd: 111.441; counts: 12
sfh 0.359372 77.685 119.378 74.8517 #avg: 91.3574; avg_err: 25.2049; sd: 83.5953; counts: 12
sfh 0.364435 80.2669 121.679 77.7869 #avg: 82.8379; avg_err: 21.0292; sd: 69.7461; counts: 12
sfh 0.369497 62.5657 146.504 60.3218 #avg: 81.2564; avg_err: 21.731; sd: 72.0736; counts: 12
sfh 0.37456 71.2551 132.472 68.8569 #avg: 85.586; avg_err: 23.7622; sd: 78.8104; counts: 12
sfh 0.379622 70.3498 94.3362 68.4307 #avg: 93.3144; avg_err: 32.9576; sd: 109.308; counts: 12
sfh 0.384685 78.4384 76.3966 76.7157 #avg: 93.8387; avg_err: 29.4931; sd: 97.8177; counts: 12
sfh 0.389747 76.308 86.303 74.6149 #avg: 84.1773; avg_err: 28.59; sd: 94.8223; counts: 12
sfh 0.39481 71.6506 102.344 69.9972 #avg: 85.0906; avg_err: 26.539; sd: 88.0198; counts: 12
sfh 0.399872 70.3436 116.845 68.9005 #avg: 77.4725; avg_err: 23.9888; sd: 79.5618; counts: 12
sfh 0.404935 71.8284 126.179 70.5538 #avg: 78.9778; avg_err: 22.7278; sd: 75.3797; counts: 12
sfh 0.409997 37.9072 93.9718 36.5075 #avg: 53.2661; avg_err: 14.9948; sd: 49.7321; counts: 12
sfh 0.41506 44.1765 61.7345 42.8679 #avg: 51.1247; avg_err: 14.605; sd: 48.4394; counts: 12
sfh 0.420122 54.3396 81.0754 53.2595 #avg: 55.6619; avg_err: 14.5217; sd: 48.163; counts: 12
sfh 0.425185 63.0571 60.4409 61.961 #avg: 52.1167; avg_err: 13.1272; sd: 43.5379; counts: 12
sfh 0.430247 52.323 65.086 51.196 #avg: 47.4593; avg_err: 12.132; sd: 40.2372; counts: 12
sfh 0.43531 31.7766 24.3231 31.1712 #avg: 33.696; avg_err: 9.08365; sd: 30.1271; counts: 12
sfh 0.440372 21.9631 51.0198 21.2804 #avg: 33.9189; avg_err: 9.72427; sd: 32.2518; counts: 12
sfh 0.445435 14.4271 50.6581 13.8068 #avg: 27.5009; avg_err: 9.6568; sd: 32.028; counts: 12
sfh 0.450497 16.1508 46.2517 15.5807 #avg: 26.4142; avg_err: 9.25819; sd: 30.7059; counts: 12
sfh 0.45556 15.9172 39.1092 15.3416 #avg: 26.0177; avg_err: 8.61178; sd: 28.5621; counts: 12
sfh 0.460622 23.4236 22.6665 22.804 #avg: 26.4012; avg_err: 7.94353; sd: 26.3457; counts: 12
sfh 0.465685 16.659 22.8449 16.0818 #avg: 22.5677; avg_err: 7.23311; sd: 23.9895; counts: 12
sfh 0.470747 14.6414 38.3974 14.072 #avg: 20.6638; avg_err: 6.69982; sd: 22.2208; counts: 12
sfh 0.47581 16.34 40.6273 14.5136 #avg: 22.982; avg_err: 8.78948; sd: 29.1514; counts: 12
sfh 0.480872 16.2957 23.8595 14.1336 #avg: 18.4362; avg_err: 4.50558; sd: 14.9433; counts: 12
sfh 0.485935 24.4844 5.2351 22.6302 #avg: 19.7119; avg_err: 4.83477; sd: 16.0351; counts: 12
sfh 0.490997 14.3167 33.6833 12.3393 #avg: 18.4208; avg_err: 5.57005; sd: 18.4737; counts: 12
sfh 0.49606 13.9309 46.8082 11.8177 #avg: 20.373; avg_err: 7.0424; sd: 23.357; counts: 12
sfh 0.501122 10.4294 31.5122 7.98751 #avg: 19.4924; avg_err: 6.96101; sd: 23.0871; counts: 12
sfh 0.506185 10.6576 33.4785 8.079 #avg: 19.7678; avg_err: 7.20223; sd: 23.8871; counts: 12
sfh 0.511247 8.96221 34.533 6.26016 #avg: 18.7939; avg_err: 6.62473; sd: 21.9718; counts: 12
sfh 0.51631 9.01778 36.1382 5.73296 #avg: 18.6414; avg_err: 5.94607; sd: 19.7209; counts: 12
sfh 0.521372 8.80199 16.7275 5.63901 #avg: 14.2281; avg_err: 3.91193; sd: 12.9744; counts: 12
sfh 0.526435 8.72484 41.3928 5.63915 #avg: 16.5762; avg_err: 5.04885; sd: 16.7451; counts: 12
sfh 0.531497 8.68535 14.6232 8.24379 #avg: 10.8103; avg_err: 2.70212; sd: 8.96193; counts: 12
sfh 0.53656 8.41004 15.529 8.02717 #avg: 10.4069; avg_err: 2.78941; sd: 9.25144; counts: 12
sfh 0.541622 8.82786 13.1768 8.41178 #avg: 10.4307; avg_err: 2.65606; sd: 8.80914; counts: 12
sfh 0.546685 8.5266 13.0161 8.10586 #avg: 9.7539; avg_err: 2.65531; sd: 8.80666; counts: 12
sfh 0.551747 7.96953 16.4581 7.43505 #avg: 10.0654; avg_err: 2.83577; sd: 9.40518; counts: 12
sfh 0.55681 7.34675 10.6367 6.66105 #avg: 8.81293; avg_err: 2.27765; sd: 7.55412; counts: 12
sfh 0.561872 7.90109 13.6275 7.20625 #avg: 9.1743; avg_err: 2.27788; sd: 7.55487; counts: 12
sfh 0.566935 7.75744 12.8424 6.61292 #avg: 9.37705; avg_err: 2.28897; sd: 7.59167; counts: 12
sfh 0.571997 7.86136 14.9847 6.62133 #avg: 10.5107; avg_err: 3.10132; sd: 10.2859; counts: 12
sfh 0.57706 8.32851 11.2768 6.8581 #avg: 9.85719; avg_err: 2.81992; sd: 9.35262; counts: 12
sfh 0.582123 4.44844 13.1728 2.8455 #avg: 8.51237; avg_err: 2.41379; sd: 8.00563; counts: 12
sfh 0.587185 4.39203 13.0841 2.66192 #avg: 8.63822; avg_err: 2.65778; sd: 8.81485; counts: 12
sfh 0.592248 4.29806 13.2995 3.51802 #avg: 8.94814; avg_err: 3.14225; sd: 10.4217; counts: 12
sfh 0.59731 4.54091 12.5066 3.92934 #avg: 8.6299; avg_err: 3.01387; sd: 9.99588; counts: 12
sfh 0.602373 5.78847 10.7025 5.22745 #avg: 8.79378; avg_err: 3.03221; sd: 10.0567; counts: 12
sfh 0.607435 5.595 8.7203 5.06963 #avg: 8.61046; avg_err: 3.29782; sd: 10.9376; counts: 12
sfh 0.612498 3.07791 8.68189 2.41517 #avg: 5.13908; avg_err: 1.27463; sd: 4.22746; counts: 12
sfh 0.61756 3.27861 7.82689 2.71714 #avg: 5.29392; avg_err: 1.30037; sd: 4.31285; counts: 12
sfh 0.622623 3.13596 7.86894 2.5776 #avg: 5.03383; avg_err: 1.28731; sd: 4.26951; counts: 12
sfh 0.627685 2.84979 8.18421 2.35749 #avg: 4.32266; avg_err: 1.2415; sd: 4.11758; counts: 12
sfh 0.632748 3.38249 5.3942 2.92227 #avg: 4.05838; avg_err: 0.950416; sd: 3.15217; counts: 12
sfh 0.63781 3.5627 4.62363 3.00797 #avg: 4.11433; avg_err: 1.00036; sd: 3.31783; counts: 12
sfh 0.642873 3.14792 6.35294 2.72092 #avg: 4.51149; avg_err: 1.12751; sd: 3.73954; counts: 12
sfh 0.647935 3.11233 6.67232 2.5505 #avg: 4.58246; avg_err: 1.17232; sd: 3.88815; counts: 12
sfh 0.652998 3.41536 5.15122 2.95068 #avg: 3.85665; avg_err: 0.934251; sd: 3.09856; counts: 12
sfh 0.65806 3.44003 4.20618 3.05332 #avg: 3.44634; avg_err: 0.833437; sd: 2.7642; counts: 12
sfh 0.663123 3.75499 2.96126 3.41407 #avg: 3.49508; avg_err: 0.884188; sd: 2.93252; counts: 12
sfh 0.668185 3.52755 2.04221 3.0596 #avg: 3.18073; avg_err: 0.82447; sd: 2.73446; counts: 12
sfh 0.673248 2.56843 3.16099 2.21522 #avg: 3.07948; avg_err: 0.858303; sd: 2.84667; counts: 12
sfh 0.67831 2.75078 2.33543 2.37234 #avg: 2.88379; avg_err: 0.740174; sd: 2.45488; counts: 12
