#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 9.75 - 10.25
#HM   Stats: 1.025440e+10 (median) + 4.330900e+09  / - 3.189689e+09
#SM   Stats: 3.850780e+06 (median) + 9.304720e+06  / - 3.179434e+06
#VMP  Stats: 3.907000e+01 (median) + 7.450001e+00  / - 8.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.570228e-10 (median) + 3.761506e-10  / - 1.528347e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4566575
sfh 0.075873 0 0 0 #avg: 1.90708e-17; avg_err: 1.43032e-17; sd: 3.05654e-14; counts: 4566575
sfh 0.078123 0 0 0 #avg: 4.49014e-17; avg_err: 3.07919e-17; sd: 6.58009e-14; counts: 4566575
sfh 0.080373 0 0 0 #avg: 2.86807e-16; avg_err: 1.84323e-16; sd: 3.93889e-13; counts: 4566575
sfh 0.082623 0 0 0 #avg: 1.65905e-15; avg_err: 1.08708e-15; sd: 2.32303e-12; counts: 4566575
sfh 0.085998 0 0 0 #avg: 1.66373e-15; avg_err: 1.1563e-15; sd: 2.47097e-12; counts: 4566575
sfh 0.089373 0 0 0 #avg: 4.55034e-15; avg_err: 1.55259e-15; sd: 3.31781e-12; counts: 4566575
sfh 0.092748 0 0 0 #avg: 1.01831e-14; avg_err: 3.25853e-15; sd: 6.96332e-12; counts: 4566575
sfh 0.096123 0 0 0 #avg: 1.43117e-14; avg_err: 2.51826e-15; sd: 5.38141e-12; counts: 4566575
sfh 0.099498 0 0 0 #avg: 2.40264e-14; avg_err: 2.91102e-15; sd: 6.22072e-12; counts: 4566575
sfh 0.102873 0 0 0 #avg: 4.50749e-14; avg_err: 4.12769e-15; sd: 8.82068e-12; counts: 4566575
sfh 0.106248 0 0 0 #avg: 7.09146e-14; avg_err: 5.10952e-15; sd: 1.09188e-11; counts: 4566575
sfh 0.109623 0 0 0 #avg: 1.15967e-13; avg_err: 6.96676e-15; sd: 1.48877e-11; counts: 4566575
sfh 0.112998 0 0 0 #avg: 1.74519e-13; avg_err: 8.25601e-15; sd: 1.76427e-11; counts: 4566575
sfh 0.116373 0 0 0 #avg: 2.14573e-13; avg_err: 7.58843e-15; sd: 1.62161e-11; counts: 4566575
sfh 0.119748 0 0 0 #avg: 2.96623e-13; avg_err: 8.44219e-15; sd: 1.80406e-11; counts: 4566575
sfh 0.123123 0 0 0 #avg: 3.92191e-13; avg_err: 9.33667e-15; sd: 1.9952e-11; counts: 4566575
sfh 0.126498 0 0 0 #avg: 4.93501e-13; avg_err: 9.79046e-15; sd: 2.09218e-11; counts: 4566575
sfh 0.129873 0 0 0 #avg: 6.33479e-13; avg_err: 1.07404e-14; sd: 2.29517e-11; counts: 4566575
sfh 0.133248 0 0 0 #avg: 8.13952e-13; avg_err: 1.20363e-14; sd: 2.57211e-11; counts: 4566575
sfh 0.136623 0 0 0 #avg: 1.02851e-12; avg_err: 1.27684e-14; sd: 2.72855e-11; counts: 4566575
sfh 0.141685 0 0 0 #avg: 1.41081e-12; avg_err: 1.46644e-14; sd: 3.13371e-11; counts: 4566575
sfh 0.146748 0 0 0 #avg: 1.93269e-12; avg_err: 1.73423e-14; sd: 3.70596e-11; counts: 4566575
sfh 0.15181 0 0 0 #avg: 2.61262e-12; avg_err: 1.97832e-14; sd: 4.22758e-11; counts: 4566575
sfh 0.156873 0 0 0 #avg: 3.48963e-12; avg_err: 2.31093e-14; sd: 4.93834e-11; counts: 4566575
sfh 0.161935 0 0 0 #avg: 4.60657e-12; avg_err: 2.66136e-14; sd: 5.6872e-11; counts: 4566575
sfh 0.166998 0 0 0 #avg: 5.98062e-12; avg_err: 3.11176e-14; sd: 6.64969e-11; counts: 4566575
sfh 0.17206 0 0 0 #avg: 7.31309e-12; avg_err: 3.27103e-14; sd: 6.99004e-11; counts: 4566575
sfh 0.177123 0 0 0 #avg: 8.50563e-12; avg_err: 3.3434e-14; sd: 7.1447e-11; counts: 4566575
sfh 0.182185 0 0 0 #avg: 9.57317e-12; avg_err: 3.36666e-14; sd: 7.19439e-11; counts: 4566575
sfh 0.187248 0 0 0 #avg: 1.07486e-11; avg_err: 3.40448e-14; sd: 7.27522e-11; counts: 4566575
sfh 0.19231 0 0 0 #avg: 1.21526e-11; avg_err: 3.59886e-14; sd: 7.69061e-11; counts: 4566575
sfh 0.197373 0 0 0 #avg: 1.35798e-11; avg_err: 3.73145e-14; sd: 7.97394e-11; counts: 4566575
sfh 0.202435 0 0 0 #avg: 1.51094e-11; avg_err: 3.96293e-14; sd: 8.46859e-11; counts: 4566575
sfh 0.207498 0 5.04745e-13 0 #avg: 1.662e-11; avg_err: 4.08722e-14; sd: 8.73421e-11; counts: 4566575
sfh 0.21256 0 3.9624e-12 0 #avg: 1.81603e-11; avg_err: 4.2128e-14; sd: 9.00256e-11; counts: 4566575
sfh 0.217623 0 9.02935e-12 0 #avg: 1.98019e-11; avg_err: 4.34114e-14; sd: 9.27682e-11; counts: 4566575
sfh 0.222685 0 1.41648e-11 0 #avg: 1.93656e-11; avg_err: 3.79429e-14; sd: 8.10823e-11; counts: 4566575
sfh 0.227748 0 1.9637e-11 0 #avg: 1.96363e-11; avg_err: 3.58706e-14; sd: 7.66539e-11; counts: 4566575
sfh 0.23281 0 2.46281e-11 0 #avg: 2.02814e-11; avg_err: 3.5516e-14; sd: 7.58962e-11; counts: 4566575
sfh 0.237873 0 2.90064e-11 0 #avg: 2.09904e-11; avg_err: 3.51089e-14; sd: 7.50261e-11; counts: 4566575
sfh 0.242935 0 3.29114e-11 0 #avg: 2.18094e-11; avg_err: 3.53356e-14; sd: 7.55106e-11; counts: 4566575
sfh 0.247998 0 3.5818e-11 0 #avg: 2.21456e-11; avg_err: 3.48752e-14; sd: 7.45267e-11; counts: 4566575
sfh 0.25306 0 3.90254e-11 0 #avg: 2.3047e-11; avg_err: 3.47186e-14; sd: 7.41921e-11; counts: 4566575
sfh 0.258123 0 4.20369e-11 0 #avg: 2.39282e-11; avg_err: 3.48722e-14; sd: 7.45203e-11; counts: 4566575
sfh 0.263185 0 4.47597e-11 0 #avg: 2.49064e-11; avg_err: 3.54709e-14; sd: 7.57997e-11; counts: 4566575
sfh 0.268248 0 4.81015e-11 0 #avg: 2.61767e-11; avg_err: 3.62038e-14; sd: 7.73658e-11; counts: 4566575
sfh 0.27331 0 5.07863e-11 0 #avg: 2.72338e-11; avg_err: 3.63464e-14; sd: 7.76705e-11; counts: 4566575
sfh 0.278373 0 5.35343e-11 0 #avg: 2.8698e-11; avg_err: 3.77281e-14; sd: 8.06232e-11; counts: 4566575
sfh 0.283435 0 5.5902e-11 0 #avg: 2.96661e-11; avg_err: 3.77592e-14; sd: 8.06896e-11; counts: 4566575
sfh 0.288498 0 5.87385e-11 0 #avg: 3.10865e-11; avg_err: 3.88132e-14; sd: 8.29421e-11; counts: 4566575
sfh 0.29356 0 6.12498e-11 0 #avg: 3.24309e-11; avg_err: 3.9713e-14; sd: 8.48649e-11; counts: 4566575
sfh 0.298623 0 6.39823e-11 0 #avg: 3.38532e-11; avg_err: 4.02295e-14; sd: 8.59686e-11; counts: 4566575
sfh 0.303685 9.42608e-13 6.5721e-11 9.42608e-13 #avg: 3.52602e-11; avg_err: 4.11589e-14; sd: 8.79547e-11; counts: 4566575
sfh 0.308748 2.18167e-12 6.73624e-11 2.18167e-12 #avg: 3.67407e-11; avg_err: 4.16229e-14; sd: 8.89463e-11; counts: 4566575
sfh 0.31381 3.74763e-12 6.85999e-11 3.74763e-12 #avg: 3.83417e-11; avg_err: 4.26196e-14; sd: 9.10762e-11; counts: 4566575
sfh 0.318873 5.51202e-12 6.98194e-11 5.51202e-12 #avg: 3.9995e-11; avg_err: 4.36928e-14; sd: 9.33695e-11; counts: 4566575
sfh 0.323935 7.33071e-12 7.14299e-11 7.33071e-12 #avg: 4.20203e-11; avg_err: 4.48445e-14; sd: 9.58307e-11; counts: 4566575
sfh 0.328997 9.22422e-12 7.25587e-11 9.22422e-12 #avg: 4.37403e-11; avg_err: 4.56912e-14; sd: 9.76401e-11; counts: 4566575
sfh 0.33406 1.11201e-11 7.3708e-11 1.11201e-11 #avg: 4.55105e-11; avg_err: 4.66408e-14; sd: 9.96693e-11; counts: 4566575
sfh 0.339122 1.30583e-11 7.46031e-11 1.30583e-11 #avg: 4.72947e-11; avg_err: 4.77934e-14; sd: 1.02132e-10; counts: 4566575
sfh 0.344185 1.49521e-11 7.57746e-11 1.49521e-11 #avg: 4.89924e-11; avg_err: 4.83997e-14; sd: 1.03428e-10; counts: 4566575
sfh 0.349247 1.68208e-11 7.69325e-11 1.68208e-11 #avg: 5.07135e-11; avg_err: 4.88705e-14; sd: 1.04434e-10; counts: 4566575
sfh 0.35431 1.88043e-11 7.72674e-11 1.88043e-11 #avg: 5.20675e-11; avg_err: 4.92645e-14; sd: 1.05276e-10; counts: 4566575
sfh 0.359372 2.06468e-11 7.85466e-11 2.06468e-11 #avg: 5.40406e-11; avg_err: 5.04137e-14; sd: 1.07732e-10; counts: 4566575
sfh 0.364435 2.24937e-11 7.9762e-11 2.24937e-11 #avg: 5.58989e-11; avg_err: 5.10996e-14; sd: 1.09198e-10; counts: 4566575
sfh 0.369497 2.42826e-11 8.16367e-11 2.42826e-11 #avg: 5.81063e-11; avg_err: 5.22514e-14; sd: 1.11659e-10; counts: 4566575
sfh 0.37456 2.60922e-11 8.3003e-11 2.60922e-11 #avg: 6.00801e-11; avg_err: 5.31197e-14; sd: 1.13514e-10; counts: 4566575
sfh 0.379622 2.79308e-11 8.4006e-11 2.79308e-11 #avg: 6.1887e-11; avg_err: 5.36925e-14; sd: 1.14738e-10; counts: 4566575
sfh 0.384685 2.95878e-11 8.47656e-11 2.95878e-11 #avg: 6.35381e-11; avg_err: 5.43704e-14; sd: 1.16187e-10; counts: 4566575
sfh 0.389747 3.13906e-11 8.57543e-11 3.13906e-11 #avg: 6.52892e-11; avg_err: 5.50906e-14; sd: 1.17726e-10; counts: 4566575
sfh 0.39481 3.32025e-11 8.67095e-11 3.32025e-11 #avg: 6.70644e-11; avg_err: 5.5745e-14; sd: 1.19124e-10; counts: 4566575
sfh 0.399872 3.52052e-11 8.79477e-11 3.52052e-11 #avg: 6.89563e-11; avg_err: 5.58265e-14; sd: 1.19299e-10; counts: 4566575
sfh 0.404935 3.69977e-11 8.87374e-11 3.69977e-11 #avg: 7.07353e-11; avg_err: 5.64185e-14; sd: 1.20564e-10; counts: 4566575
sfh 0.409997 3.87476e-11 9.073e-11 3.87476e-11 #avg: 7.31101e-11; avg_err: 5.77463e-14; sd: 1.23401e-10; counts: 4566575
sfh 0.41506 4.05687e-11 9.18164e-11 4.05687e-11 #avg: 7.50253e-11; avg_err: 5.8387e-14; sd: 1.2477e-10; counts: 4566575
sfh 0.420122 4.24058e-11 9.28056e-11 4.24058e-11 #avg: 7.69041e-11; avg_err: 5.89521e-14; sd: 1.25978e-10; counts: 4566575
sfh 0.425185 4.43002e-11 9.30933e-11 4.43002e-11 #avg: 7.84026e-11; avg_err: 5.90382e-14; sd: 1.26162e-10; counts: 4566575
sfh 0.430247 4.6195e-11 9.40221e-11 4.6195e-11 #avg: 8.02687e-11; avg_err: 5.96676e-14; sd: 1.27507e-10; counts: 4566575
