#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 11.75 - 12.25
#HM   Stats: 9.054410e+11 (median) + 4.804390e+11  / - 2.611760e+11
#SM   Stats: 2.709990e+10 (median) + 3.393750e+10  / - 1.572570e+10
#VMP  Stats: 1.598500e+02 (median) + 2.484999e+01  / - 2.078000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.803784e-12 (median) + 3.138289e-12  / - 1.157453e-12
sfh 0.055623 0 0 0 #avg: 1.75069e-14; avg_err: 1.38981e-14; sd: 3.53858e-12; counts: 64827
sfh 0.060123 0 0 0 #avg: 1.845e-13; avg_err: 1.42691e-13; sd: 3.63304e-11; counts: 64827
sfh 0.062373 0 0 0 #avg: 3.07485e-13; avg_err: 2.37896e-13; sd: 6.05706e-11; counts: 64827
sfh 0.064623 0 0 0 #avg: 1.81191e-13; avg_err: 1.13766e-13; sd: 2.89658e-11; counts: 64827
sfh 0.066873 0 0 0 #avg: 2.61966e-13; avg_err: 1.14582e-13; sd: 2.91737e-11; counts: 64827
sfh 0.069123 0 0 0 #avg: 4.74797e-13; avg_err: 2.41683e-13; sd: 6.15348e-11; counts: 64827
sfh 0.071373 0 0 0 #avg: 4.44707e-13; avg_err: 1.40993e-13; sd: 3.58981e-11; counts: 64827
sfh 0.073623 0 0 0 #avg: 5.92561e-13; avg_err: 1.49252e-13; sd: 3.8001e-11; counts: 64827
sfh 0.075873 0 0 0 #avg: 7.54214e-13; avg_err: 1.26717e-13; sd: 3.22634e-11; counts: 64827
sfh 0.078123 0 0 0 #avg: 1.086e-12; avg_err: 2.22841e-13; sd: 5.67375e-11; counts: 64827
sfh 0.080373 0 0 0 #avg: 1.09145e-12; avg_err: 8.44547e-14; sd: 2.1503e-11; counts: 64827
sfh 0.082623 0 0 0 #avg: 1.22199e-12; avg_err: 8.26996e-14; sd: 2.10561e-11; counts: 64827
sfh 0.085998 0 3.03751e-13 0 #avg: 1.76709e-12; avg_err: 7.35133e-14; sd: 1.87172e-11; counts: 64827
sfh 0.089373 0 1.14033e-12 0 #avg: 2.44369e-12; avg_err: 1.11774e-13; sd: 2.84588e-11; counts: 64827
sfh 0.092748 0 2.35725e-12 0 #avg: 3.0587e-12; avg_err: 8.36674e-14; sd: 2.13025e-11; counts: 64827
sfh 0.096123 0 3.6439e-12 0 #avg: 3.68824e-12; avg_err: 9.08742e-14; sd: 2.31374e-11; counts: 64827
sfh 0.099498 6.38537e-14 4.93216e-12 6.38537e-14 #avg: 4.39303e-12; avg_err: 1.03049e-13; sd: 2.62372e-11; counts: 64827
sfh 0.102873 3.16392e-13 5.90071e-12 3.16392e-13 #avg: 5.16469e-12; avg_err: 1.23192e-13; sd: 3.1366e-11; counts: 64827
sfh 0.106248 6.46106e-13 6.73959e-12 6.46106e-13 #avg: 6.0578e-12; avg_err: 1.89412e-13; sd: 4.8226e-11; counts: 64827
sfh 0.109623 1.01568e-12 7.56529e-12 1.01568e-12 #avg: 6.65683e-12; avg_err: 1.09971e-13; sd: 2.79996e-11; counts: 64827
sfh 0.112998 1.37796e-12 8.39451e-12 1.37796e-12 #avg: 7.49278e-12; avg_err: 1.19421e-13; sd: 3.04057e-11; counts: 64827
sfh 0.116373 1.70365e-12 9.16344e-12 1.70199e-12 #avg: 8.28765e-12; avg_err: 1.40137e-13; sd: 3.56802e-11; counts: 64827
sfh 0.119748 2.04334e-12 9.99594e-12 1.9736e-12 #avg: 9.09885e-12; avg_err: 1.59733e-13; sd: 4.06695e-11; counts: 64827
sfh 0.123123 2.38355e-12 1.10201e-11 2.22632e-12 #avg: 9.91086e-12; avg_err: 1.63081e-13; sd: 4.15219e-11; counts: 64827
sfh 0.126498 2.78617e-12 1.18485e-11 2.52884e-12 #avg: 1.0698e-11; avg_err: 1.61616e-13; sd: 4.11489e-11; counts: 64827
sfh 0.129873 3.22788e-12 1.27996e-11 2.85779e-12 #avg: 1.16788e-11; avg_err: 1.61827e-13; sd: 4.12026e-11; counts: 64827
sfh 0.133248 3.67115e-12 1.39325e-11 3.17344e-12 #avg: 1.28485e-11; avg_err: 1.79295e-13; sd: 4.56501e-11; counts: 64827
sfh 0.136623 4.13425e-12 1.52489e-11 3.49663e-12 #avg: 1.41143e-11; avg_err: 1.97943e-13; sd: 5.03981e-11; counts: 64827
sfh 0.141685 4.82456e-12 1.71248e-11 3.97271e-12 #avg: 1.58527e-11; avg_err: 2.07668e-13; sd: 5.28743e-11; counts: 64827
sfh 0.146748 5.63988e-12 1.907e-11 4.55144e-12 #avg: 1.77733e-11; avg_err: 2.38783e-13; sd: 6.07963e-11; counts: 64827
sfh 0.15181 6.4467e-12 2.10714e-11 5.09416e-12 #avg: 1.96767e-11; avg_err: 2.55794e-13; sd: 6.51275e-11; counts: 64827
sfh 0.156873 7.24501e-12 2.3321e-11 5.65619e-12 #avg: 2.14877e-11; avg_err: 2.66797e-13; sd: 6.7929e-11; counts: 64827
sfh 0.161935 8.13748e-12 2.52804e-11 6.27459e-12 #avg: 2.35441e-11; avg_err: 2.92692e-13; sd: 7.45223e-11; counts: 64827
sfh 0.166998 9.03456e-12 2.75372e-11 6.88204e-12 #avg: 2.5738e-11; avg_err: 3.17054e-13; sd: 8.0725e-11; counts: 64827
sfh 0.17206 9.89469e-12 2.95997e-11 7.50394e-12 #avg: 2.7294e-11; avg_err: 3.09416e-13; sd: 7.87802e-11; counts: 64827
sfh 0.177123 1.08172e-11 3.16952e-11 8.13508e-12 #avg: 2.93851e-11; avg_err: 3.32921e-13; sd: 8.47648e-11; counts: 64827
sfh 0.182185 1.1784e-11 3.39457e-11 8.78606e-12 #avg: 3.13342e-11; avg_err: 3.47832e-13; sd: 8.85614e-11; counts: 64827
sfh 0.187248 1.27801e-11 3.61734e-11 9.4903e-12 #avg: 3.32761e-11; avg_err: 3.50703e-13; sd: 8.92922e-11; counts: 64827
sfh 0.19231 1.38434e-11 3.79752e-11 1.02144e-11 #avg: 3.52192e-11; avg_err: 3.56832e-13; sd: 9.08528e-11; counts: 64827
sfh 0.197373 1.49023e-11 4.00066e-11 1.09828e-11 #avg: 3.71907e-11; avg_err: 3.73989e-13; sd: 9.52212e-11; counts: 64827
sfh 0.202435 1.59259e-11 4.2173e-11 1.16674e-11 #avg: 3.90647e-11; avg_err: 3.83445e-13; sd: 9.76287e-11; counts: 64827
