#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 13.75 - 14.25
#HM   Stats: 8.391180e+13 (median) + 4.833820e+13  / - 2.135300e+13
#SM   Stats: 4.560630e+11 (median) + 2.633350e+11  / - 1.931790e+11
#VMP  Stats: 6.290700e+02 (median) + 9.709998e+01  / - 6.072003e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.956155e-12 (median) + 3.118995e-12  / - 1.300700e-12
sfh 0.055623 0 0 0 #avg: 5.3635e-14; avg_err: 2.50505e-14; sd: 8.43575e-13; counts: 1135
sfh 0.060123 0 0 0 #avg: 4.38352e-13; avg_err: 1.35963e-13; sd: 4.57855e-12; counts: 1135
sfh 0.062373 0 6.768e-14 0 #avg: 8.64218e-13; avg_err: 1.80469e-13; sd: 6.07729e-12; counts: 1135
sfh 0.064623 0 8.51252e-13 0 #avg: 1.74456e-12; avg_err: 2.94187e-13; sd: 9.90673e-12; counts: 1135
sfh 0.066873 0 1.97822e-12 0 #avg: 2.45852e-12; avg_err: 3.19008e-13; sd: 1.07426e-11; counts: 1135
sfh 0.069123 1.2325e-13 4.34798e-12 1.2325e-13 #avg: 3.39445e-12; avg_err: 3.61925e-13; sd: 1.21878e-11; counts: 1135
sfh 0.071373 4.69201e-13 5.6712e-12 4.69201e-13 #avg: 4.63753e-12; avg_err: 5.66823e-13; sd: 1.90877e-11; counts: 1135
sfh 0.073623 1.10259e-12 7.90148e-12 1.10259e-12 #avg: 6.02313e-12; avg_err: 5.9711e-13; sd: 2.01076e-11; counts: 1135
sfh 0.075873 1.91094e-12 9.82092e-12 1.81537e-12 #avg: 8.01653e-12; avg_err: 8.80682e-13; sd: 2.96569e-11; counts: 1135
sfh 0.078123 3.09066e-12 1.16933e-11 2.76118e-12 #avg: 1.11793e-11; avg_err: 1.13062e-12; sd: 3.80736e-11; counts: 1135
sfh 0.080373 4.07009e-12 1.41984e-11 3.35802e-12 #avg: 1.30244e-11; avg_err: 1.13754e-12; sd: 3.83065e-11; counts: 1135
sfh 0.082623 4.82912e-12 1.34723e-11 3.73387e-12 #avg: 1.2847e-11; avg_err: 8.63435e-13; sd: 2.90761e-11; counts: 1135
sfh 0.085998 7.43631e-12 1.91137e-11 5.62614e-12 #avg: 2.01499e-11; avg_err: 1.97927e-12; sd: 6.66516e-11; counts: 1135
sfh 0.089373 9.73365e-12 2.27652e-11 6.92715e-12 #avg: 2.55118e-11; avg_err: 2.93594e-12; sd: 9.88676e-11; counts: 1135
sfh 0.092748 1.15324e-11 2.60582e-11 7.82799e-12 #avg: 2.84903e-11; avg_err: 2.05571e-12; sd: 6.9226e-11; counts: 1135
