#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 13.75 - 14.25
#HM   Stats: 8.155880e+13 (median) + 4.295620e+13  / - 1.860290e+13
#SM   Stats: 3.270990e+11 (median) + 2.094390e+11  / - 1.645520e+11
#VMP  Stats: 6.471700e+02 (median) + 9.212000e+01  / - 6.450000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.428204e-12 (median) + 3.090991e-12  / - 9.168114e-13
sfh 0.055623 0 0 0 #avg: 7.95751e-14; avg_err: 7.95751e-14; sd: 1.18297e-12; counts: 222
sfh 0.060123 0 0 0 #avg: 1.06131e-12; avg_err: 5.48282e-13; sd: 8.1508e-12; counts: 222
sfh 0.062373 0 0 0 #avg: 2.45616e-12; avg_err: 1.10198e-12; sd: 1.63821e-11; counts: 222
sfh 0.064623 0 1.28535e-12 0 #avg: 4.4078e-12; avg_err: 1.70625e-12; sd: 2.53652e-11; counts: 222
sfh 0.066873 0 2.35666e-12 0 #avg: 5.59511e-12; avg_err: 1.98342e-12; sd: 2.94856e-11; counts: 222
sfh 0.069123 2.98473e-14 3.6503e-12 2.98473e-14 #avg: 5.69893e-12; avg_err: 1.57782e-12; sd: 2.34559e-11; counts: 222
sfh 0.071373 2.71297e-13 8.65446e-12 2.71297e-13 #avg: 1.17886e-11; avg_err: 5.81285e-12; sd: 8.64142e-11; counts: 222
sfh 0.073623 7.71058e-13 8.62179e-12 7.71058e-13 #avg: 2.2198e-11; avg_err: 1.48657e-11; sd: 2.20994e-10; counts: 222
sfh 0.075873 1.5427e-12 1.11877e-11 1.5427e-12 #avg: 1.67321e-11; avg_err: 8.17552e-12; sd: 1.21538e-10; counts: 222
sfh 0.078123 2.82129e-12 1.35848e-11 2.69448e-12 #avg: 1.30467e-11; avg_err: 2.25325e-12; sd: 3.34969e-11; counts: 222
sfh 0.080373 4.14581e-12 1.95995e-11 3.82098e-12 #avg: 2.22572e-11; avg_err: 5.21679e-12; sd: 7.75531e-11; counts: 222
