#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM   Stats: 1.070280e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP  Stats: 7.853000e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.122453e-11 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.055623 1.86908e-11 0 0 #avg: 1.86908e-11; avg_err: 1.86908e-11; sd: 0; counts: 1
sfh 0.060123 3.94568e-11 0 0 #avg: 3.94568e-11; avg_err: 3.94568e-11; sd: 0; counts: 1
sfh 0.062373 7.75764e-11 0 0 #avg: 7.75764e-11; avg_err: 7.75764e-11; sd: 0; counts: 1
sfh 0.064623 5.776e-11 0 0 #avg: 5.776e-11; avg_err: 5.776e-11; sd: 0; counts: 1
sfh 0.066873 3.90411e-11 0 0 #avg: 3.90411e-11; avg_err: 3.90411e-11; sd: 0; counts: 1
sfh 0.069123 2.87927e-11 0 0 #avg: 2.87927e-11; avg_err: 2.87927e-11; sd: 0; counts: 1
sfh 0.071373 4.99465e-11 0 0 #avg: 4.99465e-11; avg_err: 4.99465e-11; sd: 0; counts: 1
sfh 0.073623 4.0749e-11 0 0 #avg: 4.0749e-11; avg_err: 4.0749e-11; sd: 0; counts: 1
sfh 0.075873 2.82182e-11 0 0 #avg: 2.82182e-11; avg_err: 2.82182e-11; sd: 0; counts: 1
sfh 0.078123 7.94195e-11 0 0 #avg: 7.94195e-11; avg_err: 7.94195e-11; sd: 0; counts: 1
sfh 0.080373 1.0576e-10 0 0 #avg: 1.0576e-10; avg_err: 1.0576e-10; sd: 0; counts: 1
sfh 0.082623 7.37785e-11 0 0 #avg: 7.37785e-11; avg_err: 7.37785e-11; sd: 0; counts: 1
sfh 0.085998 3.44892e-10 0 0 #avg: 3.44892e-10; avg_err: 3.44892e-10; sd: 0; counts: 1
sfh 0.089373 6.19051e-10 0 0 #avg: 6.19051e-10; avg_err: 6.19051e-10; sd: 0; counts: 1
sfh 0.092748 4.60994e-10 0 0 #avg: 4.60994e-10; avg_err: 4.60994e-10; sd: 0; counts: 1
sfh 0.096123 3.42268e-10 0 0 #avg: 3.42268e-10; avg_err: 3.42268e-10; sd: 0; counts: 1
sfh 0.099498 2.07798e-10 0 0 #avg: 2.07798e-10; avg_err: 2.07798e-10; sd: 0; counts: 1
sfh 0.102873 2.07593e-10 0 0 #avg: 2.07593e-10; avg_err: 2.07593e-10; sd: 0; counts: 1
sfh 0.106248 3.8631e-10 0 0 #avg: 3.8631e-10; avg_err: 3.8631e-10; sd: 0; counts: 1
sfh 0.109623 5.8739e-10 0 0 #avg: 5.8739e-10; avg_err: 5.8739e-10; sd: 0; counts: 1
sfh 0.112998 3.33215e-10 0 0 #avg: 3.33215e-10; avg_err: 3.33215e-10; sd: 0; counts: 1
sfh 0.116373 4.71418e-10 0 0 #avg: 4.71418e-10; avg_err: 4.71418e-10; sd: 0; counts: 1
sfh 0.119748 3.43291e-10 0 0 #avg: 3.43291e-10; avg_err: 3.43291e-10; sd: 0; counts: 1
sfh 0.123123 2.00946e-10 0 0 #avg: 2.00946e-10; avg_err: 2.00946e-10; sd: 0; counts: 1
sfh 0.126498 2.29079e-10 0 0 #avg: 2.29079e-10; avg_err: 2.29079e-10; sd: 0; counts: 1
sfh 0.129873 4.69493e-10 0 0 #avg: 4.69493e-10; avg_err: 4.69493e-10; sd: 0; counts: 1
sfh 0.133248 4.18047e-10 0 0 #avg: 4.18047e-10; avg_err: 4.18047e-10; sd: 0; counts: 1
sfh 0.136623 2.32765e-10 0 0 #avg: 2.32765e-10; avg_err: 2.32765e-10; sd: 0; counts: 1
sfh 0.141685 2.24375e-10 0 0 #avg: 2.24375e-10; avg_err: 2.24375e-10; sd: 0; counts: 1
sfh 0.146748 2.3734e-10 0 0 #avg: 2.3734e-10; avg_err: 2.3734e-10; sd: 0; counts: 1
sfh 0.15181 2.49942e-10 0 0 #avg: 2.49942e-10; avg_err: 2.49942e-10; sd: 0; counts: 1
sfh 0.156873 2.96365e-10 0 0 #avg: 2.96365e-10; avg_err: 2.96365e-10; sd: 0; counts: 1
sfh 0.161935 4.31364e-10 0 0 #avg: 4.31364e-10; avg_err: 4.31364e-10; sd: 0; counts: 1
sfh 0.166998 4.27222e-10 0 0 #avg: 4.27222e-10; avg_err: 4.27222e-10; sd: 0; counts: 1
sfh 0.17206 3.67383e-10 0 0 #avg: 3.67383e-10; avg_err: 3.67383e-10; sd: 0; counts: 1
sfh 0.177123 3.21066e-10 0 0 #avg: 3.21066e-10; avg_err: 3.21066e-10; sd: 0; counts: 1
sfh 0.182185 2.74226e-10 0 0 #avg: 2.74226e-10; avg_err: 2.74226e-10; sd: 0; counts: 1
sfh 0.187248 2.49753e-10 0 0 #avg: 2.49753e-10; avg_err: 2.49753e-10; sd: 0; counts: 1
