#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 9.75 - 10.25
#HM   Stats: 5.264710e+11 (median) + 3.379410e+11  / - 1.702950e+11
#SM   Stats: 9.832200e+09 (median) + 4.940800e+09  / - 3.131720e+09
#VMP  Stats: 1.296200e+02 (median) + 1.801001e+01  / - 1.137000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.969849e-12 (median) + 2.767941e-12  / - 1.202257e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 27804
sfh 0.060123 0 0 0 #avg: 5.10001e-16; avg_err: 3.61114e-16; sd: 6.0213e-14; counts: 27804
sfh 0.062373 0 0 0 #avg: 1.69732e-15; avg_err: 9.31904e-16; sd: 1.55388e-13; counts: 27804
sfh 0.064623 0 0 0 #avg: 9.37875e-15; avg_err: 4.07268e-15; sd: 6.79088e-13; counts: 27804
sfh 0.066873 0 0 0 #avg: 2.6866e-14; avg_err: 9.51788e-15; sd: 1.58703e-12; counts: 27804
sfh 0.069123 0 0 0 #avg: 6.74881e-14; avg_err: 1.80652e-14; sd: 3.01224e-12; counts: 27804
sfh 0.071373 0 0 0 #avg: 1.65818e-13; avg_err: 3.91105e-14; sd: 6.52137e-12; counts: 27804
sfh 0.073623 0 0 0 #avg: 3.27351e-13; avg_err: 7.61347e-14; sd: 1.26949e-11; counts: 27804
sfh 0.075873 0 0 0 #avg: 4.55678e-13; avg_err: 7.2329e-14; sd: 1.20603e-11; counts: 27804
sfh 0.078123 0 0 0 #avg: 6.58328e-13; avg_err: 8.16802e-14; sd: 1.36195e-11; counts: 27804
sfh 0.080373 0 0 0 #avg: 9.17734e-13; avg_err: 9.70028e-14; sd: 1.61745e-11; counts: 27804
sfh 0.082623 0 0 0 #avg: 1.1136e-12; avg_err: 1.01928e-13; sd: 1.69956e-11; counts: 27804
sfh 0.085998 0 0 0 #avg: 1.87446e-12; avg_err: 1.50035e-13; sd: 2.50173e-11; counts: 27804
sfh 0.089373 0 0 0 #avg: 2.66997e-12; avg_err: 2.38769e-13; sd: 3.9813e-11; counts: 27804
sfh 0.092748 0 8.63797e-13 0 #avg: 3.16144e-12; avg_err: 1.48163e-13; sd: 2.47051e-11; counts: 27804
sfh 0.096123 0 2.34859e-12 0 #avg: 3.82493e-12; avg_err: 1.32899e-13; sd: 2.21599e-11; counts: 27804
