#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 10.25 - 10.75
#HM   Stats: 7.080880e+11 (median) + 7.394121e+11  / - 2.794120e+11
#SM   Stats: 2.979760e+10 (median) + 1.524150e+10  / - 9.078700e+09
#VMP  Stats: 1.569900e+02 (median) + 3.589999e+01  / - 1.810001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.404734e-12 (median) + 4.877558e-11  / - 2.656062e-12
sfh 0.055623 0 0 0 #avg: 3.06733e-15; avg_err: 2.41935e-15; sd: 4.86013e-13; counts: 40356
sfh 0.060123 0 0 0 #avg: 4.85833e-14; avg_err: 2.78826e-14; sd: 5.60121e-12; counts: 40356
sfh 0.062373 0 0 0 #avg: 1.18701e-13; avg_err: 5.7736e-14; sd: 1.15983e-11; counts: 40356
sfh 0.064623 0 0 0 #avg: 1.88462e-13; avg_err: 6.45057e-14; sd: 1.29583e-11; counts: 40356
sfh 0.066873 0 0 0 #avg: 2.20534e-13; avg_err: 5.36207e-14; sd: 1.07716e-11; counts: 40356
sfh 0.069123 0 0 0 #avg: 3.18018e-13; avg_err: 6.18225e-14; sd: 1.24192e-11; counts: 40356
sfh 0.071373 0 0 0 #avg: 3.99508e-13; avg_err: 4.6164e-14; sd: 9.27368e-12; counts: 40356
sfh 0.073623 0 0 0 #avg: 6.16227e-13; avg_err: 5.17816e-14; sd: 1.04022e-11; counts: 40356
sfh 0.075873 0 0 0 #avg: 9.38316e-13; avg_err: 8.37721e-14; sd: 1.68286e-11; counts: 40356
sfh 0.078123 0 0 0 #avg: 1.29809e-12; avg_err: 1.17499e-13; sd: 2.36038e-11; counts: 40356
sfh 0.080373 0 0 0 #avg: 1.57729e-12; avg_err: 8.41474e-14; sd: 1.6904e-11; counts: 40356
