#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 7.75 - 8.25
#HM   Stats: 3.464710e+10 (median) + 1.776470e+10  / - 1.185300e+10
#SM   Stats: 9.469590e+07 (median) + 4.856509e+07  / - 2.895200e+07
#VMP  Stats: 6.366000e+01 (median) + 5.509998e+00  / - 4.500000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.297869e-10 (median) + 2.589877e-10  / - 1.283702e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 329955
sfh 0.075873 0 0 0 #avg: 5.12968e-16; avg_err: 4.68696e-16; sd: 2.69226e-13; counts: 329955
sfh 0.078123 0 0 0 #avg: 4.18179e-15; avg_err: 2.29328e-15; sd: 1.3173e-12; counts: 329955
sfh 0.080373 0 0 0 #avg: 1.19928e-14; avg_err: 4.63413e-15; sd: 2.66192e-12; counts: 329955
sfh 0.082623 0 0 0 #avg: 2.86697e-14; avg_err: 7.43158e-15; sd: 4.26882e-12; counts: 329955
sfh 0.085998 0 0 0 #avg: 7.32079e-14; avg_err: 1.36047e-14; sd: 7.81477e-12; counts: 329955
sfh 0.089373 0 0 0 #avg: 1.89708e-13; avg_err: 2.18599e-14; sd: 1.25567e-11; counts: 329955
sfh 0.092748 0 0 0 #avg: 4.68101e-13; avg_err: 4.18097e-14; sd: 2.40162e-11; counts: 329955
sfh 0.096123 0 0 0 #avg: 8.29488e-13; avg_err: 6.14063e-14; sd: 3.52728e-11; counts: 329955
sfh 0.099498 0 0 0 #avg: 1.34674e-12; avg_err: 6.14168e-14; sd: 3.52788e-11; counts: 329955
sfh 0.102873 0 0 0 #avg: 2.14795e-12; avg_err: 7.59291e-14; sd: 4.36149e-11; counts: 329955
sfh 0.106248 0 0 0 #avg: 3.1975e-12; avg_err: 8.58801e-14; sd: 4.93309e-11; counts: 329955
sfh 0.109623 0 0 0 #avg: 4.60304e-12; avg_err: 1.05402e-13; sd: 6.05446e-11; counts: 329955
sfh 0.112998 0 0 0 #avg: 6.21324e-12; avg_err: 1.18678e-13; sd: 6.81708e-11; counts: 329955
sfh 0.116373 0 0 0 #avg: 7.67234e-12; avg_err: 1.28136e-13; sd: 7.36036e-11; counts: 329955
sfh 0.119748 0 0 0 #avg: 9.29145e-12; avg_err: 1.30004e-13; sd: 7.46763e-11; counts: 329955
sfh 0.123123 0 0 0 #avg: 1.10002e-11; avg_err: 1.30956e-13; sd: 7.5223e-11; counts: 329955
sfh 0.126498 0 0 0 #avg: 1.31657e-11; avg_err: 1.45447e-13; sd: 8.3547e-11; counts: 329955
sfh 0.129873 0 3.28338e-12 0 #avg: 1.57398e-11; avg_err: 1.6571e-13; sd: 9.51864e-11; counts: 329955
sfh 0.133248 0 9.29174e-12 0 #avg: 1.85947e-11; avg_err: 1.73964e-13; sd: 9.99277e-11; counts: 329955
sfh 0.136623 0 1.67574e-11 0 #avg: 2.16495e-11; avg_err: 1.79422e-13; sd: 1.03063e-10; counts: 329955
sfh 0.141685 0 2.77217e-11 0 #avg: 2.72131e-11; avg_err: 2.13602e-13; sd: 1.22696e-10; counts: 329955
sfh 0.146748 0 4.01533e-11 0 #avg: 3.31743e-11; avg_err: 2.37691e-13; sd: 1.36534e-10; counts: 329955
sfh 0.15181 0 5.32575e-11 0 #avg: 3.90149e-11; avg_err: 2.55161e-13; sd: 1.46568e-10; counts: 329955
sfh 0.156873 2.15573e-13 6.67799e-11 2.15573e-13 #avg: 4.52933e-11; avg_err: 2.7929e-13; sd: 1.60429e-10; counts: 329955
sfh 0.161935 2.59462e-12 7.66713e-11 2.59462e-12 #avg: 5.09802e-11; avg_err: 2.91854e-13; sd: 1.67646e-10; counts: 329955
sfh 0.166998 5.7904e-12 8.56639e-11 5.7904e-12 #avg: 5.70132e-11; avg_err: 3.01595e-13; sd: 1.73241e-10; counts: 329955
sfh 0.17206 9.61543e-12 9.02588e-11 9.61543e-12 #avg: 6.11257e-11; avg_err: 3.01021e-13; sd: 1.72911e-10; counts: 329955
sfh 0.177123 1.35174e-11 9.02421e-11 1.35174e-11 #avg: 6.27169e-11; avg_err: 2.93598e-13; sd: 1.68647e-10; counts: 329955
sfh 0.182185 1.71015e-11 9.01407e-11 1.71015e-11 #avg: 6.41876e-11; avg_err: 2.8581e-13; sd: 1.64174e-10; counts: 329955
sfh 0.187248 1.99363e-11 9.17913e-11 1.99363e-11 #avg: 6.63411e-11; avg_err: 2.77125e-13; sd: 1.59185e-10; counts: 329955
sfh 0.19231 2.26419e-11 9.16807e-11 2.26419e-11 #avg: 6.86413e-11; avg_err: 2.87159e-13; sd: 1.64949e-10; counts: 329955
sfh 0.197373 2.53037e-11 9.13811e-11 2.53037e-11 #avg: 7.0267e-11; avg_err: 2.81394e-13; sd: 1.61637e-10; counts: 329955
sfh 0.202435 2.78486e-11 9.18552e-11 2.74354e-11 #avg: 7.21378e-11; avg_err: 2.74092e-13; sd: 1.57443e-10; counts: 329955
