#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 8.75 - 9.25
#HM   Stats: 1.312650e+11 (median) + 7.138199e+10  / - 4.763261e+10
#SM   Stats: 9.504280e+08 (median) + 4.864420e+08  / - 2.910260e+08
#VMP  Stats: 9.282000e+01 (median) + 8.870003e+00  / - 6.820000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.789245e-12 (median) + 3.044069e-12  / - 1.137436e-12
sfh 0.055623 0 0 0 #avg: 7.64594e-15; avg_err: 7.64156e-15; sd: 2.57573e-12; counts: 113616
sfh 0.060123 0 0 0 #avg: 7.79513e-14; avg_err: 7.79087e-14; sd: 2.62605e-11; counts: 113616
sfh 0.062373 0 0 0 #avg: 1.34402e-13; avg_err: 1.33996e-13; sd: 4.51656e-11; counts: 113616
sfh 0.064623 0 0 0 #avg: 6.32142e-14; avg_err: 6.28295e-14; sd: 2.11778e-11; counts: 113616
sfh 0.066873 0 0 0 #avg: 6.71835e-14; avg_err: 6.07223e-14; sd: 2.04676e-11; counts: 113616
sfh 0.069123 0 0 0 #avg: 1.66982e-13; avg_err: 1.36241e-13; sd: 4.59223e-11; counts: 113616
sfh 0.071373 0 0 0 #avg: 1.62084e-13; avg_err: 8.83377e-14; sd: 2.97758e-11; counts: 113616
sfh 0.073623 0 0 0 #avg: 1.51225e-13; avg_err: 8.01233e-14; sd: 2.7007e-11; counts: 113616
sfh 0.075873 0 0 0 #avg: 1.91597e-13; avg_err: 6.82541e-14; sd: 2.30063e-11; counts: 113616
sfh 0.078123 0 0 0 #avg: 4.09451e-13; avg_err: 1.29432e-13; sd: 4.36273e-11; counts: 113616
sfh 0.080373 0 0 0 #avg: 6.33412e-13; avg_err: 1.0687e-13; sd: 3.60224e-11; counts: 113616
sfh 0.082623 0 0 0 #avg: 9.59607e-13; avg_err: 1.16138e-13; sd: 3.91466e-11; counts: 113616
sfh 0.085998 0 0 0 #avg: 1.59172e-12; avg_err: 1.21085e-13; sd: 4.08138e-11; counts: 113616
sfh 0.089373 0 0 0 #avg: 2.31954e-12; avg_err: 1.11947e-13; sd: 3.77339e-11; counts: 113616
sfh 0.092748 0 0 0 #avg: 3.48497e-12; avg_err: 1.21609e-13; sd: 4.09905e-11; counts: 113616
sfh 0.096123 0 0 0 #avg: 4.80224e-12; avg_err: 1.33657e-13; sd: 4.50516e-11; counts: 113616
sfh 0.099498 0 0 0 #avg: 6.34249e-12; avg_err: 1.40727e-13; sd: 4.74345e-11; counts: 113616
sfh 0.102873 0 1.56129e-13 0 #avg: 8.15643e-12; avg_err: 1.63841e-13; sd: 5.52255e-11; counts: 113616
sfh 0.106248 0 4.21514e-12 0 #avg: 1.02339e-11; avg_err: 1.93023e-13; sd: 6.50621e-11; counts: 113616
sfh 0.109623 0 9.74061e-12 0 #avg: 1.23182e-11; avg_err: 1.93501e-13; sd: 6.52232e-11; counts: 113616
sfh 0.112998 0 1.48352e-11 0 #avg: 1.43216e-11; avg_err: 2.03904e-13; sd: 6.87296e-11; counts: 113616
sfh 0.116373 0 1.93856e-11 0 #avg: 1.56077e-11; avg_err: 1.83943e-13; sd: 6.20012e-11; counts: 113616
sfh 0.119748 0 2.2788e-11 0 #avg: 1.69328e-11; avg_err: 1.88918e-13; sd: 6.36782e-11; counts: 113616
sfh 0.123123 1.40318e-13 2.59976e-11 1.40318e-13 #avg: 1.84488e-11; avg_err: 1.94373e-13; sd: 6.55168e-11; counts: 113616
sfh 0.126498 9.91661e-13 2.90339e-11 9.91661e-13 #avg: 2.02353e-11; avg_err: 2.02882e-13; sd: 6.8385e-11; counts: 113616
sfh 0.129873 2.10391e-12 3.18876e-11 2.10391e-12 #avg: 2.23238e-11; avg_err: 2.23446e-13; sd: 7.53165e-11; counts: 113616
sfh 0.133248 3.35698e-12 3.48616e-11 3.35698e-12 #avg: 2.47687e-11; avg_err: 2.38684e-13; sd: 8.04528e-11; counts: 113616
sfh 0.136623 4.69357e-12 3.77074e-11 4.69357e-12 #avg: 2.70859e-11; avg_err: 2.46467e-13; sd: 8.30763e-11; counts: 113616
sfh 0.141685 6.70769e-12 4.12576e-11 6.70769e-12 #avg: 3.02925e-11; avg_err: 2.71556e-13; sd: 9.15328e-11; counts: 113616
