#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 8.75 - 9.25
#HM   Stats: 1.153090e+11 (median) + 6.042599e+10  / - 4.055900e+10
#SM   Stats: 9.423910e+08 (median) + 4.878191e+08  / - 2.847350e+08
#VMP  Stats: 9.363000e+01 (median) + 9.570000e+00  / - 7.009995e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.606330e-12 (median) + 2.795356e-12  / - 1.019593e-12
sfh 0.055623 0 0 0 #avg: 1.24143e-14; avg_err: 1.24072e-14; sd: 3.28204e-12; counts: 69976
sfh 0.060123 0 0 0 #avg: 1.26565e-13; avg_err: 1.26496e-13; sd: 3.34617e-11; counts: 69976
sfh 0.062373 0 0 0 #avg: 2.18221e-13; avg_err: 2.17561e-13; sd: 5.75509e-11; counts: 69976
sfh 0.064623 0 0 0 #avg: 1.02637e-13; avg_err: 1.02013e-13; sd: 2.69852e-11; counts: 69976
sfh 0.066873 0 0 0 #avg: 1.09082e-13; avg_err: 9.85912e-14; sd: 2.60801e-11; counts: 69976
sfh 0.069123 0 0 0 #avg: 2.70938e-13; avg_err: 2.21205e-13; sd: 5.8515e-11; counts: 69976
sfh 0.071373 0 0 0 #avg: 2.60589e-13; avg_err: 1.4342e-13; sd: 3.79385e-11; counts: 69976
sfh 0.073623 0 0 0 #avg: 2.42143e-13; avg_err: 1.30078e-13; sd: 3.44093e-11; counts: 69976
sfh 0.075873 0 0 0 #avg: 2.94821e-13; avg_err: 1.10591e-13; sd: 2.92544e-11; counts: 69976
sfh 0.078123 0 0 0 #avg: 5.96706e-13; avg_err: 2.08472e-13; sd: 5.51467e-11; counts: 69976
sfh 0.080373 0 0 0 #avg: 8.94422e-13; avg_err: 1.71361e-13; sd: 4.53297e-11; counts: 69976
sfh 0.082623 0 0 0 #avg: 1.29272e-12; avg_err: 1.81575e-13; sd: 4.80315e-11; counts: 69976
sfh 0.085998 0 0 0 #avg: 2.1132e-12; avg_err: 1.86002e-13; sd: 4.92026e-11; counts: 69976
sfh 0.089373 0 0 0 #avg: 3.04235e-12; avg_err: 1.71064e-13; sd: 4.52513e-11; counts: 69976
sfh 0.092748 0 0 0 #avg: 4.38249e-12; avg_err: 1.8148e-13; sd: 4.80066e-11; counts: 69976
sfh 0.096123 0 0 0 #avg: 5.8703e-12; avg_err: 1.93274e-13; sd: 5.11263e-11; counts: 69976
sfh 0.099498 0 0 0 #avg: 7.72171e-12; avg_err: 2.05057e-13; sd: 5.42433e-11; counts: 69976
sfh 0.102873 0 1.55663e-12 0 #avg: 9.83727e-12; avg_err: 2.43e-13; sd: 6.42802e-11; counts: 69976
sfh 0.106248 0 6.63707e-12 0 #avg: 1.21939e-11; avg_err: 2.88168e-13; sd: 7.62284e-11; counts: 69976
sfh 0.109623 0 1.29563e-11 0 #avg: 1.43094e-11; avg_err: 2.79248e-13; sd: 7.3869e-11; counts: 69976
sfh 0.112998 0 1.88012e-11 0 #avg: 1.66108e-11; avg_err: 2.95641e-13; sd: 7.82054e-11; counts: 69976
sfh 0.116373 0 2.34933e-11 0 #avg: 1.80168e-11; avg_err: 2.59914e-13; sd: 6.87544e-11; counts: 69976
sfh 0.119748 0 2.71325e-11 0 #avg: 1.95032e-11; avg_err: 2.70966e-13; sd: 7.16782e-11; counts: 69976
