#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 8.75 - 9.25
#HM   Stats: 9.958820e+10 (median) + 4.717680e+10  / - 3.350000e+10
#SM   Stats: 9.233380e+08 (median) + 4.828721e+08  / - 2.717500e+08
#VMP  Stats: 8.703000e+01 (median) + 5.970001e+00  / - 4.919998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.119579e-10 (median) + 2.407455e-10  / - 1.130565e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 88582
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 88582
sfh 0.062373 0 0 0 #avg: 1.52484e-16; avg_err: 1.52484e-16; sd: 4.53832e-14; counts: 88582
sfh 0.064623 0 0 0 #avg: 1.21371e-15; avg_err: 1.21371e-15; sd: 3.61231e-13; counts: 88582
sfh 0.066873 0 0 0 #avg: 2.05679e-15; avg_err: 2.05679e-15; sd: 6.12152e-13; counts: 88582
sfh 0.069123 0 0 0 #avg: 1.05599e-14; avg_err: 9.37173e-15; sd: 2.78927e-12; counts: 88582
sfh 0.071373 0 0 0 #avg: 1.89024e-14; avg_err: 1.33053e-14; sd: 3.96e-12; counts: 88582
sfh 0.073623 0 0 0 #avg: 3.05409e-14; avg_err: 1.44354e-14; sd: 4.29636e-12; counts: 88582
sfh 0.075873 0 0 0 #avg: 7.76158e-14; avg_err: 3.16158e-14; sd: 9.40967e-12; counts: 88582
sfh 0.078123 0 0 0 #avg: 8.74667e-14; avg_err: 2.55372e-14; sd: 7.60052e-12; counts: 88582
sfh 0.080373 0 0 0 #avg: 1.51252e-13; avg_err: 2.73713e-14; sd: 8.14639e-12; counts: 88582
sfh 0.082623 0 0 0 #avg: 3.10099e-13; avg_err: 4.66242e-14; sd: 1.38766e-11; counts: 88582
sfh 0.085998 0 0 0 #avg: 6.49756e-13; avg_err: 5.1379e-14; sd: 1.52917e-11; counts: 88582
sfh 0.089373 0 0 0 #avg: 1.27065e-12; avg_err: 9.17995e-14; sd: 2.73219e-11; counts: 88582
sfh 0.092748 0 0 0 #avg: 2.00676e-12; avg_err: 9.23989e-14; sd: 2.75003e-11; counts: 88582
sfh 0.096123 0 0 0 #avg: 2.85353e-12; avg_err: 1.00806e-13; sd: 3.00025e-11; counts: 88582
sfh 0.099498 0 0 0 #avg: 4.03012e-12; avg_err: 1.19304e-13; sd: 3.55081e-11; counts: 88582
sfh 0.102873 0 0 0 #avg: 5.2641e-12; avg_err: 1.29298e-13; sd: 3.84824e-11; counts: 88582
sfh 0.106248 0 5.39036e-13 0 #avg: 6.8018e-12; avg_err: 1.61521e-13; sd: 4.80727e-11; counts: 88582
sfh 0.109623 0 3.5317e-12 0 #avg: 8.14893e-12; avg_err: 1.47734e-13; sd: 4.39693e-11; counts: 88582
sfh 0.112998 0 7.91315e-12 0 #avg: 9.46742e-12; avg_err: 1.48885e-13; sd: 4.4312e-11; counts: 88582
sfh 0.116373 0 1.16999e-11 0 #avg: 1.06304e-11; avg_err: 1.53593e-13; sd: 4.57132e-11; counts: 88582
sfh 0.119748 0 1.47554e-11 0 #avg: 1.1631e-11; avg_err: 1.53781e-13; sd: 4.57693e-11; counts: 88582
sfh 0.123123 0 1.77911e-11 0 #avg: 1.28781e-11; avg_err: 1.62044e-13; sd: 4.82285e-11; counts: 88582
sfh 0.126498 6.08059e-14 2.08439e-11 6.08059e-14 #avg: 1.42631e-11; avg_err: 1.6907e-13; sd: 5.03197e-11; counts: 88582
sfh 0.129873 7.51441e-13 2.30706e-11 7.51441e-13 #avg: 1.56816e-11; avg_err: 1.74061e-13; sd: 5.18049e-11; counts: 88582
sfh 0.133248 1.65751e-12 2.57873e-11 1.65751e-12 #avg: 1.72956e-11; avg_err: 1.81119e-13; sd: 5.39058e-11; counts: 88582
sfh 0.136623 2.69445e-12 2.81638e-11 2.69445e-12 #avg: 1.91539e-11; avg_err: 1.91373e-13; sd: 5.69574e-11; counts: 88582
sfh 0.141685 4.23229e-12 3.17711e-11 4.23229e-12 #avg: 2.17528e-11; avg_err: 2.08911e-13; sd: 6.21773e-11; counts: 88582
sfh 0.146748 5.97585e-12 3.42235e-11 5.97585e-12 #avg: 2.42209e-11; avg_err: 2.10797e-13; sd: 6.27385e-11; counts: 88582
sfh 0.15181 7.76029e-12 3.67933e-11 7.76029e-12 #avg: 2.64512e-11; avg_err: 2.09337e-13; sd: 6.2304e-11; counts: 88582
sfh 0.156873 9.46704e-12 3.87699e-11 9.46704e-12 #avg: 2.87261e-11; avg_err: 2.32927e-13; sd: 6.93249e-11; counts: 88582
sfh 0.161935 1.10104e-11 4.0513e-11 1.07228e-11 #avg: 3.04095e-11; avg_err: 2.30588e-13; sd: 6.86288e-11; counts: 88582
sfh 0.166998 1.26453e-11 4.15437e-11 1.19104e-11 #avg: 3.20173e-11; avg_err: 2.19539e-13; sd: 6.53403e-11; counts: 88582
sfh 0.17206 1.39562e-11 4.22314e-11 1.27007e-11 #avg: 3.32437e-11; avg_err: 2.23072e-13; sd: 6.63919e-11; counts: 88582
sfh 0.177123 1.50969e-11 4.35578e-11 1.33164e-11 #avg: 3.46458e-11; avg_err: 2.29955e-13; sd: 6.84405e-11; counts: 88582
sfh 0.182185 1.64847e-11 4.52283e-11 1.42187e-11 #avg: 3.60959e-11; avg_err: 2.18464e-13; sd: 6.50206e-11; counts: 88582
