#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 9.25 - 9.75
#HM   Stats: 2.026470e+11 (median) + 1.091180e+11  / - 7.160300e+10
#SM   Stats: 3.010360e+09 (median) + 1.546540e+09  / - 9.205201e+08
#VMP  Stats: 1.103300e+02 (median) + 1.250000e+01  / - 8.570000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.609727e-12 (median) + 2.779064e-12  / - 1.034229e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 46676
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 46676
sfh 0.062373 0 0 0 #avg: 2.25619e-17; avg_err: 2.25619e-17; sd: 4.87436e-15; counts: 46676
sfh 0.064623 0 0 0 #avg: 9.00883e-15; avg_err: 5.69251e-15; sd: 1.22983e-12; counts: 46676
sfh 0.066873 0 0 0 #avg: 4.52681e-14; avg_err: 3.39421e-14; sd: 7.33298e-12; counts: 46676
sfh 0.069123 0 0 0 #avg: 5.21708e-14; avg_err: 2.00988e-14; sd: 4.34223e-12; counts: 46676
sfh 0.071373 0 0 0 #avg: 1.11249e-13; avg_err: 3.1673e-14; sd: 6.84276e-12; counts: 46676
sfh 0.073623 0 0 0 #avg: 2.47723e-13; avg_err: 7.09814e-14; sd: 1.53351e-11; counts: 46676
sfh 0.075873 0 0 0 #avg: 3.88515e-13; avg_err: 6.42595e-14; sd: 1.38829e-11; counts: 46676
sfh 0.078123 0 0 0 #avg: 6.73201e-13; avg_err: 8.13074e-14; sd: 1.7566e-11; counts: 46676
sfh 0.080373 0 0 0 #avg: 1.10134e-12; avg_err: 1.07086e-13; sd: 2.31352e-11; counts: 46676
sfh 0.082623 0 0 0 #avg: 1.45337e-12; avg_err: 1.15677e-13; sd: 2.49913e-11; counts: 46676
sfh 0.085998 0 0 0 #avg: 2.68876e-12; avg_err: 3.01029e-13; sd: 6.50355e-11; counts: 46676
sfh 0.089373 0 0 0 #avg: 3.48307e-12; avg_err: 1.47375e-13; sd: 3.18394e-11; counts: 46676
sfh 0.092748 0 0 0 #avg: 4.70616e-12; avg_err: 1.64601e-13; sd: 3.55611e-11; counts: 46676
sfh 0.096123 0 1.04694e-12 0 #avg: 5.99677e-12; avg_err: 1.88298e-13; sd: 4.06807e-11; counts: 46676
sfh 0.099498 0 4.12423e-12 0 #avg: 7.35137e-12; avg_err: 1.90298e-13; sd: 4.11128e-11; counts: 46676
sfh 0.102873 0 7.82604e-12 0 #avg: 8.65327e-12; avg_err: 2.22895e-13; sd: 4.81552e-11; counts: 46676
sfh 0.106248 0 1.13284e-11 0 #avg: 1.01109e-11; avg_err: 2.25741e-13; sd: 4.87699e-11; counts: 46676
sfh 0.109623 0 1.49368e-11 0 #avg: 1.18702e-11; avg_err: 3.49959e-13; sd: 7.56065e-11; counts: 46676
sfh 0.112998 1.13488e-13 1.7638e-11 1.13488e-13 #avg: 1.35085e-11; avg_err: 5.60711e-13; sd: 1.21138e-10; counts: 46676
sfh 0.116373 7.77896e-13 1.94887e-11 7.77896e-13 #avg: 1.45767e-11; avg_err: 3.25578e-13; sd: 7.03392e-11; counts: 46676
sfh 0.119748 1.62362e-12 2.09748e-11 1.62362e-12 #avg: 1.58077e-11; avg_err: 3.01971e-13; sd: 6.52389e-11; counts: 46676
sfh 0.123123 2.34216e-12 2.26163e-11 2.34216e-12 #avg: 1.69807e-11; avg_err: 2.82827e-13; sd: 6.11031e-11; counts: 46676
sfh 0.126498 3.13393e-12 2.43595e-11 3.13393e-12 #avg: 1.82407e-11; avg_err: 2.89057e-13; sd: 6.24489e-11; counts: 46676
sfh 0.129873 3.98754e-12 2.57599e-11 3.98754e-12 #avg: 1.96137e-11; avg_err: 2.82895e-13; sd: 6.11177e-11; counts: 46676
sfh 0.133248 4.94055e-12 2.72736e-11 4.94055e-12 #avg: 2.09332e-11; avg_err: 2.82068e-13; sd: 6.09392e-11; counts: 46676
sfh 0.136623 5.87486e-12 2.93071e-11 5.87486e-12 #avg: 2.28339e-11; avg_err: 2.99878e-13; sd: 6.47869e-11; counts: 46676
sfh 0.141685 7.30723e-12 3.18017e-11 7.13766e-12 #avg: 2.54815e-11; avg_err: 3.33097e-13; sd: 7.19637e-11; counts: 46676
sfh 0.146748 8.73085e-12 3.47511e-11 8.2362e-12 #avg: 2.81339e-11; avg_err: 3.95797e-13; sd: 8.55095e-11; counts: 46676
sfh 0.15181 1.01708e-11 3.77234e-11 9.29705e-12 #avg: 3.04699e-11; avg_err: 4.23877e-13; sd: 9.1576e-11; counts: 46676
sfh 0.156873 1.15891e-11 4.01544e-11 1.02893e-11 #avg: 3.2583e-11; avg_err: 3.77329e-13; sd: 8.15197e-11; counts: 46676
sfh 0.161935 1.28678e-11 4.34156e-11 1.1096e-11 #avg: 3.53097e-11; avg_err: 3.95318e-13; sd: 8.5406e-11; counts: 46676
sfh 0.166998 1.4423e-11 4.62762e-11 1.21647e-11 #avg: 3.82142e-11; avg_err: 4.41529e-13; sd: 9.53898e-11; counts: 46676
sfh 0.17206 1.56392e-11 4.8563e-11 1.29269e-11 #avg: 4.03055e-11; avg_err: 4.72665e-13; sd: 1.02116e-10; counts: 46676
sfh 0.177123 1.71269e-11 5.12144e-11 1.40428e-11 #avg: 4.31688e-11; avg_err: 4.74578e-13; sd: 1.0253e-10; counts: 46676
sfh 0.182185 1.88385e-11 5.50781e-11 1.52634e-11 #avg: 4.52724e-11; avg_err: 4.61878e-13; sd: 9.97859e-11; counts: 46676
sfh 0.187248 2.02924e-11 5.68974e-11 1.62733e-11 #avg: 4.73748e-11; avg_err: 4.57447e-13; sd: 9.88287e-11; counts: 46676
sfh 0.19231 2.1757e-11 5.91654e-11 1.73673e-11 #avg: 4.9595e-11; avg_err: 4.59099e-13; sd: 9.91857e-11; counts: 46676
sfh 0.197373 2.33863e-11 6.1761e-11 1.84611e-11 #avg: 5.18775e-11; avg_err: 4.66773e-13; sd: 1.00843e-10; counts: 46676
sfh 0.202435 2.50984e-11 6.36448e-11 1.96695e-11 #avg: 5.36847e-11; avg_err: 4.64484e-13; sd: 1.00349e-10; counts: 46676
sfh 0.207498 2.65984e-11 6.59793e-11 2.05898e-11 #avg: 5.54241e-11; avg_err: 4.54277e-13; sd: 9.81437e-11; counts: 46676
sfh 0.21256 2.81851e-11 6.75912e-11 2.16602e-11 #avg: 5.74992e-11; avg_err: 4.59492e-13; sd: 9.92704e-11; counts: 46676
sfh 0.217623 2.96719e-11 6.91162e-11 2.26444e-11 #avg: 5.95494e-11; avg_err: 4.75051e-13; sd: 1.02632e-10; counts: 46676
sfh 0.222685 3.12356e-11 6.99698e-11 2.35559e-11 #avg: 6.08422e-11; avg_err: 4.55061e-13; sd: 9.83132e-11; counts: 46676
sfh 0.227748 3.29393e-11 7.1779e-11 2.45866e-11 #avg: 6.27158e-11; avg_err: 4.72517e-13; sd: 1.02084e-10; counts: 46676
sfh 0.23281 3.4623e-11 7.32403e-11 2.5733e-11 #avg: 6.46976e-11; avg_err: 4.74554e-13; sd: 1.02524e-10; counts: 46676
