#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 1.572060e+10 (median) + 1.139700e+10  / - 5.920600e+09
#SM   Stats: 1.291150e+07 (median) + 2.087260e+07  / - 8.077550e+06
#VMP  Stats: 4.982000e+01 (median) + 6.889999e+00  / - 5.900002e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.667294e-12 (median) + 2.561619e-12  / - 1.051554e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730534
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730534
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 730534
sfh 0.064623 0 0 0 #avg: 3.12804e-18; avg_err: 3.12804e-18; sd: 2.67357e-15; counts: 730534
sfh 0.066873 0 0 0 #avg: 9.69485e-18; avg_err: 9.69485e-18; sd: 8.28631e-15; counts: 730534
sfh 0.069123 0 0 0 #avg: 2.79802e-17; avg_err: 2.79802e-17; sd: 2.3915e-14; counts: 730534
sfh 0.071373 0 0 0 #avg: 4.21568e-17; avg_err: 4.21568e-17; sd: 3.60319e-14; counts: 730534
sfh 0.073623 0 0 0 #avg: 2.12854e-16; avg_err: 2.12854e-16; sd: 1.81929e-13; counts: 730534
sfh 0.075873 0 0 0 #avg: 2.45697e-16; avg_err: 2.45697e-16; sd: 2.1e-13; counts: 730534
sfh 0.078123 0 0 0 #avg: 4.7125e-16; avg_err: 2.87608e-16; sd: 2.45822e-13; counts: 730534
sfh 0.080373 0 0 0 #avg: 1.06467e-15; avg_err: 5.31221e-16; sd: 4.54041e-13; counts: 730534
sfh 0.082623 0 0 0 #avg: 1.85297e-15; avg_err: 8.12114e-16; sd: 6.94124e-13; counts: 730534
