#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.78333 - 1.95
#HM   Stats: 6.222060e+10 (median) + 4.511740e+10  / - 2.507350e+10
#SM   Stats: 2.010840e+08 (median) + 3.520080e+08  / - 1.040132e+08
#VMP  Stats: 6.945000e+01 (median) + 1.123000e+01  / - 6.509998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.310420e-10 (median) + 2.738340e-10  / - 1.250428e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1331733
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1331733
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1331733
sfh 0.064623 0 0 0 #avg: 1.77935e-16; avg_err: 1.77935e-16; sd: 2.05338e-13; counts: 1331733
sfh 0.066873 0 0 0 #avg: 1.46417e-16; avg_err: 1.46417e-16; sd: 1.68966e-13; counts: 1331733
sfh 0.069123 0 0 0 #avg: 8.38214e-16; avg_err: 5.14201e-16; sd: 5.93392e-13; counts: 1331733
sfh 0.071373 0 0 0 #avg: 1.77493e-15; avg_err: 8.69046e-16; sd: 1.00289e-12; counts: 1331733
sfh 0.073623 0 0 0 #avg: 2.51617e-15; avg_err: 7.96049e-16; sd: 9.18646e-13; counts: 1331733
sfh 0.075873 0 0 0 #avg: 6.80163e-15; avg_err: 2.12099e-15; sd: 2.44764e-12; counts: 1331733
sfh 0.078123 0 0 0 #avg: 1.37978e-14; avg_err: 2.31019e-15; sd: 2.66598e-12; counts: 1331733
sfh 0.080373 0 0 0 #avg: 2.65908e-14; avg_err: 3.01265e-15; sd: 3.47662e-12; counts: 1331733
sfh 0.082623 0 0 0 #avg: 4.80792e-14; avg_err: 4.12033e-15; sd: 4.75489e-12; counts: 1331733
sfh 0.085998 0 0 0 #avg: 1.17155e-13; avg_err: 6.53879e-15; sd: 7.5458e-12; counts: 1331733
