#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.45 - 2.61667
#HM   Stats: 9.614710e+12 (median) + 5.767690e+12  / - 3.002950e+12
#SM   Stats: 1.292270e+11 (median) + 9.394101e+10  / - 6.476750e+10
#VMP  Stats: 3.176800e+02 (median) + 5.054001e+01  / - 2.716000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.343403e-11 (median) + 3.249187e-11  / - 1.058500e-11
sfh 0.055623 0 0 0 #avg: 2.31625e-16; avg_err: 1.6381e-16; sd: 1.02888e-14; counts: 3946
sfh 0.060123 0 0 0 #avg: 1.10683e-13; avg_err: 4.86967e-14; sd: 3.0586e-12; counts: 3946
sfh 0.062373 0 0 0 #avg: 1.80111e-13; avg_err: 7.03558e-14; sd: 4.419e-12; counts: 3946
sfh 0.064623 0 0 0 #avg: 4.69031e-13; avg_err: 1.88005e-13; sd: 1.18085e-11; counts: 3946
sfh 0.066873 0 0 0 #avg: 7.83182e-13; avg_err: 2.85857e-13; sd: 1.79544e-11; counts: 3946
sfh 0.069123 0 0 0 #avg: 9.52821e-13; avg_err: 1.34607e-13; sd: 8.45458e-12; counts: 3946
sfh 0.071373 0 2.63582e-13 0 #avg: 1.6386e-12; avg_err: 1.87102e-13; sd: 1.17517e-11; counts: 3946
sfh 0.073623 0 9.73841e-13 0 #avg: 2.48258e-12; avg_err: 3.36916e-13; sd: 2.11614e-11; counts: 3946
sfh 0.075873 0 2.10387e-12 0 #avg: 3.31704e-12; avg_err: 3.23154e-13; sd: 2.0297e-11; counts: 3946
sfh 0.078123 0 3.5597e-12 0 #avg: 4.15364e-12; avg_err: 2.9715e-13; sd: 1.86638e-11; counts: 3946
sfh 0.080373 1.41574e-13 5.24078e-12 1.41574e-13 #avg: 5.05283e-12; avg_err: 3.66669e-13; sd: 2.30302e-11; counts: 3946
sfh 0.082623 4.3495e-13 5.96131e-12 4.3495e-13 #avg: 5.42727e-12; avg_err: 3.96755e-13; sd: 2.49199e-11; counts: 3946
