#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.61667 - 2.78333
#HM   Stats: 2.832350e+13 (median) + 1.325000e+13  / - 9.955900e+12
#SM   Stats: 1.571210e+11 (median) + 7.335500e+10  / - 1.043282e+11
#VMP  Stats: 4.542600e+02 (median) + 5.852997e+01  / - 3.071002e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.919135e-11 (median) + 2.969503e-11  / - 8.410065e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 48
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 48
sfh 0.062373 0 0 0 #avg: 9.13128e-14; avg_err: 9.13128e-14; sd: 6.26009e-13; counts: 48
sfh 0.064623 0 0 0 #avg: 5.44788e-13; avg_err: 4.91131e-13; sd: 3.36702e-12; counts: 48
sfh 0.066873 0 0 0 #avg: 2.67372e-13; avg_err: 1.80797e-13; sd: 1.23948e-12; counts: 48
sfh 0.069123 0 0 0 #avg: 6.86111e-13; avg_err: 4.67677e-13; sd: 3.20623e-12; counts: 48
sfh 0.071373 0 5.26229e-13 0 #avg: 2.43162e-12; avg_err: 1.83684e-12; sd: 1.25928e-11; counts: 48
sfh 0.073623 0 1.93596e-12 0 #avg: 2.38051e-12; avg_err: 1.07453e-12; sd: 7.36664e-12; counts: 48
sfh 0.075873 1.0157e-13 4.59516e-12 1.0157e-13 #avg: 3.24043e-12; avg_err: 1.4926e-12; sd: 1.02327e-11; counts: 48
sfh 0.078123 3.73672e-13 7.07034e-12 3.73672e-13 #avg: 5.0886e-12; avg_err: 1.85035e-12; sd: 1.26853e-11; counts: 48
sfh 0.080373 7.51421e-13 1.28282e-11 7.51421e-13 #avg: 5.8332e-12; avg_err: 1.87995e-12; sd: 1.28883e-11; counts: 48
