#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.95 - 3.11667
#HM   Stats: 5.067650e+14 (median) + 0.000000e+00  / - 3.794100e+13
#SM   Stats: 6.729780e+11 (median) + 0.000000e+00  / - 5.456630e+11
#VMP  Stats: 1.132300e+03 (median) + 0.000000e+00  / - 2.989001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 6.393464e-11 (median) + 0.000000e+00  / - 4.495133e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.066873 7.49655e-14 0 7.49655e-14 #avg: 3.74827e-14; avg_err: 3.74827e-14; sd: 3.74827e-14; counts: 2
sfh 0.069123 7.31907e-13 0 7.31907e-13 #avg: 3.65953e-13; avg_err: 3.65953e-13; sd: 3.65953e-13; counts: 2
sfh 0.071373 1.99614e-12 0 1.99614e-12 #avg: 9.98071e-13; avg_err: 9.98071e-13; sd: 9.98071e-13; counts: 2
sfh 0.073623 4.50371e-12 0 4.50371e-12 #avg: 2.25186e-12; avg_err: 2.25186e-12; sd: 2.25186e-12; counts: 2
sfh 0.075873 8.6321e-12 0 8.6321e-12 #avg: 4.31605e-12; avg_err: 4.31605e-12; sd: 4.31605e-12; counts: 2
sfh 0.078123 1.01396e-11 0 1.01396e-11 #avg: 5.0698e-12; avg_err: 5.0698e-12; sd: 5.0698e-12; counts: 2
sfh 0.080373 1.22367e-11 0 1.22367e-11 #avg: 6.11836e-12; avg_err: 6.11836e-12; sd: 6.11836e-12; counts: 2
sfh 0.082623 1.24554e-11 0 1.24554e-11 #avg: 6.22771e-12; avg_err: 6.22771e-12; sd: 6.22771e-12; counts: 2
sfh 0.085998 1.52949e-11 0 1.52949e-11 #avg: 7.64743e-12; avg_err: 7.64743e-12; sd: 7.64743e-12; counts: 2
sfh 0.089373 1.74813e-11 0 1.67279e-11 #avg: 9.11731e-12; avg_err: 8.36394e-12; sd: 8.36394e-12; counts: 2
sfh 0.092748 2.41183e-11 0 1.97608e-11 #avg: 1.42379e-11; avg_err: 9.8804e-12; sd: 9.8804e-12; counts: 2
sfh 0.096123 3.63908e-11 0 2.77091e-11 #avg: 2.25362e-11; avg_err: 1.38545e-11; sd: 1.38545e-11; counts: 2
sfh 0.099498 1.25747e-10 0 1.10055e-10 #avg: 7.07192e-11; avg_err: 5.50277e-11; sd: 5.50277e-11; counts: 2
sfh 0.102873 2.20197e-10 0 1.974e-10 #avg: 1.21497e-10; avg_err: 9.87002e-11; sd: 9.87002e-11; counts: 2
