#Stellar mass averages in bins of peak halo mass.
#Log_SM: Average of Log_10(Observed SM/Msun) in each bin.
#Log_SMHM: Average of Log_10(Observed SM/HM) in each bin.
#Log_True_SM: Average of Log_10(True SM/Msun) in each bin.
#Log_True_SMHM: Average of Log_10(True SM/HM) in each bin.
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM_Center)(0) Log_SM(1) Err+(2) Err-(3) Log_SMHM(4) Err+(5) Err-(6) Log_True_SM(7) Err+(8) Err-(9) Log_True_SMHM(10) Err+(11) Err-(12) HM_Left_Edge(13) HM_Right_Edge(14) Bestfit_Halo_Counts(15) 
8 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.875 8.125 0
8.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.125 8.375 0
8.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 8.375 8.625 0
8.75 1.530632 0.517941 0.401946 -7.230979 0.517941 0.401946 1.737024 0.513490 0.417358 -7.024590 0.513494 0.417357 8.625 8.875 28510
9 2.122591 0.439423 0.368292 -6.891251 0.439424 0.368289 2.328738 0.432010 0.374078 -6.685103 0.432011 0.374077 8.875 9.125 49861
9.25 2.905097 0.392212 0.338971 -6.366558 0.392210 0.338972 3.111869 0.418352 0.343583 -6.159784 0.418350 0.343583 9.125 9.375 239773
9.5 3.985260 0.340038 0.278547 -5.544391 0.340042 0.278545 4.191899 0.319392 0.314397 -5.337753 0.319397 0.314394 9.375 9.625 918462
9.75 5.204815 0.263670 0.225501 -4.555306 0.263668 0.225501 5.411388 0.243008 0.264220 -4.348729 0.243006 0.264224 9.625 9.875 2.61338e+06
10 6.140505 0.175083 0.159892 -3.855093 0.175083 0.159894 6.347087 0.169785 0.193408 -3.648513 0.169784 0.193404 9.875 10.125 3.69922e+06
10.25 6.747821 0.123933 0.110714 -3.493835 0.123976 0.110707 6.954612 0.139641 0.150884 -3.287040 0.139657 0.150871 10.125 10.375 2.65953e+06
10.5 7.241127 0.078359 0.077199 -3.250499 0.078388 0.077143 7.447827 0.123703 0.134308 -3.043801 0.123750 0.134294 10.375 10.625 1.6697e+06
10.75 7.741655 0.037501 0.049397 -2.999176 0.037768 0.049546 7.948421 0.106820 0.129425 -2.792413 0.107068 0.129494 10.625 10.875 1.03691e+06
11 8.243684 0.025006 0.036222 -2.745660 0.024992 0.036232 8.450195 0.112886 0.120769 -2.539149 0.112869 0.120785 10.875 11.125 633168
11.25 8.779719 0.027487 0.031050 -2.459167 0.027392 0.031013 8.986137 0.114948 0.118249 -2.252747 0.114878 0.118242 11.125 11.375 367485
11.5 9.371854 0.021774 0.028921 -2.116652 0.021751 0.028923 9.578385 0.092997 0.111312 -1.910117 0.093011 0.111312 11.375 11.625 214047
11.75 9.944402 0.013263 0.024175 -1.794115 0.013270 0.024163 10.150886 0.089199 0.115757 -1.587635 0.089225 0.115763 11.625 11.875 123729
12 10.357200 0.007387 0.018347 -1.631369 0.007390 0.018351 10.564599 0.082982 0.110153 -1.423973 0.082973 0.110138 11.875 12.125 71327
12.25 10.573032 0.019577 0.012442 -1.665762 0.019533 0.012468 10.779324 0.105459 0.096239 -1.459467 0.105511 0.096312 12.125 12.375 40762
12.5 10.659231 0.057530 0.022774 -1.828909 0.057504 0.022765 10.866364 0.130550 0.092903 -1.621770 0.130552 0.092937 12.375 12.625 22706
12.75 10.727082 0.078822 0.023513 -2.010601 0.078922 0.023436 10.934508 0.140546 0.096759 -1.803176 0.140529 0.096741 12.625 12.875 12695
13 10.830390 0.072186 0.021403 -2.155941 0.072156 0.021379 11.035401 0.133365 0.098879 -1.950927 0.133351 0.098914 12.875 13.125 6895
13.25 10.941029 0.062754 0.022347 -2.295215 0.062796 0.022474 11.145113 0.129860 0.106036 -2.091130 0.129907 0.105989 13.125 13.375 3565
13.5 11.041071 0.057647 0.026470 -2.444815 0.057560 0.026546 11.252581 0.127623 0.103578 -2.233307 0.127615 0.103669 13.375 13.625 1809
13.75 11.174057 0.047994 0.030378 -2.561275 0.048183 0.030458 11.381420 0.110137 0.110984 -2.353913 0.110102 0.111065 13.625 13.875 866
14 11.300476 0.048992 0.048910 -2.674610 0.048992 0.048908 11.500042 0.105840 0.110578 -2.475041 0.105834 0.110918 13.875 14.125 361
14.25 11.424807 0.050209 0.073072 -2.797854 0.050209 0.073074 11.626887 0.097006 0.121529 -2.595773 0.097007 0.121529 14.125 14.375 136
14.5 11.541966 0.057364 0.098920 -2.936793 0.057362 0.098921 11.760979 0.109857 0.136993 -2.717784 0.109860 0.136992 14.375 14.625 34
14.75 11.623285 0.082588 0.110879 -3.048367 0.082589 0.110878 11.864940 0.115584 0.155254 -2.806711 0.115583 0.155255 14.625 14.875 5
15 11.817654 0.154630 0.060355 -3.137157 0.154629 0.060356 12.026114 0.190448 0.084826 -2.928697 0.190449 0.084827 14.875 15.125 2
15.25 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.125 15.375 0
15.5 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.375 15.625 0
15.75 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 15.625 15.875 0
